RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Katholieke Volkspartij (KVP);Partij van de Arbeid (P.v.d.A.);Anti-Revolutionaire Partij;Communistische Partij van Nederland;Christelijk-Historische Unie;Partij van de Vrijheid;Staatkundig Gereformeerde Partij (SGP)
Zuidland;G0640;10316;Zuid-Holland;P28;0;1032;0;;1032;2;114;623;11;133;120;23
Zuidlaren;G0136;10002;Drenthe;P22;0;2867;0;;2867;67;1175;710;266;135;501;6
Zuidwolde;G0137;10262;Drenthe;P22;0;3224;0;;3224;46;972;979;67;724;398;9
Zuidzande;G0735;10437;Zeeland;P29;0;548;0;;548;23;243;40;20;48;144;8
Zuilen;G1242;10059;Utrecht;P26;0;11008;0;;11008;2808;4654;1197;1313;650;174;144
Zuilichem;G1243;11036;Gelderland;P25;0;549;0;;549;1;188;146;2;25;2;185
Zundert;G0879;11192;Noord-Brabant;P30;0;3691;0;;3691;3305;181;74;26;54;25;13
Zutphen;G0301;10254;Gelderland;P25;0;11931;0;;11931;1433;5129;1087;2269;1021;916;32
Zwaag;G0475;10218;Noord-Holland;P27;0;1018;0;;1018;684;272;13;16;;28;
Zwammerdam;G1244;10675;Zuid-Holland;P28;0;1292;0;;1292;364;203;296;13;242;75;91
Zwartewaal;G0641;10703;Zuid-Holland;P28;0;340;0;;340;1;149;91;13;9;70;6
Zwartsluis;G0192;10303;Overijssel;P23;0;1712;0;;1712;7;316;934;27;308;71;43
Zweeloo;G0138;10872;Drenthe;P22;0;1151;0;;1151;6;451;274;7;57;353;3
Zwijndrecht;G0642;10468;Zuid-Holland;P28;0;6916;0;;6916;260;1694;2151;528;1499;173;488
Zwolle;G0193;10093;Overijssel;P23;0;24640;0;;24640;4324;10299;3723;2313;1957;1482;366
Zwollerkerspel;G1245;10654;Overijssel;P23;0;4750;0;;4750;704;1118;1285;110;945;308;214
