RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Liberale Unie;CHU 1;Vrijzinnig-Democratische Bond (VDB);Economische Bond;Bond van Vrije Liberalen 1;Sociaal-Democratische Partij (SDP);Middenstandspartij;Christen-Democratische Partij;CHU 2;Socialistische Partij (SOPA);Bond van Vrije Liberalen 2;Bond van Christen-Socialisten;Christelijk-Sociale Partij;Neutrale Partij;Verbond Democratisering Weermacht;Algemene Staatspartij;Politie Partij;Plattelandersbond (links);Staatkundig Gereformeerde Partij (SGP);Plattelandersbond (rechts);Algemeen Vrijzinnige Partij;Groep Van der Zwaag;Groep Alberda;Groep Kuiper;Amsterdamse Politie- en Brandweerpartij;Nationale Bond van Protestantse Kiezers;Unionisten-Liga (Volkswelvaartspartij);Neutrale en Koloniale Bond;Volkspartij;Groep Stoffel;Groep Braam
Buren;G0214;11286;Gelderland;P25;489;438;0;;438;31;83;35;2;;23;5;176;2;2;6;3;;11;7;3;4;28;;4;;13;;;;;;;;;;;;
Burgh;G1035;11000;Zeeland;P29;168;161;0;;161;1;38;28;64;14;1;;1;;6;;;2;;1;;;1;;1;3;;;;;;;;;;;;;
Bussum;G0381;10281;Noord-Holland;P27;3648;3230;0;;3230;1051;380;270;126;238;178;406;250;140;41;25;12;3;4;13;4;8;14;52;6;;;;;;;;;2;7;;;;
Buurmalsen;G0215;10460;Gelderland;P25;529;484;0;;484;30;105;64;6;23;8;7;152;1;4;;1;;21;2;2;4;25;2;4;;23;;;;;;;;;;;;
Cadier en Keer;G0901;11447;Limburg;P31;210;205;0;;205;197;1;;;;4;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;
Cadzand;G0658;11002;Zeeland;P29;258;239;0;;239;2;10;16;162;32;2;2;1;1;2;;1;1;1;;2;;;2;2;;;;;;;;;;;;;;
Callantsoog;G0382;10559;Noord-Holland;P27;242;224;0;;224;21;101;3;2;;83;;1;;1;4;;1;;3;;;1;;2;;;1;;;;;;;;;;;
Capelle;G1036;11233;Noord-Brabant;P30;627;542;0;;542;50;69;252;20;18;29;11;26;2;10;21;5;4;;3;3;11;3;1;4;;;;;;;;;;;;;;
Capelle aan den IJssel;G0502;11248;Zuid-Holland;P28;1307;1167;0;;1167;17;356;342;265;61;4;13;6;7;7;5;25;;;7;3;3;9;1;20;10;;2;4;;;;;;;;;;
Castricum;G0383;11287;Noord-Holland;P27;764;727;0;;727;534;56;5;8;9;88;4;4;4;;2;1;3;;3;;;3;1;2;;;;;;;;;;;;;;
Chaam;G0760;11433;Noord-Brabant;P30;337;328;0;;328;311;1;;;13;;;;1;;;;;;;1;;;;1;;;;;;;;;;;;;;
Clinge;G0659;10965;Zeeland;P29;544;483;0;;483;413;5;1;15;;27;;;;;;;4;4;;3;1;;1;8;1;;;;;;;;;;;;;
Coevorden;G0109;10383;Drenthe;P22;1358;1203;0;;1203;221;294;146;309;124;47;3;3;9;5;;15;;5;;7;7;2;;3;;;3;;;;;;;;;;;
Colijnsplaat;G1038;10121;Zeeland;P29;521;474;0;;474;3;16;179;160;19;28;18;6;;2;;9;;11;1;2;;1;1;1;;17;;;;;;;;;;;;
Cothen;G0314;11316;Utrecht;P26;215;205;0;;205;150;7;15;1;5;2;;7;;;;;;11;1;;;;;1;;5;;;;;;;;;;;;
Cromvoirt;G1039;10053;Noord-Brabant;P30;145;138;0;;138;133;2;;;1;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;
Cuijk en Sint Agatha;G0761;10023;Noord-Brabant;P30;828;781;0;;781;713;34;;1;3;;5;;;17;1;2;;;;1;2;;1;1;;;;;;;;;;;;;;
Culemborg;G0216;10342;Gelderland;P25;2066;1897;0;;1897;694;425;94;10;12;70;8;442;50;7;14;2;;22;14;1;;27;2;;;3;;;;;;;;;;;;
Dalen;G0110;11004;Drenthe;P22;814;739;0;;739;61;265;36;290;8;36;4;4;2;4;;19;;1;;3;;1;;3;1;;1;;;;;;;;;;;
Dalfsen;G0148;11007;Overijssel;P23;1676;1533;0;;1533;490;93;231;24;312;180;8;41;7;1;3;74;2;7;;6;3;1;34;7;2;1;6;;;;;;;;;;;
Dantumadeel;G0065;10650;Fryslân;P21;3091;2859;0;;2859;25;633;1067;391;591;17;8;6;2;;6;6;2;4;6;15;10;3;22;6;19;;2;;6;9;3;;;;;;;
De Bilt;G0310;10168;Utrecht;P26;1201;769;0;;769;79;194;269;;123;86;;;2;;4;;;;10;;;;;;;;2;;;;;;;;;;;
De Lier;G0552;10241;Zuid-Holland;P28;361;346;0;;346;28;3;132;68;84;5;4;5;;;2;6;;;;;;;;;1;;7;1;;;;;;;;;;
De Rijp;G0440;11417;Noord-Holland;P27;388;346;0;;346;108;123;2;5;10;41;15;4;4;3;8;;;;3;1;3;;4;4;1;;6;;;;;;;1;;;;
De Werken en Sleeuwijk;G1222;10116;Noord-Brabant;P30;796;705;0;;705;1;76;450;4;35;11;13;95;2;;1;1;2;;3;2;2;2;1;4;;;;;;;;;;;;;;
De Wijk;G0135;10753;Drenthe;P22;796;735;0;;735;1;116;107;341;24;70;3;13;3;;;40;;;;11;;2;;2;2;;;;;;;;;;;;;
Deil;G0217;10057;Gelderland;P25;643;592;0;;592;143;71;13;1;64;13;5;204;2;3;7;11;;11;1;5;3;21;;2;;12;;;;;;;;;;;;
Delft;G0503;10928;Zuid-Holland;P28;8431;7633;0;;7633;2272;2694;1137;220;247;214;139;112;92;70;66;10;11;149;23;15;34;47;;;6;3;31;36;;;;;;;;5;;
Delfzijl;G0010;10976;Groningen;P20;2310;1825;0;;1825;49;803;285;67;149;154;154;14;32;31;6;2;4;19;7;;8;3;12;13;4;;3;;;;;;;;;;;6
Den Bommel;G1024;10293;Zuid-Holland;P28;427;383;0;;383;94;25;142;65;2;5;3;10;;1;6;10;;1;;1;1;1;;;4;1;9;;;;;;;;;2;;
Den Dungen;G0768;10491;Noord-Brabant;P30;392;369;0;;369;359;;;;;1;;;;6;;;;;;;2;;;1;;;;;;;;;;;;;;
Den Ham;G0159;10395;Overijssel;P23;1301;1164;0;;1164;73;156;324;159;124;10;10;11;2;6;2;225;;2;1;11;7;;15;5;10;3;8;;;;;;;;;;;
Den Helder;G0400;10285;Noord-Holland;P27;7397;6277;0;;6277;644;2079;195;109;81;993;140;83;24;81;1565;6;13;;31;7;34;129;12;33;3;;3;;;;;;;12;;;;
Denekamp;G0149;10245;Overijssel;P23;1136;1037;0;;1037;877;18;19;66;16;;3;5;2;2;;12;1;3;;1;4;3;1;1;3;;;;;;;;;;;;;
Deurne en Liessel;G1041;10379;Noord-Brabant;P30;1845;1775;0;;1775;1669;3;8;;39;3;5;19;1;9;5;;;;1;1;3;1;;8;;;;;;;;;;;;;;
Deursen en Dennenburg;G1042;10209;Noord-Brabant;P30;96;94;0;;94;90;2;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
Deventer;G0150;10899;Overijssel;P23;7436;6405;0;;6405;1036;1843;275;96;166;1308;361;267;57;40;6;9;706;9;35;10;49;65;22;15;13;10;7;;;;;;;;;;;
Didam;G0218;10153;Gelderland;P25;1192;1051;0;;1051;978;8;3;4;2;4;4;;2;1;23;1;;1;1;6;5;;1;5;;2;;;;;;;;;;;;
Dieden, Demen en Langel;G1043;11138;Noord-Brabant;P30;125;120;0;;120;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diemen;G0384;11039;Noord-Holland;P27;485;428;0;;428;114;50;131;8;25;10;18;9;31;5;7;2;4;;2;1;1;2;7;;;;;;;;;;;1;;;;
Diepenheim;G0151;10311;Overijssel;P23;451;416;0;;416;32;118;10;62;38;109;3;11;1;1;;6;;3;;2;3;;;5;7;1;4;;;;;;;;;;;
Diepenveen;G0152;10933;Overijssel;P23;1344;1221;0;;1221;421;135;42;46;54;229;65;133;3;11;;7;26;1;1;2;11;2;11;15;2;;4;;;;;;;;;;;
Diessen;G0763;11185;Noord-Brabant;P30;259;253;0;;253;253;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diever;G0111;10418;Drenthe;P22;597;563;0;;563;22;191;118;64;4;87;9;3;12;;;31;;1;;2;2;1;;13;;;3;;;;;;;;;;;
Dinteloord en Prinsenland;G0764;11193;Noord-Brabant;P30;804;733;0;;733;281;5;162;82;172;4;3;2;6;1;;;;;2;5;3;2;1;2;;;;;;;;;;;;;;
Dinther;G1044;10690;Noord-Brabant;P30;428;412;0;;412;389;;1;;13;;1;;;2;;1;;;;1;1;;;3;;;;;;;;;;;;;;
Dinxperlo;G0219;11154;Gelderland;P25;731;669;0;;669;96;67;246;61;7;13;14;5;2;;3;3;;10;9;121;2;1;1;8;;;;;;;;;;;;;;
Dirksland;G0504;11344;Zuid-Holland;P28;625;576;0;;576;3;66;383;46;5;13;11;6;3;5;3;5;1;1;1;;2;;;;2;1;17;1;;;;;;;;1;;
Dodewaard;G0220;10647;Gelderland;P25;544;485;0;;485;7;175;162;1;8;9;1;67;2;;2;;;17;15;6;;4;;1;;8;;;;;;;;;;;;
Doesburg;G0221;10327;Gelderland;P25;1080;988;0;;988;361;223;66;101;66;34;17;34;5;7;2;2;;19;4;12;1;27;2;5;;;;;;;;;;;;;;
Dokkum;G0066;10198;Fryslân;P21;940;868;0;;868;52;248;268;119;43;56;5;4;5;;8;1;;9;2;2;4;;3;9;1;;1;;12;16;;;;;;;;
Domburg;G0660;10236;Zeeland;P29;328;290;0;;290;1;49;72;18;19;29;22;1;1;4;;2;2;10;3;1;2;2;2;7;1;42;;;;;;;;;;;;
Dommelen;G1045;10424;Noord-Brabant;P30;107;107;0;;107;107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dongen;G0766;11412;Noord-Brabant;P30;1787;1674;0;;1674;1599;7;31;5;2;2;5;5;6;2;;1;;;;1;1;3;;4;;;;;;;;;;;;;;
Doniawerstal;G0067;10086;Fryslân;P21;1361;1288;0;;1288;274;264;283;26;200;126;13;8;;;3;1;2;17;5;5;5;1;11;4;16;;1;;12;11;;;;;;;;
Doorn;G0315;10213;Utrecht;P26;715;651;0;;651;15;158;211;;46;21;41;27;2;8;1;;;102;;;6;;5;1;;7;;;;;;;;;;;;
Doornspijk;G0223;10069;Gelderland;P25;969;831;0;;831;1;40;440;9;164;1;8;8;1;24;1;31;;2;72;7;;2;1;8;4;2;;;;;;5;;;;;;
Doorwerth;G1046;11304;Gelderland;P25;185;171;0;;171;4;18;87;2;2;12;7;22;1;;;4;;3;;1;1;3;;2;;1;;;;;;1;;;;;;
Dordrecht;G0505;11157;Zuid-Holland;P28;11845;9879;0;;9879;1082;3531;1832;1269;452;446;227;170;315;62;51;78;24;15;23;21;78;58;;;16;15;52;33;;;;;;;;29;;
Dreischor;G1047;10885;Zeeland;P29;354;327;0;;327;1;119;6;153;2;5;2;3;1;1;;2;1;1;6;1;4;;;15;3;1;;;;;;;;;;;;
Dreumel;G0224;11232;Gelderland;P25;642;577;0;;577;519;24;3;;;1;;20;;;5;;;2;2;;;1;;;;;;;;;;;;;;;;
Driebergen;G1048;10777;Utrecht;P26;1025;716;0;;716;117;217;253;;73;31;;;6;;7;;;;4;;;;;;;;8;;;;;;;;;;;
Driel;G1248;10341;Gelderland;P25;928;870;0;;870;723;50;37;1;10;1;;25;1;1;7;4;;2;5;;;1;;2;;;;;;;;;;;;;;
Driewegen;G0661;11115;Zeeland;P29;150;146;0;;146;16;;47;36;36;4;2;;1;;;;;;;1;;;;3;;;;;;;;;;;;;;
Drongelen;G1049;10111;Noord-Brabant;P30;93;87;0;;87;3;3;67;2;1;4;3;3;;;;;;;;;;1;;;;;;;;;;;;;;;;
Drunen;G0767;10428;Noord-Brabant;P30;816;781;0;;781;759;2;;8;1;1;3;;;4;;;;;;;1;;;2;;;;;;;;;;;;;;
Druten;G0225;10068;Gelderland;P25;1316;1181;0;;1181;1047;11;;1;37;3;1;35;;2;31;;;;;1;1;3;1;7;;;;;;;;;;;;;;
Dubbeldam;G0507;10781;Zuid-Holland;P28;910;795;0;;795;9;259;209;125;41;17;8;21;11;5;2;14;1;7;3;1;2;3;;;22;3;25;;;;;;;;;7;;
Duiven;G0226;11028;Gelderland;P25;835;744;0;;744;686;2;10;2;4;;5;3;4;1;18;2;;;2;4;;;;1;;;;;;;;;;;;;;
Duivendijke;G1050;10335;Zeeland;P29;152;143;0;;143;;7;72;49;2;1;1;3;1;;;2;;;1;;;;1;1;2;;;;;;;;;;;;;
Duizel en Steensel;G1051;11005;Noord-Brabant;P30;158;154;0;;154;152;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
Dussen;G0769;10261;Noord-Brabant;P30;835;744;0;;744;445;22;150;6;71;7;9;10;2;9;4;1;1;;1;;3;;;3;;;;;;;;;;;;;;
Dwingeloo;G0112;10331;Drenthe;P22;656;594;0;;594;6;154;96;186;14;82;6;3;5;3;;11;;1;;8;1;4;;10;;;4;;;;;;;;;;;
Echt;G0902;10941;Limburg;P31;1580;1517;0;;1517;1429;17;3;27;;13;9;1;1;1;;;;;3;1;;;10;2;;;;;;;;;;;;;;
Echteld;G0227;10832;Gelderland;P25;698;647;0;;647;14;172;100;3;;11;3;267;;2;1;7;;34;13;2;;15;1;2;;;;;;;;;;;;;;
Edam;G1315;10884;Noord-Holland;P27;1889;1754;0;;1754;985;239;39;221;65;105;19;2;17;2;5;2;2;;22;2;4;4;2;4;1;;12;;;;;;;;;;;
Ede;G0228;10743;Gelderland;P25;4800;4214;0;;4214;77;507;1840;63;93;45;50;132;9;102;8;826;;76;8;12;4;94;12;140;8;102;;;;;;6;;;;;;
Eede;G1052;11128;Zeeland;P29;211;204;0;;204;188;4;1;1;;;;;;2;;1;;;;;;;;7;;;;;;;;;;;;;;
Eelde;G0113;10622;Drenthe;P22;698;631;0;;631;4;258;22;144;4;39;45;9;6;3;;37;;10;;2;3;5;1;9;28;;2;;;;;;;;;;;
Eemnes;G0317;10248;Utrecht;P26;384;340;0;;340;197;1;102;;18;21;;;;;;;;;;;;;;;;;1;;;;;;;;;;;
Eenrum;G0011;10904;Groningen;P20;630;603;0;;603;29;228;136;74;4;102;6;4;5;2;2;;;3;1;;;;;3;4;;;;;;;;;;;;;
Eersel;G0770;10741;Noord-Brabant;P30;330;310;0;;310;294;;;;3;;;;1;10;;1;;;;;1;;;;;;;;;;;;;;;;;
Egmond aan Zee;G0386;10421;Noord-Holland;P27;762;515;0;;515;65;25;12;118;9;36;64;9;7;7;131;;2;;7;2;6;2;1;5;3;;4;;;;;;;;;;;
Egmond-Binnen;G0387;10989;Noord-Holland;P27;445;427;0;;427;357;2;1;17;2;15;5;12;;;4;;;;3;;1;2;;5;;;1;;;;;;;;;;;
Eibergen;G0229;10436;Gelderland;P25;1631;1559;0;;1559;730;244;185;221;24;4;8;20;1;14;5;12;;;1;25;;2;;2;52;8;;;;;;1;;;;;;
Eijgelshoven;G0904;10960;Limburg;P31;315;298;0;;298;221;40;;4;5;15;3;1;4;;;;;;;;;;1;4;;;;;;;;;;;;;;
Eijsden;G0905;10314;Limburg;P31;646;609;0;;609;529;57;1;2;;7;2;1;;;;;;;;;;;9;1;;;;;;;;;;;;;;
Eindhoven;G0772;11298;Noord-Brabant;P30;1392;1277;0;;1277;962;111;4;30;9;27;53;12;3;16;5;;;;9;4;10;3;6;13;;;;;;;;;;;;;;
Elburg;G0230;11113;Gelderland;P25;690;608;0;;608;3;87;257;11;164;29;6;6;1;9;1;7;;2;2;8;6;1;;3;;3;;;;;;2;;;;;;
Elkerzee;G1053;10184;Zeeland;P29;165;159;0;;159;2;4;71;51;19;1;2;;;1;;1;;;1;;2;;;2;2;;;;;;;;;;;;;
Ellemeet;G1054;10102;Zeeland;P29;135;129;0;;129;;4;17;86;2;2;3;2;;3;;;;;;;;;;2;8;;;;;;;;;;;;;
Ellewoutsdijk;G0663;11300;Zeeland;P29;174;163;0;;163;;11;13;89;4;11;6;;;4;;;;;2;;;1;1;18;;3;;;;;;;;;;;;
Elsloo;G0903;11187;Limburg;P31;416;392;0;;392;355;12;;2;;1;10;;1;;;;;;;;1;;8;2;;;;;;;;;;;;;;
Elst;G0231;11188;Gelderland;P25;1802;1648;0;;1648;893;286;59;8;87;20;25;149;2;8;39;5;;32;8;9;;5;1;8;;4;;;;;;;;;;;;
Emmen;G0114;11180;Drenthe;P22;6797;5814;0;;5814;799;1776;1073;762;349;294;63;68;44;37;;212;;41;;94;28;33;10;43;57;;31;;;;;;;;;;;
Empel en Meerwijk;G0773;10295;Noord-Brabant;P30;159;153;0;;153;139;;1;;2;;2;;;2;1;;;;2;;3;1;;;;;;;;;;;;;;;;
Engelen;G0774;10322;Noord-Brabant;P30;97;91;0;;91;69;2;1;2;8;;;1;1;4;2;;;;;1;;;;;;;;;;;;;;;;;;
Enkhuizen;G0388;10729;Noord-Holland;P27;2098;1854;0;;1854;226;489;354;259;211;50;28;10;4;34;98;3;12;;41;3;5;2;4;18;;;3;;;;;;;;;;;
Enschede;G0153;10364;Overijssel;P23;9032;7407;0;;7407;1536;2883;575;323;418;177;568;256;86;51;11;13;188;113;24;17;42;4;30;46;29;7;10;;;;;;;;;;;
Epe;G0232;10940;Gelderland;P25;2513;2339;0;;2339;247;591;185;66;473;373;141;110;10;23;9;5;;8;4;18;23;5;7;17;6;16;;;;;;2;;;;;;
Ermelo;G0233;10732;Gelderland;P25;2233;1912;0;;1912;11;148;663;77;755;5;19;39;6;32;2;27;;5;12;8;2;5;6;32;3;51;;;;;;4;;;;;;
Erp;G0775;10385;Noord-Brabant;P30;665;647;0;;647;635;1;;;;1;;;;4;;;;;;1;;;;5;;;;;;;;;;;;;;
Esch;G0776;10709;Noord-Brabant;P30;161;152;0;;152;150;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;
Escharen;G1057;10299;Noord-Brabant;P30;318;306;0;;306;302;;;;;;;;;1;;;;;;1;;;2;;;;;;;;;;;;;;;
Est en Opijnen;G0234;11092;Gelderland;P25;283;259;0;;259;1;53;11;;14;7;;119;1;1;1;;;8;3;;3;20;;2;;15;;;;;;;;;;;;
Etten en Leur;G1251;10750;Noord-Brabant;P30;1791;1620;0;;1620;1376;117;;11;71;7;4;2;13;1;1;;;;2;1;1;1;1;11;;;;;;;;;;;;;;
Everdingen;G0508;10638;Zuid-Holland;P28;322;281;0;;281;63;15;42;1;7;7;1;94;1;3;1;1;20;10;;;;2;;;1;;10;;;;;;;;;2;;
Ewijk;G0235;10471;Gelderland;P25;664;603;0;;603;567;1;2;;;;1;23;;;6;;;;;;;3;;;;;;;;;;;;;;;;
Ezinge;G0012;10136;Groningen;P20;456;433;0;;433;1;107;127;5;21;147;5;1;3;2;5;;;4;1;;;1;;;2;;;;;;;;;;;;;1
Ferwerderadeel;G0068;11284;Fryslân;P21;2092;1974;0;;1974;5;296;937;288;296;40;3;1;1;;3;4;;8;9;7;5;;16;8;20;;1;;8;8;10;;;;;;;
Fijnaart en Heijningen;G0778;10206;Noord-Brabant;P30;986;918;0;;918;353;19;136;10;339;;6;11;3;3;;2;;;;29;2;2;1;2;;;;;;;;;;;;;;
Finsterwolde;G0013;10212;Groningen;P20;717;544;0;;544;1;158;40;27;23;195;18;16;6;11;2;1;1;6;13;1;6;1;1;9;4;;;;;;;;;;;;;4
Franeker;G0069;11226;Fryslân;P21;1978;1606;0;;1606;223;552;299;48;185;130;43;3;2;;6;1;4;15;28;6;11;;2;5;6;;;;14;22;1;;;;;;;
Franekeradeel;G0070;10404;Fryslân;P21;1416;1280;0;;1280;51;419;208;40;281;151;16;3;7;;3;;1;14;5;13;6;;8;3;17;;;;17;14;3;;;;;;;
Gaasterland;G0071;10036;Fryslân;P21;1423;1311;0;;1311;277;155;358;29;377;12;13;3;2;;3;1;;5;2;24;4;3;14;4;7;;4;;5;5;4;;;;;;;
Gameren;G1058;10037;Gelderland;P25;504;442;0;;442;2;102;254;;3;2;;37;;1;1;1;;10;15;;;5;;8;;1;;;;;;;;;;;;
Gassel;G1059;10705;Noord-Brabant;P30;153;149;0;;149;149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gasselte;G0115;11099;Drenthe;P22;698;611;0;;611;5;174;110;15;39;159;14;14;5;16;;18;;17;;14;3;2;;3;1;;2;;;;;;;;;;;
Geertruidenberg;G0779;10101;Noord-Brabant;P30;557;495;0;;495;339;53;12;1;21;33;6;6;3;;1;1;;;2;;3;9;3;2;;;;;;;;;;;;;;
Geervliet;G0509;10842;Zuid-Holland;P28;270;246;0;;246;1;85;28;18;14;2;2;13;8;1;;3;1;;1;1;;;;;46;5;15;2;;;;;;;;;;
Geffen;G0780;10370;Noord-Brabant;P30;364;340;0;;340;337;1;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;
Geldermalsen;G0236;10881;Gelderland;P25;927;853;0;;853;10;253;126;2;92;24;8;246;;4;3;4;;37;12;4;3;13;1;;;11;;;;;;;;;;;;
Geldrop;G0781;10529;Noord-Brabant;P30;819;777;0;;777;724;20;5;2;2;2;3;1;3;10;;1;;;2;;1;;;1;;;;;;;;;;;;;;
Geleen;G0906;10048;Limburg;P31;809;778;0;;778;736;15;;;;3;7;1;;;;;;;;;1;;5;10;;;;;;;;;;;;;;
Gemert;G0782;10277;Noord-Brabant;P30;1182;1107;0;;1107;1068;;;;;1;2;6;;14;;;;;1;2;4;;;9;;;;;;;;;;;;;;
Genderen;G1060;10010;Noord-Brabant;P30;321;294;0;;294;26;5;164;56;18;2;7;5;;2;1;1;;;1;1;2;1;1;1;;;;;;;;;;;;;;
Gendringen;G0237;10260;Gelderland;P25;2044;1893;0;;1893;1385;31;102;49;31;21;19;4;1;2;16;6;;2;2;212;1;;2;7;;;;;;;;;;;;;;
Gendt;G0238;10440;Gelderland;P25;801;663;0;;663;608;6;1;;11;3;3;13;;;11;1;;;1;;;1;2;2;;;;;;;;;;;;;;
Genemuiden;G0154;10746;Overijssel;P23;759;706;0;;706;2;9;551;28;5;52;1;2;;3;;13;2;;1;1;1;2;;2;2;28;1;;;;;;;;;;;
Gennep;G0907;10542;Limburg;P31;752;692;0;;692;494;45;2;;10;6;28;2;;;;;;;79;1;;11;10;4;;;;;;;;;;;;;;
Gestel en Blaarthem;G1061;11269;Noord-Brabant;P30;1131;1037;0;;1037;860;105;;2;6;7;11;1;;17;2;5;;;1;2;12;4;1;1;;;;;;;;;;;;;;
Geulle;G0908;10530;Limburg;P31;289;281;0;;281;264;10;;;1;;3;;;;;;;;;;;;3;;;;;;;;;;;;;;;
Giessen;G0783;10193;Noord-Brabant;P30;134;126;0;;126;;6;53;35;17;2;;9;;1;;1;;;;;;1;;1;;;;;;;;;;;;;;
Giessendam;G1063;10606;Zuid-Holland;P28;1020;854;0;;854;4;150;440;14;12;10;4;90;13;9;2;;18;7;4;1;1;1;;;7;27;32;4;;;;;;;;4;;
Giessen-Nieuwkerk;G1062;10255;Zuid-Holland;P28;236;220;0;;220;1;13;111;2;23;1;;49;;6;2;;6;;;;;1;;;1;;4;;;;;;;;;;;
Gieten;G0116;10506;Drenthe;P22;732;676;0;;676;4;248;47;90;19;160;20;20;1;16;;18;;18;;9;2;2;;;;;2;;;;;;;;;;;
Giethoorn;G0155;10708;Overijssel;P23;619;579;0;;579;2;319;61;108;36;3;2;19;7;4;;3;;;2;;5;;2;2;3;;1;;;;;;;;;;;
Gilze en Rijen;G0784;11375;Noord-Brabant;P30;1225;1184;0;;1184;1163;3;1;;;1;2;;3;;1;1;;;2;;2;;;5;;;;;;;;;;;;;;
Ginneken en Bavel;G1064;10406;Noord-Brabant;P30;1868;1698;0;;1698;1347;116;14;18;27;28;48;48;7;2;;18;;;2;1;4;11;5;2;;;;;;;;;;;;;;
Goedereede;G0511;10981;Zuid-Holland;P28;311;265;0;;265;;46;69;56;2;10;3;32;9;4;2;6;2;2;;4;;;;;4;2;9;2;;;;;;;;1;;
Goes;G0664;10674;Zeeland;P29;1732;1552;0;;1552;209;301;208;330;296;46;43;8;5;9;;2;2;12;19;10;3;5;11;10;;23;;;;;;;;;;;;
Goirle;G0785;10971;Noord-Brabant;P30;792;745;0;;745;689;36;3;1;;1;2;4;5;;;1;;;;;;1;2;;;;;;;;;;;;;;;
Goor;G0156;10076;Overijssel;P23;925;858;0;;858;164;390;6;49;32;88;13;24;35;11;1;2;5;4;7;5;7;;4;4;5;1;1;;;;;;;;;;;
Gorinchem;G0512;10942;Zuid-Holland;P28;2981;2596;0;;2596;344;433;518;6;58;123;25;534;213;59;14;3;29;14;99;7;24;43;;;6;7;23;10;;;;;;;;4;;
Gorssel;G0239;10085;Gelderland;P25;1595;1470;0;;1470;90;330;292;241;105;47;23;136;5;14;2;12;;12;4;28;5;3;;6;34;2;;;;;;79;;;;;;
Gouda;G0513;10302;Zuid-Holland;P28;5869;5239;0;;5239;1176;1406;953;777;73;145;52;52;101;45;23;40;23;;21;174;31;34;7;72;9;;9;16;;;;;;;;;;
Gouderak;G0514;11258;Zuid-Holland;P28;494;435;0;;435;6;97;170;71;12;20;5;4;10;6;2;6;;;3;2;;5;;11;1;;3;1;;;;;;;;;;
Goudriaan;G0515;10450;Zuid-Holland;P28;165;158;0;;158;;2;122;10;5;3;;2;1;1;;1;2;;;1;1;;;;1;1;5;;;;;;;;;;;
Goudswaard;G0516;10914;Zuid-Holland;P28;342;306;0;;306;1;43;111;9;17;5;4;23;3;4;;1;1;1;;;2;1;;;24;42;12;2;;;;;;;;;;
Graauw en Langendam;G0665;10312;Zeeland;P29;520;477;0;;477;410;2;4;12;6;26;2;;3;;;;1;2;;1;;;2;5;1;;;;;;;;;;;;;
Grafhorst;G1065;10224;Overijssel;P23;179;164;0;;164;2;22;20;54;38;2;;2;;;;;;;2;1;;;2;;;18;1;;;;;;;;;;;
Graft;G0389;10484;Noord-Holland;P27;348;323;0;;323;71;122;1;13;21;61;5;4;5;1;2;1;3;;5;1;1;1;;2;1;;2;;;;;;;;;;;
Gramsbergen;G0157;11339;Overijssel;P23;861;794;0;;794;29;36;233;164;76;7;6;31;4;4;1;161;;1;;10;6;;10;7;5;3;;;;;;;;;;;;
Grathem;G0909;11008;Limburg;P31;331;318;0;;318;308;;;;;1;1;;;;;;;;;;;;6;2;;;;;;;;;;;;;;
Grave;G0786;10165;Noord-Brabant;P30;518;462;0;;462;392;26;2;;;1;4;3;3;8;1;1;1;;2;;7;;1;10;;;;;;;;;;;;;;
Grevenbicht;G0910;10624;Limburg;P31;338;321;0;;321;255;9;;4;10;7;6;16;1;;;;;;7;;;;2;4;;;;;;;;;;;;;;
Grijpskerk;G0016;10244;Groningen;P20;784;777;0;;777;2;55;403;76;38;162;11;;4;6;5;;;4;2;;1;1;;4;;;1;;;;;;;;;;;2
Grijpskerke;G1067;10801;Zeeland;P29;210;195;0;;195;;1;127;2;41;;;;;;;3;1;;;;;;1;;;19;;;;;;;;;;;;
Groede;G0667;11312;Zeeland;P29;593;550;0;;550;75;31;51;332;19;1;4;5;1;3;;2;;3;;3;2;2;9;6;1;;;;;;;;;;;;;
Groenlo;G0240;11094;Gelderland;P25;837;785;0;;785;570;70;16;71;3;1;8;10;1;9;3;1;;4;;2;1;;1;3;;7;;;;;;4;;;;;;
Groesbeek;G0241;10616;Gelderland;P25;1439;1298;0;;1298;1171;27;17;;6;6;11;8;3;7;29;;;1;4;;1;1;2;4;;;;;;;;;;;;;;
Groningen;G0014;10426;Groningen;P20;20107;16517;0;;16517;1449;5504;1939;631;1146;2190;1272;275;979;87;84;43;176;137;72;31;191;134;62;53;14;;14;;;;;;;;;;;34
