RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);Communistische Partij van Nederland;Staatkundig Gereformeerde Partij (SGP);Revolutionair-Socialistische Partij (RSP);Plattelandersbond;Rooms-Katholieke Volkspartij (RKVP);Christelijk-Democratische Unie;HGSP;VNH;Onafhankelijk Socialistische Partij;Katholiek Democratische Bond;Algemeen Nederlandse Fascistenbond;Democratische Partij;Nationaal Verbond Plicht, Orde, Recht;Nederlandse Christelijke Arbeiderspartij;Limburgsche Federatie;Verbond van Nationalisten;Roomsch-Katholieke Arbeiderspartij (RKAP);Recht en Vrijheid;Marktkooplieden;Lijst Wolswinkel;Onafhankelijke Zakenlui;Nationaal-Socialistische Partij;Nederlandsche Fascisten Unie;Lijst Jacobs;RK Bouwvakarbeiders;Handeldrijvende Middenstand;Volkswelvaartspartij;Bond van Belastingbetalers;Lijst Eijking;Nieuwe Socialistische Partij;Lijst Engels;Hoofd- en handarbeiders;Nationaal Verbond voor Arbeidersbelangen;Lijst Bongers;Lijst De Wit;Voor Algemeen Welzijn;Zuiderzee Partij;Algemeene Nederlandse Huurdersbond;Oranjefascisten;Universeele Partij;Nationale Werkliedenpartij;Anti-crisis Partij;Proletarische Groep;Centrale Democratische Arbeiderspartij;Lijst Triesscheijn;Opbouw en Verbroedering;Algemeene Arbeidersbond;Lijst Groothuis
Kessel;G0929;10890;Limburg;P31;736;707;3;13;691;650;9;;3;2;2;3;1;;;6;1;;;;5;1;2;;;5;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
Kesteren;G0258;10916;Gelderland;P25;2067;1849;10;65;1774;14;318;636;32;73;32;7;563;3;46;;12;5;6;3;2;1;6;2;;;8;;;;3;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;
Kethel en Spaland;G1096;10551;Zuid-Holland;P28;1028;997;4;33;960;412;64;66;274;60;6;22;16;3;11;1;5;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Klaaswaal;G0539;10284;Zuid-Holland;P28;1058;971;3;37;931;1;186;187;173;129;28;10;165;5;26;1;1;1;3;4;1;1;;2;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Klimmen;G0930;10977;Limburg;P31;911;880;20;6;854;670;12;;3;;;4;2;1;;18;2;;;;69;1;;1;1;63;1;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;
Kloetinge;G0680;10155;Zeeland;P29;1158;1091;17;18;1056;41;68;188;525;112;33;3;54;;;4;5;2;3;3;;1;5;;;;5;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kloosterburen;G0021;10628;Groningen;P20;1101;1050;3;8;1039;410;227;219;11;66;68;5;3;1;7;;;;1;3;;4;8;;;;4;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
Klundert;G0804;10656;Noord-Brabant;P30;2330;2163;17;20;2126;699;127;699;374;19;6;1;132;3;4;19;3;7;4;1;2;;4;1;7;;2;4;1;2;3;;;;;2;;;;;;;;;;;;;;;;;;;;;;;
Kockengen;G0324;10765;Utrecht;P26;400;387;1;5;381;117;6;118;32;7;1;1;72;;14;;;8;2;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Koedijk;G0410;10510;Noord-Holland;P27;1036;980;8;25;947;208;326;34;22;74;151;1;;14;93;10;1;;;1;;2;3;1;;;1;;;;;;1;;;;;;;3;;;;;;1;;;;;;;;;;;;;
Koewacht;G0681;10892;Zeeland;P29;1069;1001;25;18;958;545;101;3;2;6;3;4;9;1;2;3;;;;7;;1;5;1;;;263;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kollumerland en Nieuwkruisland;G0079;10984;Fryslân;P21;4520;4330;32;35;4263;11;268;1941;1138;162;264;39;35;2;15;1;97;2;4;14;;1;16;3;238;;7;;3;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;
Koog aan de Zaan;G0411;10776;Noord-Holland;P27;2686;2574;28;82;2464;168;968;212;56;164;413;268;25;75;9;8;28;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kortenhoef;G1097;10467;Noord-Holland;P27;748;692;1;21;670;133;125;74;180;18;16;3;76;2;4;5;19;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kortgene;G0682;10250;Zeeland;P29;769;665;16;32;617;4;87;173;92;47;74;5;86;3;19;;1;2;8;1;;1;3;4;;;4;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Koudekerk aan den Rijn;G0540;10029;Zuid-Holland;P28;831;798;8;22;768;90;55;251;294;20;6;5;14;;13;;3;8;4;;;2;2;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
Koudekerke;G1098;11428;Zeeland;P29;2115;1959;24;46;1889;26;173;679;531;144;83;6;168;2;7;5;3;4;11;6;4;4;16;5;;;8;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Krabbendijke;G0684;11038;Zeeland;P29;1302;1077;10;10;1057;6;87;199;308;24;58;;345;1;9;2;4;;5;1;1;2;1;1;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Krimpen aan de Lek;G0541;10617;Zuid-Holland;P28;1669;1546;40;26;1480;3;451;348;33;40;143;20;320;2;39;;1;;6;14;1;13;;3;;;;5;2;;1;;;;;;;;4;;;;1;;;;;;;;;;;;;;;;
Krimpen aan den IJssel;G0542;10859;Zuid-Holland;P28;2356;2190;34;98;2058;12;694;310;196;99;43;74;490;1;30;;5;8;52;34;;15;7;4;;;3;1;;;2;;;;;;;;6;;;;2;;;;;;;;;;;;;;;;
Krommenie;G0413;10373;Noord-Holland;P27;3093;2985;10;49;2926;596;578;255;59;130;305;820;4;47;38;15;26;;3;5;11;3;4;3;;;2;;;;;;;;;;;;;16;;;;;;2;;4;;;;;;;;;;;
Kruiningen;G0685;10077;Zeeland;P29;2118;1832;47;41;1744;244;304;244;343;113;181;6;172;11;21;6;18;26;9;11;5;7;6;10;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kuinre;G0167;11148;Overijssel;P23;378;357;3;4;350;37;45;19;101;31;23;1;;1;;;86;;1;2;;;;1;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kwadijk;G0414;10775;Noord-Holland;P27;252;234;6;3;225;5;99;17;7;10;24;5;;1;49;;1;1;1;2;;;;2;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;
Laag-Nieuwkoop;G1100;10305;Utrecht;P26;230;224;0;0;224;99;5;37;23;;;;34;;15;;1;8;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Landsmeer;G0415;11225;Noord-Holland;P27;1946;1848;25;42;1781;57;524;408;100;46;259;158;18;19;54;3;17;73;4;9;2;14;6;3;;;1;;;;;;1;;;;;;;1;;;;;;4;;;;;;;;;;;;;
Langbroek;G0325;11413;Utrecht;P26;682;635;9;10;616;129;30;176;52;10;9;;167;1;7;;3;;3;;;1;5;;1;;1;;1;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lange Ruige Weide;G1101;10900;Zuid-Holland;P28;365;323;3;0;320;13;4;134;56;8;1;;70;;33;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langerak;G0543;11127;Zuid-Holland;P28;451;414;6;7;401;1;37;149;14;13;17;;121;;16;;2;7;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Laren;G0417;10649;Noord-Holland;P27;3633;3432;20;142;3270;1506;288;338;111;332;134;42;23;20;8;198;40;4;105;59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Laren (Gld.);G0259;10098;Gelderland;P25;3080;2860;44;65;2751;33;238;504;310;564;143;24;2;1;855;5;1;6;10;7;1;10;6;4;3;;;1;5;;28;;3;;;;;;2;;;;;;;;2;;;1;;;;;;;;;
Leek;G0022;10604;Groningen;P20;3795;3585;27;67;3491;13;799;1198;281;326;470;45;;2;163;6;52;6;8;9;;12;75;5;;;13;;7;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
Leende;G0805;11017;Noord-Brabant;P30;876;843;3;2;838;806;11;8;4;;;;;;2;3;;;;;1;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leens;G0023;11050;Groningen;P20;2200;2089;20;29;2040;186;350;795;49;245;262;24;5;2;5;3;13;8;16;3;2;3;45;2;;;8;;11;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
Leerbroek;G0544;10465;Zuid-Holland;P28;463;376;5;8;363;;15;216;19;12;;;76;;12;2;;1;;2;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leerdam;G0545;10685;Zuid-Holland;P28;4356;4094;46;100;3948;179;1011;1353;400;94;191;59;456;4;88;3;11;18;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leersum;G0326;11142;Utrecht;P26;1151;1071;11;26;1034;11;204;238;119;108;42;6;163;4;31;;3;6;4;1;2;10;4;;1;;2;;;;74;;;;;;;;;;;;;;;;;;;1;;;;;;;;;
Leeuwarden;G0080;11228;Fryslân;P21;27229;25579;307;712;24560;2410;8028;3911;1965;2291;2370;569;77;170;61;181;738;229;140;886;34;65;148;106;66;;51;;53;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;
Leeuwarderadeel;G0081;10851;Fryslân;P21;9972;9483;56;166;9261;473;3410;1817;755;640;1122;141;15;37;126;25;359;36;23;166;3;21;23;16;18;;11;;21;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;
Leiden;G0546;10702;Zuid-Holland;P28;37754;36080;556;1215;34309;6783;9729;4559;4728;2145;1400;1122;459;436;25;362;291;890;373;182;119;247;124;130;22;;19;38;13;;9;;;;;;;;83;;;;19;;;;;;;;;;;;;;;;
Leiderdorp;G0547;10058;Zuid-Holland;P28;1200;1162;7;30;1125;126;76;528;254;23;17;11;26;1;12;;5;29;1;1;1;2;2;;1;;1;2;;;;;;;;;;;3;;;;3;;;;;;;;;;;;;;;;
Leimuiden;G0549;11351;Zuid-Holland;P28;962;892;13;4;875;414;18;202;114;29;16;4;6;;13;2;1;45;2;;1;1;;2;;;1;;1;;1;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;
Lekkerkerk;G0550;10050;Zuid-Holland;P28;2304;2200;29;47;2124;3;513;245;22;405;118;26;288;1;427;1;1;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lemsterland;G0082;10142;Fryslân;P21;3711;3429;35;61;3333;211;688;697;568;33;205;268;78;5;16;;490;5;11;42;1;2;10;1;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leusden;G0327;10978;Utrecht;P26;1139;1061;20;23;1018;347;81;136;85;131;9;4;92;1;39;4;6;17;7;1;;4;1;1;;;;;2;;42;;;;;;;1;;;;;;;;;;;;7;;;;;;;;;
Lexmond;G0551;10930;Zuid-Holland;P28;870;788;9;19;760;3;119;227;204;42;17;3;90;;33;1;2;2;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lichtenvoorde;G0260;10242;Gelderland;P25;3248;3177;23;21;3133;2606;46;75;256;23;31;8;3;;19;19;9;;1;2;8;2;5;;;;;2;1;;7;;8;;;;;;1;;;;;;;;;;;1;;;;;;;;;
Liempde;G0806;10390;Noord-Brabant;P30;903;868;5;5;858;837;2;;4;;2;;7;;;;;;;;4;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lienden;G0261;11093;Gelderland;P25;2357;2203;43;59;2101;11;634;289;97;341;51;14;304;6;182;4;92;8;1;13;;11;16;1;;;5;;;;18;;1;;;;;;;;2;;;;;;;;;;;;;;;;;;
Lierop;G1102;11279;Noord-Brabant;P30;521;507;2;2;503;498;;;3;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Lieshout;G0807;10637;Noord-Brabant;P30;953;928;2;1;925;918;1;;3;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;1;;;;;;;;;;;;;;;;;
Limbricht;G0931;11124;Limburg;P31;930;901;16;10;875;818;9;1;;;;;1;;2;3;1;;1;1;12;;1;;;13;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;
Limmen;G0418;11370;Noord-Holland;P27;1039;1010;4;8;998;760;51;9;4;34;17;22;;3;34;3;;;3;9;3;1;;;;;;;;;;;;;;;;;;44;;;;;;1;;;;;;;;;;;;;
Linden;G1103;11305;Noord-Brabant;P30;255;238;1;1;236;225;;;;;;;;;;5;;;;;5;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Linne;G0932;10990;Limburg;P31;749;697;12;28;657;569;19;4;8;1;1;;10;;;7;;;9;;10;1;2;;1;7;;;;;;;;;7;;;;;;;;;;1;;;;;;;;;;;;;;
Linschoten;G0328;11324;Utrecht;P26;849;781;9;10;762;203;19;125;106;55;3;2;188;2;17;9;7;;;1;4;6;5;;;;;;2;;1;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
Lisse;G0553;10197;Zuid-Holland;P28;3973;3742;24;26;3692;1944;236;457;501;145;47;3;252;2;3;16;5;48;11;2;;12;3;;2;;1;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;
Lith;G0808;11219;Noord-Brabant;P30;726;615;7;10;598;548;2;4;4;14;1;;1;;1;;;1;;;;;5;;1;;2;1;;5;3;;4;;;;;;;;;1;;;;;;;;;;;;;;;;;
Lithoijen;G1104;10024;Noord-Brabant;P30;304;278;3;1;274;250;;3;3;7;;;1;;1;1;;;;;;;3;;;;;;;2;1;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;
Lochem;G0262;11263;Gelderland;P25;3295;3086;51;107;2928;122;925;245;204;403;541;149;;4;203;9;8;3;23;44;4;11;8;2;5;;;7;2;;2;;1;;;;;;;;;;;;;;1;;;2;;;;;;;;;
Loenen;G0329;11202;Utrecht;P26;794;726;3;14;709;114;77;141;205;68;20;3;43;1;10;;9;13;2;1;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
Loenersloot;G1105;10208;Utrecht;P26;276;258;1;3;254;84;10;40;38;5;;1;28;1;1;2;;39;;;;;;8;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lonneker;G1106;11045;Overijssel;P23;16899;16287;398;750;15139;2469;4026;1186;1477;734;414;1339;58;710;730;492;486;11;45;740;47;;40;9;10;;20;;21;;17;;;57;;;;;;;;;;;;;;;;;;;;;;;;;
Loon op Zand;G0809;11259;Noord-Brabant;P30;4835;4659;67;28;4564;4064;45;30;77;11;4;15;170;2;7;49;3;5;3;2;4;4;11;4;13;;2;1;2;13;2;;;;;21;;;;;;;;;;;;;;;;;;;;;;;
Loosdrecht;G0330;10639;Utrecht;P26;1775;1622;17;47;1558;96;237;390;418;60;33;6;94;11;48;7;6;56;21;17;2;;3;37;6;;;1;;;2;;;1;;;;1;2;;;;;;;;;3;;;;;;;;;;;
Lopik;G0331;10333;Utrecht;P26;795;739;3;17;719;263;46;161;40;34;10;;95;5;53;1;;1;;1;;2;2;;;;;2;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Loppersum;G0024;10934;Groningen;P20;1946;1852;16;16;1820;6;346;852;122;102;274;7;;2;28;1;26;5;2;4;1;3;18;;3;;11;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Losser;G0168;11166;Overijssel;P23;6533;6327;66;130;6131;3788;706;73;428;56;41;175;19;8;46;643;26;1;18;45;;;17;;12;;;;3;;4;;;13;;;;;;;;;;;;;;;;;;;;;;;;;
Luyksgestel;G0810;10011;Noord-Brabant;P30;453;444;4;5;435;413;3;;1;2;;;1;;1;7;;;;;;;1;;;;;1;;1;;;2;;;;;;1;;;1;;;;;;;;;;;;;;;;;
Maarheeze;G0811;11143;Noord-Brabant;P30;1187;1143;2;10;1131;1098;4;2;4;;;1;;;4;4;;;1;;6;;2;;;;;;;;1;;3;;;;;;;;;1;;;;;;;;;;;;;;;;;
Maarn;G0332;10392;Utrecht;P26;875;801;12;11;778;63;135;122;173;48;20;;78;2;25;3;4;2;4;3;2;;3;;;;1;;;;88;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;
Maarssen;G0333;10191;Utrecht;P26;1772;1686;15;39;1632;446;322;273;215;107;70;10;90;2;38;7;10;5;6;4;1;7;2;2;1;;2;1;1;;7;;;3;;;;2;1;;;;;;;;;;;1;;;;;;;;;
Maarsseveen;G1108;10874;Utrecht;P26;938;896;21;22;853;158;133;128;247;24;23;3;63;;38;3;7;7;3;2;1;2;1;1;1;;;2;2;;;;;2;;;;;2;;;;;;;;;;;;;;;;;;;;
Maartensdijk;G0334;10691;Utrecht;P26;2526;2348;54;77;2217;321;342;508;189;214;92;22;343;4;56;7;12;23;27;2;10;13;1;5;3;;1;1;2;;8;;;3;;;;2;3;;;;;;;;;3;;;;;;;;;;;
Maasbracht;G0933;10964;Limburg;P31;838;814;8;16;790;719;13;2;1;2;;;2;;17;3;;;7;;4;1;;;;13;;;;;;;;;5;;;;;;;;;;1;;;;;;;;;;;;;;
Maasbree;G0934;11352;Limburg;P31;6125;5939;62;112;5765;4958;366;42;33;9;13;12;19;1;5;31;2;;45;7;171;8;6;3;2;13;3;;;;;;;;14;;;;;;;;;;2;;;;;;;;;;;;;;
Maasdam;G0554;11019;Zuid-Holland;P28;896;818;14;17;787;6;169;180;169;122;16;5;83;1;13;;1;2;3;2;;6;1;2;;;;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maashees en Overloon;G1109;10532;Noord-Brabant;P30;955;934;0;7;927;902;;;5;;;3;;;;7;;;;;3;;4;1;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;
Maasland;G0555;10393;Zuid-Holland;P28;1658;1595;3;21;1571;218;50;587;598;23;16;6;38;;8;;10;11;2;;;1;;;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maasniel;G1110;11261;Limburg;P31;1763;1676;47;53;1576;1341;99;5;7;6;1;8;9;;11;7;2;3;27;3;9;3;1;2;4;9;1;;;;;;;;17;;;;;;;;;;1;;;;;;;;;;;;;;
Maassluis;G0556;10880;Zuid-Holland;P28;4816;4476;34;64;4378;273;809;1635;984;180;208;30;102;8;1;;90;19;9;3;2;10;8;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maastricht;G0935;10182;Limburg;P31;30527;29175;526;868;27781;16322;7263;277;122;254;369;266;148;116;34;436;48;17;184;64;574;110;235;25;27;542;30;;17;;;;;;61;;;;;;;;;;240;;;;;;;;;;;;;;
Made en Drimmelen;G0812;10258;Noord-Brabant;P30;2407;2170;38;16;2116;1706;71;96;78;12;57;5;47;1;3;2;1;1;4;2;4;6;7;;1;;2;5;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;
Margraten;G0936;11243;Limburg;P31;573;565;5;2;558;401;1;;1;;1;;1;;3;4;1;;1;;5;1;2;;;135;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
Markelo;G0169;11382;Overijssel;P23;2840;2675;44;83;2548;135;540;397;274;94;184;36;34;4;718;11;18;4;7;28;2;;19;2;8;;13;;7;;9;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
Marken;G0419;10901;Noord-Holland;P27;761;721;1;1;719;1;24;251;383;2;2;;;1;;1;2;52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marum;G0025;11431;Groningen;P20;3065;2914;23;47;2844;3;707;866;129;295;398;112;;2;107;5;123;5;8;8;;12;46;2;1;;12;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maurik;G0264;10300;Gelderland;P25;2340;2107;22;39;2046;128;774;134;110;291;40;11;114;2;222;1;171;7;1;6;3;5;11;1;;;2;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Medemblik;G0420;11215;Noord-Holland;P27;2444;2448;12;43;2393;802;499;323;180;177;168;106;32;4;12;25;20;5;4;4;7;1;2;;;;7;;4;;;;1;;;;;;;2;;;;;;3;;7;;;;;;;;;;;
Meeden;G0026;10304;Groningen;P20;968;915;10;17;888;3;356;273;15;120;55;6;;;4;1;2;;2;5;;2;6;;3;;7;;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meerkerk;G0557;10618;Zuid-Holland;P28;963;864;6;15;843;2;126;361;29;147;26;2;74;1;28;2;;4;2;4;;30;;1;1;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meerlo;G0937;11416;Limburg;P31;1027;1014;2;5;1007;985;2;3;1;;4;;;;;4;;;;;1;;1;;;4;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;
Meerssen;G0938;10494;Limburg;P31;2536;2419;56;79;2284;1823;146;15;14;9;2;30;16;25;2;26;5;1;10;3;46;2;7;1;2;72;5;;1;;;;;;17;;;;;;;;;;4;;;;;;;;;;;;;;
Megen, Haren en Macharen;G0813;10988;Noord-Brabant;P30;862;817;2;5;810;791;2;;1;1;;1;;;;3;;;1;;2;;2;;;;;;;;;;4;;;;;;;;;2;;;;;;;;;;;;;;;;;
Meijel;G0941;10925;Limburg;P31;1057;1033;4;8;1021;996;7;;;;;;2;;1;2;1;2;;;6;;1;;;1;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
Melick en Herkenbosch;G0939;10196;Limburg;P31;1374;1308;20;53;1235;933;92;;2;4;2;8;12;;2;4;;1;69;;50;1;3;7;2;31;1;;;;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;
Meliskerke;G1112;11221;Zeeland;P29;367;304;5;0;299;;1;121;17;6;3;;145;;1;;;;;1;;1;1;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Melissant;G1113;10918;Zuid-Holland;P28;970;876;10;30;836;27;88;257;176;25;8;4;212;;8;3;8;1;3;;;7;3;3;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Menaldumadeel;G0083;11144;Fryslân;P21;6108;5843;31;48;5764;262;1912;1243;707;285;741;124;6;8;58;3;250;40;2;30;;6;37;3;3;;6;;36;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;
Meppel;G0119;11204;Drenthe;P22;6708;6310;69;222;6019;126;1482;1124;1368;410;790;75;35;7;51;15;358;8;11;14;;18;43;37;;;13;9;7;;11;;;;;;;;;;;;;;;;;;;;;;;7;;;;;
Merkelbeek;G0940;10763;Limburg;P31;513;490;8;6;476;411;17;5;2;1;;8;5;;;9;2;;;4;6;;;;;2;;;1;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
Mesch;G1114;11070;Limburg;P31;151;146;1;7;138;57;4;;;;;;1;;3;;;;;;2;;;;;71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mheer;G0942;10538;Limburg;P31;456;427;9;8;410;180;7;1;1;;1;1;3;;1;2;;;;;3;;2;;1;207;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Middelburg;G0687;10122;Zeeland;P29;10886;10161;156;239;9766;601;2395;2200;1581;892;1057;160;368;12;26;27;42;42;65;51;26;19;48;122;;;20;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Middelharnis;G0559;11067;Zuid-Holland;P28;2458;2179;31;43;2105;99;270;640;59;284;82;8;514;7;55;1;5;6;4;9;4;34;10;2;4;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Middelie;G0421;10452;Noord-Holland;P27;353;325;4;1;320;;124;3;8;14;80;3;;;78;;5;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;
Middelstum;G0027;11199;Groningen;P20;1383;1303;11;9;1283;4;217;659;63;79;91;16;2;3;8;1;110;1;1;4;;4;7;2;3;;4;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Midwolda;G0028;10356;Groningen;P20;2321;2203;34;36;2133;4;410;635;474;66;160;91;17;3;20;3;7;183;1;6;;1;18;5;1;;25;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Midwoud;G0422;10924;Noord-Holland;P27;673;638;1;5;632;29;166;3;7;234;151;4;;;30;;4;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mierlo;G0814;10215;Noord-Brabant;P30;2322;2246;13;30;2203;1997;90;3;7;2;6;13;5;;9;13;;;;;2;4;6;;3;;;;;3;;;8;;;;;;;;;35;;;;;;;;;;;;;;;;;
Mijdrecht;G0336;11379;Utrecht;P26;2152;2077;14;36;2027;742;182;453;393;65;22;9;88;4;12;13;7;9;5;1;5;3;3;;3;;1;1;1;;1;;;2;;;;2;1;;;;;;;;;;;1;;;;;;;;;
Mijnsheerenland;G0564;11112;Zuid-Holland;P28;903;825;11;22;792;1;69;349;179;51;5;3;72;1;37;;1;4;5;1;;8;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mill en Sint Hubert;G0815;10535;Noord-Brabant;P30;1682;1609;13;8;1588;1539;7;5;4;4;1;;2;;3;1;;2;1;1;;;2;1;1;;4;;;;1;;4;;;;;;1;;;4;;;;;;;;;;;;;;;;;
Millingen;G1259;10072;Gelderland;P25;1671;1393;21;48;1324;921;180;6;5;;3;2;1;;36;123;2;2;5;3;22;7;2;1;;;1;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
Moergestel;G0816;11191;Noord-Brabant;P30;1085;1063;10;7;1046;960;9;3;1;;1;2;7;;;58;;;;;;;;1;;;1;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;
Moerkapelle;G0560;11383;Zuid-Holland;P28;384;354;7;4;343;5;37;134;31;30;3;4;71;1;10;;;7;2;;;5;;;;;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Molenaarsgraaf;G0561;10166;Zuid-Holland;P28;320;287;6;2;279;2;23;110;33;30;4;;70;;3;;;;1;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Monnickendam;G0423;10983;Noord-Holland;P27;1393;1321;5;10;1306;290;240;195;363;56;31;11;;7;67;1;15;6;;;1;1;;10;;;1;;;;;;1;;;;;;;5;;;;;;;;5;;;;;;;;;;;
Monster;G0562;10019;Zuid-Holland;P28;4781;4567;37;33;4497;2161;304;725;247;128;18;23;523;6;71;4;;133;9;3;24;99;3;3;1;;;7;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Montfoort;G0335;10033;Utrecht;P26;996;963;12;12;939;569;35;88;81;10;4;;50;;4;77;;1;;;11;3;1;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Montfort;G0943;10266;Limburg;P31;596;590;13;19;558;511;11;1;;;;;2;;5;1;;;2;1;3;;3;1;;11;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;
Mook en Middelaar;G0944;10271;Limburg;P31;892;846;7;14;825;637;35;4;12;9;4;;2;;;103;;;5;;;2;3;1;2;3;;;;;;;;;1;;;;;;;;;;2;;;;;;;;;;;;;;
