RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);Staatkundig Gereformeerde Partij (SGP);Groep Staalman-ter Hall;Rooms-Katholieke Volkspartij (RKVP);Plattelandersbond (Braat);Communistische Partij van Nederland;HGSP;Middenstandspartij;Plattelandersbond (De Boer);Protestantsche Volkspartij;Christen-democraten;Vaderlandsch Verbond;Revolutionair arbeiderscomitT;Democratische Partij;Socialistische Partij (SOPA);Rapaille-partij;Sport-partij;Bezuinigingspartij;Vrijdenkers;Actualisten;Pensioenactie;Grondpartij;Landbouwpartij;Premievrij Staatspensioen;Nieuwe Nationale Partij;Wilde Partij;Rentetrekkers;Vrijzinnige Christenpartij
Heinenoord;G0528;10821;Zuid-Holland;P28;944;819;;;819;4;90;237;113;93;16;158;2;1;84;;;4;3;1;;7;1;3;;;;;;2;;;;;;;;
Heinkenszand;G0672;10413;Zeeland;P29;914;857;42;;815;390;3;135;149;43;54;23;;1;7;2;;;1;1;;4;;;;;;;2;;;;;;;;;
Heino;G0162;10854;Overijssel;P23;1313;1254;;;1254;611;60;78;368;12;79;;2;17;2;2;;2;10;9;;2;;;;;;;;;;;;;;;;
Hekelingen;G1074;10873;Zuid-Holland;P28;508;445;;;445;;188;21;24;48;10;20;7;;119;;;;2;;;2;;3;;;;;;;;;;;1;;;
Hekendorp;G1075;10217;Zuid-Holland;P28;340;302;7;;295;69;17;69;41;37;11;19;2;3;13;;7;2;;;;1;2;1;;;;;;1;;;;;;;;
Helden;G0918;10205;Limburg;P31;2480;2366;;;2366;2308;5;1;;3;3;2;1;17;2;4;1;;;1;4;2;;;;;;3;;;;;9;;;;;
Hellendoorn;G0163;10806;Overijssel;P23;5441;5130;;;5130;1010;502;1089;1738;309;72;73;9;29;65;33;4;9;52;85;21;19;4;3;4;;;;;;;;;;;;;
Hellevoetsluis;G0530;11078;Zuid-Holland;P28;1329;0;;;;35;251;164;168;213;157;;;;2;2;;;3;;;;;;;;;;;;;;;;;;;
Helmond;G0794;10932;Noord-Brabant;P30;9263;8802;440;;8362;6539;782;72;81;94;156;1;61;379;6;20;7;27;;;15;28;;5;3;23;;14;;7;;;;42;;;;
Helvoirt;G0795;10389;Noord-Brabant;P30;974;918;;;918;868;2;6;15;2;6;1;1;11;;;;;;2;;4;;;;;;;;;;;;;;;;
Hemelumer Oldephaert en Noordwolde;G1260;10334;Fryslân;P21;2740;2538;33;;2505;94;201;539;1258;28;169;1;;1;28;2;32;6;118;12;1;5;;1;1;;4;2;;2;;;;;;;;
Hemmen;G1076;11162;Gelderland;P25;;95;;;95;2;2;38;31;5;;6;;;8;;;;1;1;;1;;;;;;;;;;;;;;;;
Hendrik-Ido-Ambacht;G0531;10416;Zuid-Holland;P28;2013;0;;;;;331;589;199;160;29;312;;;99;4;;;;;;;;;;;;;;;;;;;;;;
Hengelo;G0248;10359;Gelderland;P25;2194;2057;32;19;2006;674;118;529;267;122;127;16;9;5;62;;1;15;5;42;2;8;;1;;;;2;;;;;;;1;;;
Hengelo;G0164;10907;Overijssel;P23;14160;12914;;;12914;3957;4848;592;562;576;1162;10;171;230;290;246;16;29;16;37;33;60;11;16;52;;;;;;;;;;;;;
Hengstdijk;G1077;10636;Zeeland;P29;;282;6;;276;255;;;3;2;;;1;3;;;;;;;;;;;;;;11;1;;;;;;;;;
Hennaarderadeel;G0076;10877;Fryslân;P21;2602;2452;42;;2410;98;316;445;1176;158;119;1;;2;20;;15;2;29;10;1;4;2;5;;;1;;;1;;4;;;1;;;
Hensbroek;G0401;10181;Noord-Holland;P27;470;448;4;;444;213;12;2;;38;156;;;2;19;;;;;;;;1;;1;;;;;;;;;;;;;
Herkingen;G1078;10267;Zuid-Holland;P28;427;318;;;318;1;2;157;1;8;1;131;2;;7;;2;1;2;;;1;1;;;;;1;;;;;;;;;;
Herpen;G1079;11262;Noord-Brabant;P30;809;699;20;;679;609;3;3;2;1;4;;7;36;2;4;;1;;;;2;;;;2;;2;;1;;;;;;;;
Herpt;G1080;10845;Noord-Brabant;P30;298;281;3;;278;246;6;5;6;6;1;;;3;2;;;1;;;;;;2;;;;;;;;;;;;;;
Herten;G0919;10138;Limburg;P31;650;607;;;607;544;22;9;;4;3;;4;7;1;;;;;;1;;;;;;;2;;;;;10;;;;;
Herwen en Aerdt;G0249;10819;Gelderland;P25;2342;1941;;;1941;1483;195;34;11;26;96;8;13;28;10;;2;8;3;5;5;7;;2;;;;2;;1;;;;;2;;;
Herwijnen;G0250;11266;Gelderland;P25;977;839;10;11;818;1;147;293;166;4;13;20;2;;150;;3;;1;2;2;4;;6;;;;;;1;;;;;3;;;
Het Bildt;G0063;10128;Fryslân;P21;4756;4406;136;;4270;2;1321;1175;578;217;120;3;12;2;207;26;19;1;23;29;6;17;4;8;10;;19;2;;2;;462;;;5;;;
Heteren;G0251;10290;Gelderland;P25;1691;1543;;;1543;717;67;292;188;91;14;101;7;10;20;;15;1;1;8;3;4;;2;;;;2;;;;;;;;;;
Heumen;G0252;10600;Gelderland;P25;1622;891;;;891;825;7;2;11;12;4;2;4;15;2;;;1;1;1;;4;;;;;;;;;;;;;;;;
Heusden;G0797;10307;Noord-Brabant;P30;1056;910;37;;873;476;36;55;49;163;19;25;3;15;6;;5;3;;;;11;;1;1;2;;;;1;;;;2;;;;
Heythuysen;G0920;10840;Limburg;P31;1062;1015;;;1015;981;2;;;4;3;1;3;10;2;4;;;;1;;;1;;;;;;;;;;3;;;;;
Hillegersberg;G1081;10227;Zuid-Holland;P28;4157;3869;44;122;3703;394;731;773;512;724;163;101;63;6;72;9;76;7;7;5;4;15;11;6;2;;;8;;10;3;;;;1;;;
Hillegom;G0534;11236;Zuid-Holland;P28;4202;3984;106;;3878;1945;469;356;459;161;117;77;26;15;28;3;10;6;10;155;8;9;10;3;7;;;;;1;;;;;3;;;
Hilvarenbeek;G0798;11297;Noord-Brabant;P30;1666;1575;;;1575;1353;16;8;18;24;16;3;13;80;14;;1;7;;4;2;11;;2;1;;;1;;1;;;;;;;;
Hilversum;G0402;11285;Noord-Holland;P27;22080;20552;1183;;19369;4159;4222;2060;3195;2046;1057;301;304;495;71;579;69;79;48;180;143;117;78;50;25;;;63;;21;;;;;7;;;
Hindeloopen;G0077;10672;Fryslân;P21;530;487;15;;472;6;187;58;153;1;32;;5;2;3;;1;;8;3;5;1;;;1;;5;;;;;1;;;;;;
Hoedekenskerke;G0673;11072;Zeeland;P29;691;651;14;4;633;299;35;58;75;21;18;109;;6;3;1;1;;;1;;;;2;;;;2;2;;;;;;;;;
Hoek;G0674;10038;Zeeland;P29;;1280;70;;1210;19;101;233;208;261;13;218;9;;109;1;1;;20;2;;8;;;1;;;2;3;1;;;;;;;;
Hoenkoop;G0319;10611;Utrecht;P26;255;233;;;233;126;;55;33;5;;3;;1;7;;2;;1;;;;;;;;;;;;;;;;;;;
Hoensbroek;G0921;11177;Limburg;P31;3477;3197;165;;3032;1747;1037;42;35;4;5;7;16;41;9;11;3;;;5;21;7;9;;;;;10;;2;;;21;;;;;
Hoevelaken;G0253;11358;Gelderland;P25;538;467;17;;450;32;66;50;231;3;1;11;;;1;1;1;1;31;4;4;8;1;1;;;;;;2;;1;;;;;;
Hoeven;G0799;10065;Noord-Brabant;P30;1538;1330;;;1330;1255;14;2;4;2;4;2;1;30;2;;3;1;;;2;2;;2;2;;;2;;;;;;;;;;
Holten;G0165;11246;Overijssel;P23;1852;1722;;;1722;27;285;285;551;382;91;7;7;2;19;2;1;14;24;7;2;12;2;2;;;;;;;;;;;;;;
Hontenisse;G0675;11123;Zeeland;P29;2615;2406;81;;2325;1878;29;15;62;38;12;8;11;52;;1;12;;4;;5;3;3;1;;;;183;7;1;;;;;;;;
Hoofdplaat;G0676;10147;Zeeland;P29;;558;28;;530;379;13;10;86;17;3;1;3;4;7;;;;2;1;;2;;2;;;;;;;;;;;;;;
Hooge en Lage Mierde;G0801;10476;Noord-Brabant;P30;944;725;;;725;699;;;7;;;;2;11;1;;;3;;;;2;;;;;;;;;;;;;;;;
Hooge en Lage Zwaluwe;G0802;11318;Noord-Brabant;P30;2336;2063;;;2063;1046;93;235;424;40;18;34;6;17;104;;7;9;;2;4;13;;7;1;;;1;;2;;;;;;;;
Hoogeloon, Hapert en Casteren;G0800;10657;Noord-Brabant;P30;776;922;10;;912;875;1;;26;;1;;1;5;;;;3;;;;;;;;;;;;;;;;;;;;
Hoogeveen;G0118;10839;Drenthe;P22;6490;5351;;;5351;21;850;2524;1132;218;253;43;29;7;40;8;5;42;67;9;39;24;7;24;;;;;;;;6;;;3;;;
Hoogezand;G1083;10410;Groningen;P20;5482;4457;;;4457;365;2134;366;135;551;466;14;13;10;141;56;11;20;55;8;10;5;1;25;49;;4;6;;4;;4;;;4;;;
Hoogkarspel;G0403;10642;Noord-Holland;P27;970;907;10;5;892;452;39;;4;137;231;;9;2;8;;;;6;;;;3;;;;;;;1;;;;;;;;
Hoogkerk;G1084;10953;Groningen;P20;1575;1492;;;1453;17;498;500;126;80;132;;;;24;16;;;11;;;;;;;;;;;;;;;;;;;
Hoogland;G0320;10545;Utrecht;P26;1478;1356;;;1356;998;46;79;127;17;12;19;4;27;5;1;;1;;;;9;3;3;;;;;2;2;;;;;1;;;
Hoogvliet;G1085;10348;Zuid-Holland;P28;574;490;;;490;3;54;151;157;28;4;57;2;;25;1;1;2;2;;2;1;;;;;;;;;;;;;;;;
Hoogwoud;G0404;11029;Noord-Holland;P27;1082;1010;;;1010;434;67;2;3;74;348;;6;;56;;;;18;;1;1;2;;;;;1;;;;;;;;;;
Hoorn;G0405;11392;Noord-Holland;P27;6345;5919;65;115;5739;1582;1719;280;257;690;830;7;138;28;20;6;1;23;18;9;11;36;16;18;6;;;1;11;29;;1;;;2;;;
Hoornaar;G0536;10516;Zuid-Holland;P28;324;291;0;7;284;;28;167;3;39;15;6;;;21;1;1;;1;;;1;;1;;;;;;;;;;;;;;
Horn;G0922;11176;Limburg;P31;663;633;5;7;621;568;13;;;;2;;3;7;;;1;;;;3;;2;;;;;10;;;;;12;;;;;
Horssen;G0254;10607;Gelderland;P25;473;461;;;461;399;;1;30;15;1;1;1;1;1;;;;;;;11;;;;;;;;;;;;;;;;
Horst;G0923;11108;Limburg;P31;2954;2715;;;2715;2635;22;;4;;15;;5;25;1;;;;;3;;;2;1;;;;;;;;;2;;;;;
Houten;G0321;10230;Utrecht;P26;1079;993;19;8;966;623;28;30;44;15;12;172;1;13;15;;;1;4;;;3;4;;;;;;;;;;;;1;;;
Houthem;G1086;11111;Limburg;P31;706;674;9;12;653;555;42;1;2;5;6;;1;17;5;1;1;;;3;1;2;1;;;;;5;;2;;;3;;;;;
Huijbergen;G0803;10466;Noord-Brabant;P30;325;315;;;315;298;5;1;;;1;;;9;1;;;;;;;;;;;;;;;;;;;;;;;
Huissen;G0255;11047;Gelderland;P25;2220;1926;;;1926;1693;43;5;85;18;9;3;3;41;11;;1;8;2;;1;;;;;;;3;;;;;;;;;;
Huizen;G0406;11170;Noord-Holland;P27;3300;0;;;;16;280;1192;506;;;251;;;;;27;;;;311;;;;;;;;;;;;;;;;;
Hulsberg;G0924;11216;Limburg;P31;901;850;16;9;825;722;42;2;;;8;;2;31;2;;;;;;1;2;;3;;;;4;;;;;6;;;;;
Hulst;G0677;11408;Zeeland;P29;1766;1610;33;60;1517;972;148;4;12;34;33;7;7;47;9;2;15;;5;1;3;8;1;2;3;;;196;5;3;;;;;;;;
Hummelo en Keppel;G0256;11235;Gelderland;P25;;1416;;;1416;224;207;206;74;373;171;11;7;5;27;;2;5;1;95;2;4;;;;;;2;;;;;;;;;;
Hunsel;G0925;10784;Limburg;P31;609;575;;;575;562;;;;;;;1;9;;;;;;1;;;;;;;;1;;;;;1;;;;;
Hurwenen;G1089;11432;Gelderland;P25;302;278;6;;272;101;22;18;60;4;9;;;;33;;1;;21;;;;;2;;;;;;;;;;;1;;;
Idaarderadeel;G0078;10815;Fryslân;P21;3209;2964;90;;2874;158;1431;149;45;523;353;2;5;15;59;35;7;7;23;8;3;11;1;12;4;;11;1;;3;;8;;;;;;
IJlst;G0102;11062;Fryslân;P21;783;748;7;;741;4;104;239;294;23;15;;1;1;13;1;27;;5;4;5;1;;;1;;2;;;;;1;;;;;;
IJsselmonde;G1230;11357;Zuid-Holland;P28;2486;2216;;;2216;36;529;673;513;126;37;186;17;4;43;17;6;1;6;;1;7;8;1;3;;;2;;;;;;;;;;
IJsselmuiden;G0191;10641;Overijssel;P23;1375;1259;;;1259;271;67;233;145;43;32;345;7;8;81;1;5;2;7;1;1;4;;5;1;;;;;;;;;;;;;
IJsselstein;G0353;10152;Utrecht;P26;2121;1938;;;1938;972;113;131;237;9;6;170;4;89;31;1;133;3;7;4;2;1;4;15;;;;4;1;1;;;;;;;;
IJzendijke;G0730;10688;Zeeland;P29;1324;1236;27;40;1169;633;149;52;59;113;22;4;4;30;41;5;2;;4;2;3;8;1;16;;;;9;9;3;;;;;;;;
Ilpendam;G0407;10809;Noord-Holland;P27;;1054;;;1054;210;345;25;107;22;135;;3;2;156;38;1;;4;2;2;;;2;;;;;;;;;;;;;;
Itteren;G0926;10458;Limburg;P31;247;231;;;231;221;2;;;;;;;6;;;;;;;;1;;;;;;;;;;;1;;;;;
Ittervoort;G1090;10190;Limburg;P31;125;121;;;121;118;1;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;
Jaarsveld;G1091;10847;Utrecht;P26;758;637;;;637;47;51;172;114;13;13;170;;;26;2;14;1;1;1;1;2;2;6;1;;;;;;;;;;;;;
Jabeek;G0927;10256;Limburg;P31;208;0;;;;192;9;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;
Jisp;G0408;10481;Noord-Holland;P27;;356;;;356;23;99;6;3;38;135;;;;38;2;;2;1;;1;1;2;4;;;;;;;;1;;;;;;
Jutphaas;G0322;10374;Utrecht;P26;2002;1834;;;1834;772;302;196;348;16;17;74;5;65;17;2;3;2;2;;;3;6;1;;;;;2;;;;;;1;;;
Kamerik;G0323;10554;Utrecht;P26;998;884;;;884;297;3;169;238;4;1;153;5;;7;;;;2;1;;;4;;;;;;;;;;;;;;;
Kampen;G0166;10253;Overijssel;P23;9733;8417;;;8417;885;1133;2413;1619;612;429;834;131;49;80;37;22;14;47;28;1;61;4;11;7;;;;;;;;;;;;;
Kamperveen;G1092;10443;Overijssel;P23;274;300;;;300;1;1;97;47;2;3;69;3;;13;;;1;3;;60;;;;;;;;;;;;;;;;;
Kapelle;G0678;11223;Zeeland;P29;1223;1138;33;23;1082;25;36;351;319;93;140;72;1;2;13;;;;11;1;;10;2;;;;;2;3;1;;;;;;;;
Kats;G1094;10919;Zeeland;P29;;270;13;;257;1;61;72;28;40;17;17;;;10;2;;;4;;2;1;;;;;;1;;1;;;;;;;;
Kattendijke;G0679;11218;Zeeland;P29;590;535;29;;506;2;60;67;202;33;30;40;1;1;37;;1;;14;2;1;7;;3;1;;;2;1;1;;;;;;;;
Katwijk;G0537;10707;Zuid-Holland;P28;6037;5521;286;;5235;331;170;772;3277;49;84;77;14;3;30;7;256;4;32;11;42;11;23;21;3;;;3;;5;10;;;;;;;
Katwoude;G0409;11136;Noord-Holland;P27;;98;2;0;96;6;3;11;40;9;3;;;;22;;;2;;;;;;;;;;;;;;;;;;;;
Kerkrade;G0928;10313;Limburg;P31;9384;8349;;;8349;4967;2204;23;70;26;109;5;173;185;22;34;9;;;11;21;10;26;399;;;;19;;1;;;35;;;;;
Kerkwerve;G1095;10837;Zeeland;P29;;380;12;;368;1;40;113;46;39;17;43;7;1;16;3;;;33;1;;3;1;2;;;;1;1;;;;;;;;;
Kerkwijk;G0257;10791;Gelderland;P25;569;525;;;525;;8;385;61;20;6;6;;;31;;1;1;2;1;;1;;2;;;;;;;;;;;;;;
Kessel;G0929;10890;Limburg;P31;712;639;;;639;607;4;;;5;4;;3;5;;;1;;;;3;2;1;;;;;2;;;;;2;;;;;
Kesteren;G0258;10916;Gelderland;P25;1865;1612;59;60;1493;8;228;728;31;126;24;252;1;3;33;;1;2;4;7;8;22;;7;;;;6;;1;;;;;1;;;
Klaaswaal;G0539;10284;Zuid-Holland;P28;965;837;;;837;;114;235;121;144;12;103;12;;75;1;2;7;1;;1;1;2;;;;;2;;1;;1;;;2;;;
Klimmen;G0930;10977;Limburg;P31;782;747;;;747;722;10;1;;;2;2;;7;;;;;;;1;;;;;;;;;;;;2;;;;;
Kloetinge;G0680;10155;Zeeland;P29;964;900;23;13;854;36;49;201;291;50;137;28;;3;19;2;;;12;2;1;9;4;1;1;;;3;4;1;;;;;;;;
Klundert;G0804;10656;Noord-Brabant;P30;2229;1986;;;1986;677;42;764;387;27;10;16;1;15;15;;6;10;;1;4;2;;3;1;;;5;;;;;;;;;;
Kockengen;G0324;10765;Utrecht;P26;427;405;;;405;118;2;171;47;13;1;35;;2;7;;5;2;1;;;;1;;;;;;;;;;;;;;;
Koedijk;G0410;10510;Noord-Holland;P27;986;382;8;;374;185;20;10;46;4;23;;1;7;7;;;;;;1;;1;11;;;;;;;;;;;;;;
Koewacht;G0681;10892;Zeeland;P29;;941;47;;894;555;86;13;9;42;7;4;4;15;2;3;20;;1;3;;5;;;1;;;121;1;2;;;;;;;;
Kollumerland en Nieuwkruisland;G0079;10984;Fryslân;P21;4369;4081;81;;4000;9;375;1848;1205;249;143;14;2;4;46;1;3;5;31;11;2;23;;6;2;;12;8;;;;1;;;;;;
Koog aan de Zaan;G0411;10776;Noord-Holland;P27;2150;1902;;;1902;140;932;127;55;97;327;13;37;2;13;68;1;2;4;2;30;7;14;11;11;;;3;2;;;3;;;1;;;
Kortenhoef;G1097;10467;Noord-Holland;P27;658;594;17;;577;126;98;55;186;18;8;60;1;3;6;;;1;6;;5;1;2;;;;;1;;;;;;;;;;
Kortgene;G0682;10250;Zeeland;P29;;602;34;;568;1;51;184;35;58;119;61;1;1;20;2;3;;10;4;7;6;1;1;;;;;3;;;;;;;;;
Koudekerk aan den Rijn;G0540;10029;Zuid-Holland;P28;767;708;22;;686;92;21;233;274;25;9;9;1;;6;2;3;;;1;3;6;1;;;;;;;;;;;;;;;
Koudekerke;G1098;11428;Zeeland;P29;1821;1653;56;;1597;12;148;684;360;55;110;153;16;;13;1;1;;5;1;6;18;;;3;;;4;6;1;;;;;;;;
Krabbendijke;G0684;11038;Zeeland;P29;1188;969;44;;925;6;18;191;251;13;145;277;2;1;1;1;;;8;1;1;4;;;2;;;1;1;1;;;;;;;;
Krimpen aan de Lek;G0541;10617;Zuid-Holland;P28;1550;1307;;;1307;5;388;447;43;69;168;97;14;4;27;2;4;3;7;2;1;6;3;3;2;;;2;;2;6;;;;2;;;
Krommenie;G0413;10373;Noord-Holland;P27;2541;2374;;;2374;514;628;182;57;63;301;3;46;6;53;374;1;46;5;8;28;5;7;24;9;;;3;5;;;6;;;;;;
Kruiningen;G0685;10077;Zeeland;P29;1979;1658;86;;1572;223;222;225;289;72;307;120;8;9;23;5;2;;14;10;5;7;2;4;4;;;10;9;2;;;;;;;;
Kuinre;G0167;11148;Overijssel;P23;396;328;;;328;46;27;32;109;17;51;1;;;21;;;1;;17;;4;;2;;;;;;;;;;;;;;
Kwadijk;G0414;10775;Noord-Holland;P27;;255;5;3;247;10;93;6;4;26;61;;2;;36;;;;5;;;1;2;1;;;;;;;;;;;;;;
Laag-Nieuwkoop;G1100;10305;Utrecht;P26;198;178;;;178;91;2;29;30;4;;12;1;1;8;;;;;;;;;;;;;;;;;;;;;;;
Landsmeer;G0415;11225;Noord-Holland;P27;1520;0;;;;37;433;134;99;;254;;;;106;32;;;;;;;8;;;;;;;;;;;;;;;
Langbroek;G0325;11413;Utrecht;P26;652;560;;;560;126;15;224;64;11;14;85;;4;6;1;1;1;4;1;;2;;1;;;;;;;;;;;;;;
Lange Ruige Weide;G1101;10900;Zuid-Holland;P28;359;328;3;;325;15;4;165;59;24;;40;;1;5;;2;;;2;;2;2;3;1;;;;;;;;;;;;;
Langerak;G0543;11127;Zuid-Holland;P28;483;430;9;11;410;;26;200;50;23;31;39;;1;18;1;3;3;4;1;2;3;;2;1;;;2;;;;;;;;;;
Laren;G0417;10649;Noord-Holland;P27;2950;2678;98;;2580;1442;175;160;107;295;126;8;47;42;11;14;1;32;2;7;20;27;22;22;7;;;5;;7;;;;;1;;;
Laren (Gld.);G0259;10098;Gelderland;P25;2699;2510;60;;2450;27;150;558;171;961;296;7;10;2;176;4;1;17;11;6;11;16;7;7;2;;;3;;2;;5;;;;;;
Leende;G0805;11017;Noord-Brabant;P30;835;765;11;;754;720;3;;2;;;;1;19;;;1;2;;;;3;;;;1;;2;;;;;;;;;;
Leerbroek;G0544;10465;Zuid-Holland;P28;425;388;7;1;380;;8;287;5;11;;49;;;;1;;2;;1;;2;;3;;;;;;;;;;;;;;
Leersum;G0326;11142;Utrecht;P26;965;812;;;812;11;152;196;101;53;38;84;3;1;62;2;5;3;12;6;1;25;6;44;2;;;2;;3;;;;;;;;
Leeuwarden;G0080;11228;Fryslân;P21;24140;22064;783;;21281;2123;8846;2634;1236;2658;1386;48;270;289;100;126;305;106;55;685;82;70;16;21;32;;99;23;;17;;48;;;6;;;
Leeuwarderadeel;G0081;10851;Fryslân;P21;7414;6953;147;;6806;319;2859;1331;390;674;548;10;26;42;256;20;39;10;53;59;19;22;4;20;9;;37;1;;1;;54;;;3;;;
Leiderdorp;G0547;10058;Zuid-Holland;P28;962;917;6;12;899;101;43;469;200;15;8;16;4;;12;1;9;2;5;;1;4;2;5;;;;;;;1;;;;1;;;
Leimuiden;G0549;11351;Zuid-Holland;P28;858;792;11;;781;363;20;178;105;51;19;7;;2;11;4;5;;3;3;;3;2;;3;;;1;;;1;;;;;;;
Lekkerkerk;G0550;10050;Zuid-Holland;P28;2051;1801;;;1801;3;502;274;18;429;99;144;25;2;271;2;3;4;5;1;2;5;6;;;;;3;;3;;;;;;;;
Lemsterland;G0082;10142;Fryslân;P21;3620;3183;82;;3101;219;721;658;781;30;231;66;9;10;115;133;5;6;22;17;34;11;1;7;3;;15;2;;3;;1;;;1;;;
Leusden;G0327;10978;Utrecht;P26;889;838;;;838;339;38;92;95;29;9;41;;4;9;;;;2;7;;170;2;1;;;;;;;;;;;;;;
Lichtenvoorde;G0260;10242;Gelderland;P25;2988;2842;27;;2815;2334;44;68;192;26;24;1;2;61;3;1;1;2;8;35;;;9;2;1;;;;;1;;;;;;;;
Liempde;G0806;10390;Noord-Brabant;P30;835;816;;;816;811;1;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;
Lienden;G0261;11093;Gelderland;P25;2216;1989;117;;1872;7;212;161;152;907;46;172;5;2;128;;27;9;9;14;3;6;;9;;;;;;2;;;;;1;;;
Lierop;G1102;11279;Noord-Brabant;P30;513;499;4;;495;488;2;;;;;;1;3;;;;1;;;;;;;;;;;;;;;;;;;;
Lieshout;G0807;10637;Noord-Brabant;P30;818;790;1;;789;782;;;;;;;1;3;;;;;;;;;;;;;;;;;;;;3;;;;
Limmen;G0418;11370;Noord-Holland;P27;895;852;10;;842;667;74;1;2;42;22;2;2;8;11;6;;;;;;1;3;1;;;;;;;;;;;;;;
Linden;G1103;11305;Noord-Brabant;P30;252;241;2;;239;228;1;1;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;
Linne;G0932;10990;Limburg;P31;646;578;;;578;502;22;3;;;8;;;19;2;;;;;;;;;;;;;4;;2;;;16;;;;;
Linschoten;G0328;11324;Utrecht;P26;823;752;21;;731;214;8;108;169;61;8;124;2;2;23;1;;2;4;;;2;2;;;;;1;;;;;;;;;;
Lisse;G0553;10197;Zuid-Holland;P28;3062;3060;193;;2867;1599;65;346;405;109;49;203;17;10;31;5;;7;4;9;2;1;3;2;;;;;;;;;;;;;;
Lith;G0808;11219;Noord-Brabant;P30;707;621;31;;590;500;14;2;5;18;4;;5;31;7;;3;;;;;1;;;;;;;;;;;;;;;;
Lithoijen;G1104;10024;Noord-Brabant;P30;306;281;2;;279;251;;1;1;3;;;2;9;;;;;;;;;;;;1;;;;;;;;11;;;;
Lochem;G0262;11263;Gelderland;P25;2995;2852;100;;2752;102;999;217;191;448;560;1;38;2;63;61;1;16;11;9;6;6;4;6;7;;;4;;;;;;;;;;
Loenen;G0329;11202;Utrecht;P26;758;692;23;;669;126;57;99;223;63;30;39;3;2;8;;5;2;2;4;1;4;;;1;;;;;;;;;;;;;
Loenersloot;G1105;10208;Utrecht;P26;239;212;3;;209;70;9;34;24;;4;26;;3;2;;29;4;1;;3;;;;;;;;;;;;;;;;;
Lonneker;G1106;11045;Overijssel;P23;10618;9590;;;9590;1728;3832;657;1021;161;144;7;56;182;1043;238;12;23;171;33;18;28;5;22;209;;;;;;;;;;;;;
Loon op Zand;G0809;11259;Noord-Brabant;P30;4360;3879;;;3879;3469;48;16;54;;7;112;11;95;20;;;5;;2;17;13;;6;1;;;2;;1;;;;;;;;
Loosdrecht;G0330;10639;Utrecht;P26;1609;1376;;;1376;93;139;353;469;87;26;62;8;3;34;9;61;3;10;;;8;3;2;;;;1;4;;;;;;1;;;
Lopik;G0331;10333;Utrecht;P26;815;725;;;725;283;18;136;118;28;18;92;;1;11;;4;2;4;;3;1;2;2;;;;;1;1;;;;;;;;
Losser;G0168;11166;Overijssel;P23;5449;4960;;;4960;3202;776;35;310;47;27;3;8;426;22;47;1;17;13;10;5;3;2;4;2;;;;;;;;;;;;;
Luyksgestel;G0810;10011;Noord-Brabant;P30;411;375;9;;366;343;1;;2;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;
Maarheeze;G0811;11143;Noord-Brabant;P30;926;899;23;;876;843;;;4;;;;2;13;6;;1;;;;1;;;;3;;;2;;1;;;;;;;;
Maarn;G0332;10392;Utrecht;P26;781;688;;;688;20;205;121;147;33;53;36;1;2;18;1;5;;3;;;32;1;6;;;;1;2;1;;;;;;;;
Maarssen;G0333;10191;Utrecht;P26;1516;1403;63;;1340;336;290;130;242;112;76;71;16;9;10;3;8;8;8;;3;5;8;1;;;;1;2;1;;;;;;;;
Maarsseveen;G1108;10874;Utrecht;P26;753;708;47;;661;148;68;101;222;17;20;27;3;11;27;;;4;5;1;;3;1;;1;;;1;;1;;;;;;;;
Maartensdijk;G0334;10691;Utrecht;P26;1633;1471;95;;1376;171;251;271;124;100;26;247;12;15;79;5;8;6;2;3;17;18;4;12;;;;1;1;2;;;;;1;;;
Maasbracht;G0933;10964;Limburg;P31;751;693;;;693;644;20;1;1;;2;;1;10;;;;;;1;;;1;;;;;;;;;;12;;;;;
Maasbree;G0934;11352;Limburg;P31;5081;4729;;;4729;4070;394;27;17;30;37;4;26;47;8;26;;;;3;2;12;3;3;;;;5;;2;;;13;;;;;
Maasdam;G0554;11019;Zuid-Holland;P28;841;706;;;706;1;166;119;112;80;23;80;5;2;91;;4;2;7;2;;3;;4;;;;4;;;;;;;1;;;
Maashees en Overloon;G1109;10532;Noord-Brabant;P30;898;852;;;852;828;3;1;2;;;1;1;9;2;;;2;;;;;;;1;1;;;;;;;;1;;;;
Maasniel;G1110;11261;Limburg;P31;1496;1332;;;1332;1062;129;4;4;9;6;1;6;25;27;3;6;;;;2;;;2;;;;5;;1;;;40;;;;;
Maastricht;G0935;10182;Limburg;P31;26252;23581;;;23581;14232;6757;135;105;454;605;26;161;550;34;131;31;;;21;35;40;32;36;;;;75;;21;;;100;;;;;
