RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);Staatkundig Gereformeerde Partij (SGP);Groep Staalman-ter Hall;Rooms-Katholieke Volkspartij (RKVP);Plattelandersbond (Braat);Communistische Partij van Nederland;HGSP;Middenstandspartij;Plattelandersbond (De Boer);Protestantsche Volkspartij;Christen-democraten;Vaderlandsch Verbond;Revolutionair arbeiderscomitT;Democratische Partij;Socialistische Partij (SOPA);Rapaille-partij;Sport-partij;Bezuinigingspartij;Vrijdenkers;Actualisten;Pensioenactie;Grondpartij;Landbouwpartij;Premievrij Staatspensioen;Nieuwe Nationale Partij;Wilde Partij;Rentetrekkers;Vrijzinnige Christenpartij
Vierlingsbeek;G0863;10066;Noord-Brabant;P30;836;784;;;784;715;1;3;3;8;10;1;6;28;2;;1;1;;;;;;1;;2;;;;;;;;2;;;;
Vierpolders;G0621;11056;Zuid-Holland;P28;438;390;11;;379;;91;20;13;59;30;;;;131;26;2;;3;1;1;1;;;;;;;;1;;;;;;;;
Vinkeveen en Waverveen;G0346;11048;Utrecht;P26;2026;1858;;;1858;1088;5;276;125;32;17;104;1;8;12;;173;2;1;2;;3;6;;;;;1;1;1;;;;;;;;
Vlagtwedde;G0048;11249;Groningen;P20;5862;4779;;;4779;552;1650;604;601;161;613;10;12;8;269;65;6;7;85;40;14;18;4;32;3;;12;1;;5;;4;;;3;;;
Vledder;G0132;11120;Drenthe;P22;1270;1074;;;1074;79;485;125;34;20;224;3;5;;50;3;6;6;9;1;2;2;6;8;;;;;;;;3;;;3;;;
Vleuten;G1211;10658;Utrecht;P26;1135;1064;26;;1038;548;52;112;234;21;12;6;5;12;16;1;2;5;2;2;1;3;2;1;;;;;1;;;;;;;;;
Vlierden;G1212;10268;Noord-Brabant;P30;;353;3;;350;338;;;2;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;
Vlijmen;G0864;11293;Noord-Brabant;P30;2007;1711;23;17;1671;1428;75;9;15;11;5;1;13;63;31;1;2;4;;;3;4;;;2;1;;;;1;;;;2;;;;
Vlissingen;G0718;10270;Zeeland;P29;10751;9752;530;;9222;922;1992;1726;1390;487;910;158;572;36;35;76;8;;18;15;46;61;12;35;574;;;10;130;9;;;;;;;;
Vlodrop;G0985;10644;Limburg;P31;527;498;;;498;461;18;;3;;;;;6;;;;;;;1;;;;;;;;;;;;9;;;;;
