RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;CHU 2;Vrijheidsbond 1;Vrijzinnig-Democratische Bond (VDB);Vrijheidsbond 2;Communistische Partij van Nederland;CHU 1;Plattelandersbond (links);Vrijheidsbond 3;HGSP;Staatkundig Gereformeerde Partij (SGP);Christen-Democratische Partij;Christelijk-Sociale Partij;Lijsten Arts;Liberale Groep;Onafhankelijke Partij;Nieuwe Katholieke Partij;Socialistische Partij (SOPA);Nederlandse Bond van Belastingbetalers;Volkswelvaartspartij;Plattelandspartij;Rapaille-partij;Plattelandersbond (rechts);Democratische Partij;Neutraal Blok Middenstanders;Bezuinigingsbond;Lijsten Van der Zwaag;Algemene Nederlandse Vrouwenorganisatie;Kunstenaarspartij;Patricidrsbond;Christelijke Volkspartij;Lijst Groenendaal;Grondpartij;Plattelandersbond (rk);Vrijdenkers;Huiseigenarenpartij;Kiesvereniging Aller Belang;Vrije Middenstandspartij;Partij voor Pensioenbelangen;Lijst Bleeker;Kleine Middenstandspartij;Lijst Van der Werf;Vaderlandsche partij;Lijst Verweij;Lijst De Ruyter Gz.;Lijst Brinkman;Revolutionaire partij;Lijsten Braam;Lijst Busch
Bunschoten;G0313;11343;Utrecht;P26;1856;0;;;;7;2;1631;;;2;;1;;;;;8;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Buren;G0214;11286;Gelderland;P25;956;825;;;825;54;59;44;199;337;26;14;;10;2;5;3;30;4;9;;1;;3;2;1;1;1;;;;;2;1;;2;2;;;;1;;1;;;;;;;;11;;;;;
Bussum;G0381;10281;Noord-Holland;P27;9916;8864;278;;8586;2575;1126;885;1157;1459;369;56;73;17;8;76;11;9;62;27;4;103;97;58;15;53;42;15;34;;49;15;10;4;83;21;9;3;;;7;;54;;;;;;;;;;;;;
Buurmalsen;G0215;10460;Gelderland;P25;982;903;13;14;876;43;91;72;335;189;13;6;2;14;5;2;;62;3;;1;1;;;3;5;;4;;2;;;6;1;;7;;;;;2;;;;;;;;;;7;;;;;
Cadier en Keer;G0901;11447;Limburg;P31;415;366;;;366;344;3;1;3;;2;;;;;;;;1;1;4;;;5;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
Callantsoog;G0382;10559;Noord-Holland;P27;476;437;;;437;46;188;7;3;1;154;4;1;;9;1;;;;;;1;;;1;1;1;10;;;3;1;1;;;4;;;;;;;;;;;;;;;;;;;;
Capelle;G1036;11233;Noord-Brabant;P30;1249;1078;;;1078;62;61;254;469;5;16;42;9;38;4;6;2;26;18;3;1;11;3;6;1;6;;;;4;11;;3;;;14;1;;;;;;2;;;;;;;;;;;;;
Castricum;G0383;11287;Noord-Holland;P27;1735;1629;33;;1596;1094;236;25;34;26;84;1;6;3;3;1;24;;3;14;;3;1;10;7;2;;;2;;;1;1;;;10;3;;;;;;1;;;;;;;;;;;;1;
Coevorden;G0109;10383;Drenthe;P22;2942;2660;;;2660;486;638;366;396;43;136;480;19;10;12;12;;1;6;27;;2;8;2;2;5;2;1;;2;3;;;;;;1;;;;;;;;;;;;;;;;;;;
Cothen;G0314;11316;Utrecht;P26;428;407;2;2;;291;;30;32;12;;;2;11;;;;5;;7;;4;;5;;;;;;;;;;;2;;2;;;;;;;;;;;;;;;;;;;
Cuijk en Sint Agatha;G0761;10023;Noord-Brabant;P30;1727;1563;;;1563;1326;38;3;11;1;4;1;2;;8;9;;4;1;1;80;2;1;53;6;6;;;;1;;;3;1;;1;;;;;;;;;;;;;;;;;;;;
Culemborg;G0216;10342;Gelderland;P25;4255;3903;;;3903;1632;644;232;120;751;191;29;27;5;4;9;4;8;9;6;5;4;1;8;126;15;;1;;2;5;;7;11;;2;5;;;;8;;3;;;;;;;;29;;;;;
Dalen;G0110;11004;Drenthe;P22;1670;1531;14;4;1513;136;361;102;93;10;180;501;3;;82;14;;;2;12;;;;;1;4;2;3;;4;2;;;;;;;;;;;;1;;;;;;;;;;;;;
Dalfsen;G0148;11007;Overijssel;P23;3209;3049;32;;3017;903;137;378;1290;14;83;45;4;34;10;19;;1;;19;;10;6;2;5;12;;2;;;4;2;1;;10;16;3;;;;4;;3;;;;;;;;;;;;;
Dantumadeel;G0065;10650;Fryslân;P21;6354;5907;170;;5737;62;793;2065;32;13;37;821;15;1429;24;17;7;188;9;130;;4;7;1;7;7;2;7;10;25;10;1;;5;;;;;;6;3;;;;;;;;;;;;;;;
De Bilt;G0310;10168;Utrecht;P26;3372;0;;;;268;552;538;;;149;;8;;;;22;114;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De Lier;G0552;10241;Zuid-Holland;P28;774;733;;;733;62;6;283;269;4;2;79;1;4;1;;1;4;1;;;3;1;1;1;;1;;;4;;1;;1;;;;2;;;1;;;;;;;;;;;;;;;
De Werken en Sleeuwijk;G1222;10116;Noord-Brabant;P30;1612;1405;;;1405;4;85;828;139;3;21;153;6;1;4;9;;120;1;1;;1;2;5;3;5;;;;4;;;3;;;6;;;;;;;1;;;;;;;;;;;;;
De Wijk;G0135;10753;Drenthe;P22;1610;1495;;;1495;11;216;282;149;35;100;320;9;20;209;14;;1;11;;;9;8;1;3;22;3;3;;11;52;;;;;;1;;;;2;;3;;;;;;;;;;;;;
Deil;G0217;10057;Gelderland;P25;1213;1087;;;1087;213;79;42;365;223;19;20;1;15;25;3;;11;2;4;1;1;2;2;;4;1;20;;7;;;3;;;3;1;;;;12;;1;;;;;;;;7;;;;;
Delft;G0503;10928;Zuid-Holland;P28;22918;21304;951;;20353;6404;5331;2903;2159;1230;209;104;329;53;23;350;24;454;84;27;;117;119;64;42;14;171;10;;14;43;14;;8;12;16;;11;;;9;;;;;;;;;;;5;;;;
Den Bommel;G1024;10293;Zuid-Holland;P28;871;705;;;705;181;20;224;47;91;8;1;;7;19;5;1;31;1;1;;34;;23;3;;1;2;;;;1;;1;;1;;2;;;;;;;;;;;;;;;;;;
Den Dungen;G0768;10491;Noord-Brabant;P30;772;733;;;733;713;4;;;;;;;;;;;;;;2;1;;10;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Den Ham;G0159;10395;Overijssel;P23;;2465;71;;2394;161;137;736;916;19;15;84;19;45;150;;;4;3;4;;4;;2;4;10;;3;;11;5;;1;;3;47;5;;;;5;;1;;;;;;;;;;;;;
Den Helder;G0400;10285;Noord-Holland;P27;14608;12634;637;;11997;1470;3329;1047;458;464;2364;184;46;13;52;641;8;6;1373;24;;18;42;12;25;185;11;19;42;18;24;21;25;3;8;16;13;12;;;4;;10;;;;;;;;;;;;8;2
Denekamp;G0149;10245;Overijssel;P23;2341;2203;24;;2179;1788;96;30;98;5;7;91;6;2;5;6;;3;;;;;2;4;2;;;2;;2;4;3;1;;5;4;;;;;13;;;;;;;;;;;;;;;
Deurne en Liessel;G1041;10379;Noord-Brabant;P30;;3540;;;3540;3305;8;15;62;6;5;21;9;4;2;1;;1;1;7;22;2;1;37;1;5;;3;;1;13;;1;3;;;4;;;;;;;;;;;;;;;;;;;
Deursen en Dennenburg;G1042;10209;Noord-Brabant;P30;217;200;;;200;193;;;;;;;2;;;;;;2;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deventer;G0150;10899;Overijssel;P23;16499;14898;702;;14196;2360;3605;718;812;112;2524;1418;385;36;50;180;10;9;56;28;;81;52;35;1458;54;;14;;18;39;18;14;43;8;15;20;;;;9;;15;;;;;;;;;;;;;
Didam;G0218;10153;Gelderland;P25;2320;2114;;;2114;1979;26;3;3;40;4;2;7;;;4;;;4;20;2;1;;6;;2;;;;4;2;;3;;;2;;;;;;;;;;;;;;;;;;;;
Dieden, Demen en Langel;G1043;11138;Noord-Brabant;P30;225;211;;;211;208;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diepenheim;G0151;10311;Overijssel;P23;904;843;13;;830;62;187;32;127;16;212;137;4;5;24;5;;;2;2;;6;1;1;1;1;;1;;1;1;;;;;1;;;;;1;;;;;;;;;;;;;;;
Diepenveen;G0152;10933;Overijssel;P23;2730;2547;55;;2492;752;319;92;488;18;420;212;21;16;31;16;2;;2;1;;8;4;2;42;10;;2;;3;1;;;2;3;8;13;;;;1;;3;;;;;;;;;;;;;
Diessen;G0763;11185;Noord-Brabant;P30;578;485;;;485;485;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diever;G0111;10418;Drenthe;P22;1195;1060;;;1060;50;229;222;40;9;57;22;1;4;329;2;;1;4;1;;12;5;;12;17;2;;;33;1;;;;;;3;;;;4;;;;;;;;;;;;;;;
Dinther;G1044;10690;Noord-Brabant;P30;850;797;;;797;759;1;;5;;;2;;18;;;;3;;;;;;7;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;
Dinxperlo;G0219;11154;Gelderland;P25;1526;1431;9;13;1409;211;134;605;93;104;12;5;4;2;;7;5;1;3;209;;;;4;;3;1;1;;;1;;2;;;;1;;;;1;;;;;;;;;;;;;;;
Dirksland;G0504;11344;Zuid-Holland;P28;1344;1210;;;1210;4;87;809;18;53;8;6;1;2;34;4;;94;2;2;;54;10;1;;;2;1;;15;1;;;1;1;1;;4;;;1;;;;;;;;;;;;;;;
Dodewaard;G0220;10647;Gelderland;P25;1035;889;;;889;21;209;355;43;169;1;7;12;5;3;6;3;30;;3;;1;1;1;2;6;1;;;1;;;3;;;3;1;;;;2;;;;;;;;;;;;;;;
Doesburg;G0221;10327;Gelderland;P25;2425;2226;;;2226;823;362;181;266;226;60;27;5;8;84;15;30;19;10;61;2;7;5;6;3;4;1;1;;;13;;1;1;;;3;;;;;;1;;;;;;;;1;;;;;
Doetinchem;G0222;10396;Gelderland;P25;5624;5015;;;5015;1428;1110;316;379;750;269;75;13;8;6;20;5;24;12;535;1;1;7;5;1;8;3;4;;2;9;;11;1;;5;3;;;;2;;;;;;;;;;2;;;;;
Dokkum;G0066;10198;Fryslân;P21;2026;1886;27;;1859;132;369;641;3;13;216;293;2;120;3;3;1;;1;30;;3;1;;3;3;1;;;;13;1;;4;;;;;;3;;;;;;;;;;;;;;;;
Dommelen;G1045;10424;Noord-Brabant;P30;226;218;;;218;212;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dongen;G0766;11412;Noord-Brabant;P30;3734;0;;;;3161;20;7;;;;;2;;;;;;;;337;3;2;30;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;
Doniawerstal;G0067;10086;Fryslân;P21;2699;2558;30;;2528;576;305;407;10;2;82;133;2;748;45;14;35;2;2;92;;8;2;2;2;4;4;24;3;9;1;1;;12;;;;;;1;;;;;;;;;;;;;;;;
Doorn;G0315;10213;Utrecht;P26;1673;0;;;;37;184;370;558;231;31;;3;13;;;;24;3;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Doorwerth;G1046;11304;Gelderland;P25;589;0;;;;;;201;;;37;;36;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dordrecht;G0505;11157;Zuid-Holland;P28;26677;22098;;;22098;2328;6096;4982;2758;2671;992;210;387;111;53;359;15;123;106;34;;164;67;61;44;115;103;7;;19;78;34;;16;25;35;;81;;;11;;;;;;;;;;;13;;;;
Dreumel;G0224;11232;Gelderland;P25;1227;1058;;;1058;918;37;;35;22;;1;2;;3;;1;;;4;1;11;;3;;;;2;;1;1;;2;;;;;;;;11;;;;;;;;;;3;;;;;
Driebergen;G1048;10777;Utrecht;P26;2467;0;;;;256;319;587;643;207;23;13;3;21;;3;2;68;3;3;;27;9;10;2;;;7;;6;2;1;2;;1;1;17;;;;;;;;;;;;;;;;;;;
Driel;G1248;10341;Gelderland;P25;1779;1643;;;1643;1335;16;66;152;23;6;1;5;4;2;1;;;1;8;8;1;;4;2;;;;;2;;;3;;;1;;;;;1;;;;;;;;;;1;;;;;
Drongelen;G1049;10111;Noord-Brabant;P30;185;161;;;161;4;2;110;6;1;2;20;3;;1;2;;;;;;;;;;;;2;;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
Drunen;G0767;10428;Noord-Brabant;P30;1574;1456;;;1456;1372;2;1;27;;;5;5;;1;;1;4;1;;9;;;26;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Druten;G0225;10068;Gelderland;P25;2657;2377;;;2377;2199;30;4;93;22;3;3;1;3;;;1;;3;8;1;;1;;;1;;;;;1;;1;;;;2;;;;;;;;;;;;;;;;;;;
Dubbeldam;G0507;10781;Zuid-Holland;P28;1845;1633;;;1633;16;323;573;233;122;24;6;4;42;125;15;1;30;9;1;;12;4;2;2;1;3;;;10;1;;;;;1;;71;;;2;;;;;;;;;;;;;;;
Duiven;G0226;11028;Gelderland;P25;1542;1428;;;1428;1335;10;25;13;8;2;4;5;2;2;;;;;9;;1;;7;;1;;;;1;;;;;;;;;;;2;;;;;;;;;;1;;;;;
Duizel en Steensel;G1051;11005;Noord-Brabant;P30;344;311;;;311;311;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dussen;G0769;10261;Noord-Brabant;P30;1628;1456;;;1456;865;10;220;251;1;4;9;4;10;2;5;1;45;;;;1;1;6;2;6;;1;;;3;;;1;;7;1;;;;;;;;;;;;;;;;;;;
Dwingeloo;G0112;10331;Drenthe;P22;1290;1182;14;;1168;11;198;186;55;11;69;161;2;11;379;5;;1;8;13;;10;3;1;3;2;3;4;;27;1;;;;;;2;;;;;;2;;;;;;;;;;;;;
Echt;G0902;10941;Limburg;P31;3241;3042;;;3042;2810;118;7;10;1;12;2;17;1;;;;;2;5;1;4;1;20;4;;;;;;6;;6;;1;;4;;9;;1;;;;;;;;;;;;;;;
Echteld;G0227;10832;Gelderland;P25;1322;1173;;;1173;25;368;247;12;410;8;15;11;5;11;8;4;5;;2;;;1;3;1;9;;2;;7;1;;11;1;;;2;;;;;;2;;;;;;;;2;;;;;
Edam;G1315;10884;Noord-Holland;P27;3812;0;;;;1995;493;111;194;268;372;;7;;38;;;;;4;;9;4;6;;6;;20;;;2;;4;;6;;;;;;;;;;;;;;;;;;;;;
Ede;G0228;10743;Gelderland;P25;10412;9333;;;9333;268;728;4878;1575;261;242;88;162;187;14;27;15;354;57;20;;74;87;13;22;51;15;18;20;36;25;9;44;8;1;4;28;;;;;;;;;2;;;;;;;;;;
Eelde;G0113;10622;Drenthe;P22;1486;1285;;;1285;14;469;58;20;8;69;58;6;2;443;;;2;9;3;;14;15;;;10;4;19;;40;17;;;;;;;;;;4;;1;;;;;;;;;;;;;
Eemnes;G0317;10248;Utrecht;P26;782;713;6;7;;384;5;125;143;;11;;2;8;1;;;;;1;;1;2;8;1;;;1;;;;;1;;2;4;;;;;;;;;;;;;;;;;;;;
Eenrum;G0011;10904;Groningen;P20;1366;1263;;;1263;57;467;259;;;115;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eersel;G0770;10741;Noord-Brabant;P30;;673;;;673;652;5;2;3;;;2;;;;;;2;;;1;;;5;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Egmond aan Zee;G0386;10421;Noord-Holland;P27;1444;1227;64;42;1121;129;108;44;18;43;59;38;4;1;4;42;49;;507;2;;3;3;1;5;5;4;3;6;3;;24;2;2;1;3;2;1;;;1;;2;;;;;;;;;;;;;2
Egmond-Binnen;G0387;10989;Noord-Holland;P27;916;873;15;;858;668;19;8;4;55;33;8;;2;2;1;2;;25;;;;;7;;2;;3;5;1;2;;1;;;7;;;;;;;1;;;;;;;;;;;;2;
Eibergen;G0229;10436;Gelderland;P25;3482;3297;22;26;3249;1459;390;517;105;438;52;30;8;5;71;16;2;1;4;49;;6;6;6;4;5;4;6;3;40;;;8;3;2;3;5;;;;;;;;;1;;;;;;;;;;
Eijgelshoven;G0904;10960;Limburg;P31;859;779;35;7;737;525;154;4;4;3;4;3;7;2;;;;;1;1;1;1;2;10;2;;;;;1;2;;2;;;;1;;7;;;;;;;;;;;;;;;;;
Eijsden;G0905;10314;Limburg;P31;1417;1348;;;1348;1232;62;2;5;1;1;5;3;2;;;;;;;1;5;4;9;1;2;1;;;1;1;;4;;;;;;6;;;;;;;;;;;;;;;;;
Eindhoven;G0772;11298;Noord-Brabant;P30;21209;19361;;;19361;14647;2751;236;187;38;275;266;119;7;8;36;6;8;26;6;190;10;22;316;14;39;;14;;7;19;;76;9;;11;15;;;;;;3;;;;;;;;;;;;;
Elsloo;G0903;11187;Limburg;P31;862;794;6;16;772;720;23;;4;;1;1;7;;;1;;;;;1;2;1;1;;2;;;;1;2;;;;;;;;4;;1;;;;;;;;;;;;;;;
Elst;G0231;11188;Gelderland;P25;3732;3141;;;3141;1898;426;169;268;83;124;8;10;9;5;3;45;10;1;32;4;2;1;11;1;6;1;2;;;;;10;;;2;3;;;;;;6;;;;;;;;1;;;;;
Emmen;G0114;11180;Drenthe;P22;15230;12851;;;12851;1860;3329;2486;1950;464;439;418;302;55;625;39;;14;139;145;;32;85;27;82;89;10;27;;95;22;;;;;;50;;;;36;;31;;;;;;;;;;;;;
Empel en Meerwijk;G0773;10295;Noord-Brabant;P30;304;282;;;282;252;;4;6;4;2;2;;2;;;;;;;;1;;4;;1;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;
Engelen;G0774;10322;Noord-Brabant;P30;343;305;;;305;256;3;1;25;4;1;3;1;2;;;;;4;;;;;3;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;
Enkhuizen;G0388;10729;Noord-Holland;P27;;3940;210;;3730;487;815;5;711;562;191;;13;;9;68;3;56;;5;;10;14;2;15;14;686;15;8;4;9;5;4;;;4;9;;;;1;;;;;;;;;;;;;;1;
Enschede;G0153;10364;Overijssel;P23;20215;18851;1010;;17841;3653;6766;1860;1287;174;710;1628;453;55;36;98;3;15;59;28;;39;50;43;601;61;;8;;9;32;43;10;11;12;59;16;;;;8;;14;;;;;;;;;;;;;
Epe;G0232;10940;Gelderland;P25;5238;4700;;;4700;510;529;350;1278;670;1000;43;15;35;2;47;2;14;14;19;;33;12;7;6;17;11;10;5;6;1;2;24;8;7;4;18;;;;;;;;;1;;;;;;;;;;
Erp;G0775;10385;Noord-Brabant;P30;1299;1256;;;1256;1200;4;1;2;1;;;;;;;;1;;;1;1;1;40;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Escharen;G1057;10299;Noord-Brabant;P30;611;572;;;572;564;1;;;;;;;;;;;;;;;1;;3;;;;1;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;
Est en Opijnen;G0234;11092;Gelderland;P25;536;453;;;453;;40;6;143;167;6;5;2;1;20;1;;47;1;1;;;;1;;3;1;;;;;;1;;;1;3;;;;2;;;;;;;;;;1;;;;;
Everdingen;G0508;10638;Zuid-Holland;P28;581;527;;;527;110;5;86;9;65;32;;;;2;5;188;15;;1;;1;;;1;;1;3;;2;;;;;;;;1;;;;;;;;;;;;;;;;;;
Ewijk;G0235;10471;Gelderland;P25;1271;1188;;;1188;1110;3;5;3;41;;1;1;3;;1;1;3;;5;;;1;2;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ferwerderadeel;G0068;11284;Fryslân;P21;4427;4213;47;;4166;4;526;1995;6;11;45;418;8;694;63;5;10;1;2;172;;1;5;1;2;7;1;96;4;39;;1;;8;;;;;;39;2;;;;;;;;;;;;;;;
Finsterwolde;G0013;10212;Groningen;P20;1519;1152;;;1152;;192;37;41;14;117;186;441;11;19;6;2;4;10;;;3;12;3;4;26;5;5;;2;1;1;4;;;;6;;;;;;;;;;;;;;;;;;;
Franeker;G0069;11226;Fryslân;P21;4048;3638;127;;3511;537;929;703;8;12;237;248;62;439;26;22;9;1;26;91;;20;7;3;4;9;10;15;23;10;8;7;;24;;;;;;20;1;;;;;;;;;;;;;;;
Franekeradeel;G0070;10404;Fryslân;P21;2812;2621;72;;2549;97;663;465;10;5;158;188;12;630;51;10;6;1;16;30;;12;7;1;6;6;4;54;18;17;8;2;;36;;;;;;34;2;;;;;;;;;;;;;;;
Gaasterland;G0071;10036;Fryslân;P21;2918;2761;27;;2734;570;141;580;8;6;30;35;;1212;18;6;15;;1;44;;12;4;2;;2;1;6;4;14;17;1;;4;;;;;;1;;;;;;;;;;;;;;;;
Gameren;G1058;10037;Gelderland;P25;953;853;33;;820;5;105;611;5;23;1;2;3;1;10;;;32;;;;;2;1;1;4;1;1;;6;;;3;;;;1;;;;;;;;;;;;;;2;;;;;
Gassel;G1059;10705;Noord-Brabant;P30;295;299;;;299;296;;;1;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gasselte;G0115;11099;Drenthe;P22;1490;1306;;;1306;15;407;199;162;24;71;143;7;5;194;6;;2;9;1;;4;5;;14;9;;9;;9;1;;;;;;4;;;;3;;3;;;;;;;;;;;;;
Geertruidenberg;G0779;10101;Noord-Brabant;P30;1234;1094;;;1094;790;52;32;60;6;47;48;7;1;;16;3;;1;;5;4;1;10;2;;;;;2;1;;5;;;;;;;;1;;;;;;;;;;;;;;;
Geervliet;G0509;10842;Zuid-Holland;P28;520;448;;;448;1;112;71;53;53;4;1;1;4;88;4;;30;1;1;;4;2;;1;1;4;;;10;;;;;;1;;;;;;;;;;;;;;;;1;;;;
Geffen;G0780;10370;Noord-Brabant;P30;761;708;;;708;677;3;1;;;5;;1;;;1;;;;;;1;;13;1;1;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;
Geldermalsen;G0236;10881;Gelderland;P25;1864;1609;;;1609;12;187;216;383;292;56;17;9;21;20;5;32;118;4;8;4;6;7;4;19;12;3;3;;1;1;;5;6;;3;3;;;;3;;4;;;;;;;;145;;;;;
Geldrop;G0781;10529;Noord-Brabant;P30;2392;2259;;;2259;2094;29;14;18;1;2;8;12;2;1;3;;1;2;;36;;4;26;1;3;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Geleen;G0906;10048;Limburg;P31;1989;619;;;619;599;5;1;1;;;;8;;;;;;;;;;;1;2;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
Gemert;G0782;10277;Noord-Brabant;P30;2437;2298;;;2298;2147;3;12;9;;3;2;4;2;;;;;;1;30;4;;72;3;;;;;;1;;3;2;;;;;;;;;;;;;;;;;;;;;;
Genderen;G1060;10010;Noord-Brabant;P30;588;538;;;538;30;1;377;32;4;4;58;4;;4;;14;4;;;1;;;1;;1;;;;2;;;;;;1;;;;;;;;;;;;;;;;;;;;
Gendringen;G0237;10260;Gelderland;P25;3986;3781;;;3781;2781;68;199;74;92;10;8;1;2;12;;7;5;1;505;;;;10;;;;3;;;;;2;;;;;;;;1;;;;;;;;;;;;;;;
Gendt;G0238;10440;Gelderland;P25;1552;1254;;;1254;1162;11;3;29;27;3;1;;1;;1;1;;1;4;;;;5;;3;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;
Genemuiden;G0154;10746;Overijssel;P23;1559;1292;24;;1268;1;37;829;65;6;30;14;16;2;6;;1;230;;2;;6;1;;;5;;3;;4;4;;1;;;1;2;;;;2;;;;;;;;;;;;;;;
Gennep;G0907;10542;Limburg;P31;1561;1461;53;;1408;1098;169;6;34;5;12;7;12;4;;10;;;9;7;1;;2;11;1;;3;;;1;1;;8;;1;;1;;5;;;;;;;;;;;;;;;;;
Geulle;G0908;10530;Limburg;P31;583;532;;;532;499;10;;3;;1;;;1;;;;;;;;1;;6;;1;;;;;1;;;;;;;;9;;;;;;;;;;;;;;;;;
Giessen;G0783;10193;Noord-Brabant;P30;260;203;;;203;;2;68;51;3;;49;;5;1;3;10;3;1;;;1;;;;1;;2;;1;;;;;;2;;;;;;;;;;;;;;;;;;;;
Giessendam;G1063;10606;Zuid-Holland;P28;2023;1531;;;1531;;171;789;52;175;12;13;9;1;22;16;3;238;1;;;8;5;1;1;;2;;;1;1;;;1;;2;;4;;;1;;;;;;;;;;;2;;;;
Giessen-Nieuwkerk;G1062;10255;Zuid-Holland;P28;491;462;;;462;;18;294;60;52;5;2;;;12;6;4;3;;2;;;;;1;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
Gieten;G0116;10506;Drenthe;P22;1503;1348;;;1348;15;383;69;170;21;33;300;3;2;283;20;;1;;;;7;6;;2;6;2;3;;8;3;;;;;;4;;;;3;;4;;;;;;;;;;;;;
Giethoorn;G0155;10708;Overijssel;P23;1141;1051;38;;1013;4;443;46;155;39;65;112;53;7;13;4;4;1;;11;;;4;;;6;;19;;1;4;;;12;1;6;1;;;;1;;1;;;;;;;;;;;;;
Goedereede;G0511;10981;Zuid-Holland;P28;637;473;;;473;1;14;142;48;110;10;4;5;8;47;15;10;7;1;;;19;9;1;1;;2;3;;5;1;;;1;;4;;3;;;1;;;;;;;;;;;1;;;;
Goor;G0156;10076;Overijssel;P23;1874;1738;39;;1699;372;865;24;72;31;179;26;27;4;11;1;;1;3;27;;;3;;7;3;;2;;;3;1;;2;1;5;3;;;;;;26;;;;;;;;;;;;;
Gorinchem;G0512;10942;Zuid-Holland;P28;6752;6064;;;6064;874;1125;1748;218;1166;166;117;208;41;15;64;7;60;55;14;;27;22;15;5;4;25;11;;3;12;1;;2;36;8;;11;;;1;;;;;;;;;;;3;;;;
Gorssel;G0239;10085;Gelderland;P25;3550;3228;55;;3173;166;486;655;554;912;92;49;19;8;13;20;;5;1;9;;15;7;6;17;3;2;5;1;2;8;;14;;1;1;93;;;;;;;;;9;;;;;;;;;;
Goudriaan;G0515;10450;Zuid-Holland;P28;311;265;;;265;;1;190;12;19;5;2;;2;16;1;;12;;;;1;;;;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
Goudswaard;G0516;10914;Zuid-Holland;P28;674;545;;;545;;50;143;21;54;5;1;;;68;5;68;95;;1;;2;;;;2;;;;25;2;1;;;;1;;1;;;;;;;;;;;;;;;;;;
Grafhorst;G1065;10224;Overijssel;P23;357;302;5;;297;4;19;55;100;3;;4;;7;14;;;53;;;;;;;;;;;;36;;;;;;;2;;;;;;;;;;;;;;;;;;;
Gramsbergen;G0157;11339;Overijssel;P23;1746;1641;24;;1617;48;110;470;626;11;26;118;5;14;49;1;;;1;13;;1;;;;3;;3;;5;1;1;97;1;;9;1;;;;2;;1;;;;;;;;;;;;;
Grathem;G0909;11008;Limburg;P31;636;616;;;616;595;4;;;;1;;;;;;;;;;;;;;1;1;;;;;;;4;;;;;;10;;;;;;;;;;;;;;;;;
Grave;G0786;10165;Noord-Brabant;P30;1214;993;;;993;820;62;3;8;4;7;9;10;;1;;;2;2;;15;2;6;28;4;1;;1;;3;;;5;;;;;;;;;;;;;;;;;;;;;;;
Grevenbicht;G0910;10624;Limburg;P31;649;573;;;573;459;26;;47;;3;2;6;1;;;;;1;;;7;;6;;1;;;;1;;;;;;;1;;12;;;;;;;;;;;;;;;;;
Grijpskerk;G0016;10244;Groningen;P20;1730;1608;;;1608;2;74;873;;;59;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Groenlo;G0240;11094;Gelderland;P25;1787;1705;41;;1664;1245;111;17;36;153;34;;6;;3;15;;;;9;;6;;6;2;1;3;;;1;3;;6;;1;;6;;;;;;;;;;;;;;;;;;;
