RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);Katholieke Volkspartij (KVP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;VVD;Communistische Partij van Nederland;Katholieke Nationale Partij;Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);Middenstands Partij;Partij voor Recht, Vrijheid en Welvaart;Socialistische Unie;Jong Conservatief Verbond
Opsterland;G0086;10005;Fryslân;P21;12068;10940;0;;10940;4660;74;1989;789;1098;968;7;17;294;61;5;962;16
Oss;G0828;10834;Noord-Brabant;P30;12241;11544;0;;11544;2468;7981;135;88;334;127;304;12;12;36;36;11;
Ossendrecht;G0829;10929;Noord-Brabant;P30;1868;1841;0;;1841;398;1270;27;32;24;20;53;4;2;6;2;3;
Oterleek;G0434;10133;Noord-Holland;P27;518;467;0;;467;242;56;16;12;113;25;1;1;1;;;;
Ottersum;G0955;10862;Limburg;P31;1473;1365;0;;1365;148;1133;8;7;4;7;42;;4;;10;2;
Ottoland;G0582;10097;Zuid-Holland;P28;373;353;0;;353;28;2;196;45;22;;;58;2;;;;
Oud- en Nieuw-Gastel;G0831;11363;Noord-Brabant;P30;3924;3590;0;;3590;244;2991;13;54;19;18;239;;2;2;5;3;
Oud-Alblas;G0583;10826;Zuid-Holland;P28;755;706;0;;706;116;3;258;103;34;2;1;187;;;1;1;
Oud-Beijerland;G0584;11301;Zuid-Holland;P28;4131;3846;0;;3846;1071;142;1289;272;409;13;8;637;2;;3;;
Ouddorp;G1142;11126;Zuid-Holland;P28;2461;2156;0;;2156;229;8;671;134;144;8;3;954;1;1;1;2;
Oude Niedorp;G0436;10896;Noord-Holland;P27;805;762;0;;762;110;561;10;4;54;18;1;;;;;4;
Oude Pekela;G0038;10848;Groningen;P20;4371;3908;0;;3908;1680;244;376;275;284;908;28;8;14;78;6;6;1
Oude Tonge;G1143;10714;Zuid-Holland;P28;1803;1605;0;;1605;499;364;210;37;166;5;14;302;;8;;;
Oudelande;G0695;11139;Zeeland;P29;507;484;0;;484;99;59;90;139;47;2;;21;1;26;;;
Oudenbosch;G0830;10397;Noord-Brabant;P30;3611;3349;0;;3349;265;2620;49;42;32;19;307;1;1;1;11;1;
Oudendijk;G0435;11090;Noord-Holland;P27;308;289;0;;289;173;11;5;4;62;26;;;;4;3;1;
Oudenhoorn;G0586;10380;Zuid-Holland;P28;566;524;0;;524;258;1;60;39;135;22;;9;;;;;
Oudenrijn;G1144;10114;Utrecht;P26;867;805;0;;805;120;249;151;142;71;5;41;19;5;;1;;1
Ouder-Amstel;G0437;10998;Noord-Holland;P27;3350;3167;0;;3167;605;1204;423;509;179;69;115;27;;4;18;11;3
Ouderkerk aan den IJssel;G0587;10095;Zuid-Holland;P28;2291;1987;0;;1987;420;5;491;71;250;18;2;722;2;1;2;2;1
Oudewater;G0589;10188;Zuid-Holland;P28;1961;1888;0;;1888;222;888;277;228;88;5;113;65;;1;1;;
Oudorp;G0438;10363;Noord-Holland;P27;1180;1119;0;;1119;312;535;59;33;112;35;16;;1;6;6;2;2
Oud-Vossemeer;G0696;10134;Zeeland;P29;1297;1198;0;;1198;189;272;203;268;115;8;10;119;;9;4;1;
Ouwerkerk;G1148;10968;Zeeland;P29;382;365;0;;365;207;3;14;28;58;;;37;;16;;2;
Overasselt;G0271;10952;Gelderland;P25;1378;1340;0;;1340;27;1254;6;32;4;1;12;1;;2;;1;
Overslag;G0697;10730;Zeeland;P29;159;143;0;;143;32;93;1;14;1;;;2;;;;;
Ovezande;G0698;11422;Zeeland;P29;810;785;0;;785;30;608;14;80;6;;38;1;;6;2;;
Pannerden;G0272;10518;Gelderland;P25;862;810;0;;810;104;676;3;6;1;2;14;1;;2;;1;
Papekop;G1151;11244;Zuid-Holland;P28;245;230;0;;230;11;92;52;48;6;1;3;17;;;;;
Papendrecht;G0590;10427;Zuid-Holland;P28;3488;3139;0;;3139;1147;46;1021;188;201;94;4;428;4;;2;4;
Peize;G0124;10501;Drenthe;P22;1587;1396;0;;1396;811;17;65;63;314;107;1;3;2;10;2;1;
Peursum;G1154;10391;Zuid-Holland;P28;259;240;0;;240;35;1;97;30;43;;1;33;;;;;
Philippine;G0699;10486;Zeeland;P29;623;576;0;;576;120;399;10;16;4;2;14;;;10;1;;
Piershil;G0591;10179;Zuid-Holland;P28;567;508;0;;508;172;3;94;42;73;;;123;;;;1;
Pijnacker;G0594;10031;Zuid-Holland;P28;4313;4110;0;;4110;581;1310;424;1117;257;32;88;264;24;2;6;2;3
Poederoijen;G1155;10135;Gelderland;P25;885;778;0;;778;212;1;158;40;14;1;3;348;;;;1;
Polsbroek;G0338;10993;Utrecht;P26;527;502;0;;502;44;89;181;79;32;2;3;69;;;;;3
Poortugal;G0592;11395;Zuid-Holland;P28;2404;1611;0;;1611;621;113;347;240;180;14;11;61;8;4;2;10;
Poortvliet;G0700;11181;Zeeland;P29;1014;914;0;;914;139;8;103;213;26;1;1;416;;7;;;
Posterholt;G0956;10456;Limburg;P31;1329;1249;0;;1249;56;1148;1;4;3;5;30;;;;2;;
Prinsenbeek;G0832;11354;Noord-Brabant;P30;2102;2001;0;;2001;83;1820;3;5;10;4;70;2;;1;2;1;
Purmerend;G0439;11066;Noord-Holland;P27;4320;4133;0;;4133;1453;1101;220;103;614;509;55;2;2;33;29;11;1
Putte;G0833;10099;Noord-Brabant;P30;955;812;0;;812;117;576;14;12;9;20;51;2;;6;2;3;
Putten;G0273;11109;Gelderland;P25;5753;5829;0;;5829;1207;138;996;2098;264;171;22;874;19;8;17;8;7
Puttershoek;G0593;10222;Zuid-Holland;P28;1605;1451;0;;1451;618;46;282;161;200;21;1;114;;;7;1;
Raalte;G0177;10279;Overijssel;P23;6654;6358;0;;6358;574;4537;74;939;116;5;96;4;6;1;3;3;
Raamsdonk;G0834;11391;Noord-Brabant;P30;4154;3667;0;;3667;201;2600;179;453;65;9;55;94;1;7;2;1;
Rauwerderhem;G0087;10330;Fryslân;P21;1640;1522;0;;1522;796;197;169;110;178;14;7;;5;20;;26;
Ravenstein;G0835;10805;Noord-Brabant;P30;2704;2538;0;;2538;116;2342;6;4;12;4;46;1;1;3;2;1;
Reeuwijk;G0595;10485;Zuid-Holland;P28;2947;2757;0;;2757;659;781;499;186;333;56;31;186;6;2;5;3;10
Renesse;G1159;10412;Zeeland;P29;521;611;0;;611;170;16;63;93;191;4;11;30;;26;3;4;
Renkum;G0274;11325;Gelderland;P25;14549;13392;0;;13392;3535;2655;2372;2018;1615;310;262;357;50;59;47;76;36
Renswoude;G0339;10269;Utrecht;P26;1244;1142;0;;1142;230;37;255;370;50;3;4;187;;3;1;1;1
Retranchement;G0701;10400;Zeeland;P29;397;376;0;;376;181;11;32;55;79;2;;;;16;;;
Reusel;G0836;10162;Noord-Brabant;P30;1613;1528;0;;1528;19;1479;9;2;3;1;12;1;;2;;;
Rheden;G0275;11355;Gelderland;P25;19523;18706;0;;18706;7238;2953;2189;3064;2004;443;291;69;38;109;83;181;44
Rhenen;G0340;10309;Utrecht;P26;6110;5709;0;;5709;2301;186;607;1171;295;54;49;959;7;20;24;17;19
Rhoon;G0596;10903;Zuid-Holland;P28;1714;1609;0;;1609;314;222;350;510;136;15;16;39;;5;;2;
Ridderkerk;G0597;10646;Zuid-Holland;P28;10995;10313;0;;10313;3214;141;2588;1590;716;101;22;1859;50;10;6;16;
Riethoven;G0837;10455;Noord-Brabant;P30;467;446;0;;446;2;438;;;;1;4;;;1;;;
Rietveld;G1160;10828;Zuid-Holland;P28;346;313;0;;313;25;64;67;107;11;4;6;29;;;;;
Rijnsaterwoude;G0601;11129;Zuid-Holland;P28;419;387;0;;387;44;148;69;59;15;3;2;45;2;;;;
Rijnsburg;G0602;11118;Zuid-Holland;P28;2906;2836;0;;2836;256;76;1340;926;23;3;8;101;97;4;;1;1
Rijsbergen;G0841;10866;Noord-Brabant;P30;1690;1610;0;;1610;42;1456;12;15;6;7;66;;3;2;1;;
Rijssen;G0178;10358;Overijssel;P23;6981;6255;0;;6255;969;683;995;365;204;35;37;2945;7;4;6;1;4
Rijswijk;G0603;11133;Zuid-Holland;P28;14043;12947;0;;12947;3140;3346;1892;1227;2081;292;625;161;25;53;63;42;
Rijswijk (NB);G0842;11016;Noord-Brabant;P30;435;401;0;;401;74;2;134;169;8;1;;13;;;;;
Rilland-Bath;G0702;10479;Zeeland;P29;1358;1266;0;;1266;287;149;137;370;86;3;9;186;1;38;;;
Ritthem;G1163;10652;Zeeland;P29;306;288;0;;288;57;3;45;152;4;2;;22;;3;;;
Rockanje;G0598;10464;Zuid-Holland;P28;2014;2049;0;;2049;737;47;333;110;598;179;10;15;4;5;4;7;
Roden;G0125;10699;Drenthe;P22;3792;3450;0;;3450;1804;34;539;315;539;121;5;5;51;12;4;20;1
Roermond;G0957;11313;Limburg;P31;12231;11160;0;;11160;1987;7328;199;81;236;95;1162;12;19;;35;6;
Roggel;G0958;10505;Limburg;P31;1426;1270;0;;1270;8;1256;1;;;;5;;;;;;
Rolde;G0126;10470;Drenthe;P22;2146;1986;0;;1986;1134;31;74;58;632;20;4;2;3;22;3;;3
Roosendaal en Nispen;G0838;10407;Noord-Brabant;P30;17816;16505;0;;16505;3014;10275;223;205;193;116;2365;34;12;15;46;7;
Roosteren;G0959;10954;Limburg;P31;645;615;0;;615;20;567;4;2;2;;15;1;3;;1;;
Rosmalen;G0839;10970;Noord-Brabant;P30;3709;3443;0;;3443;232;3061;12;20;25;5;82;1;2;2;;1;
