RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);Katholieke Volkspartij (KVP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;VVD;Communistische Partij van Nederland;Katholieke Nationale Partij;Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);Middenstands Partij;Partij voor Recht, Vrijheid en Welvaart;Socialistische Unie;Jong Conservatief Verbond
Emmen;G0114;11180;Drenthe;P22;29646;26288;0;;26288;9186;4523;4007;3476;2269;2446;83;25;144;36;40;39;14
Empel en Meerwijk;G0773;10295;Noord-Brabant;P30;480;429;0;;429;23;392;1;;1;;12;;;;;;
Engelen;G0774;10322;Noord-Brabant;P30;463;398;0;;398;48;325;4;10;;3;3;3;;2;;;
Enkhuizen;G0388;10729;Noord-Holland;P27;6328;6020;0;;6020;2307;812;1234;668;517;166;32;199;26;24;7;20;8
Enschede;G0153;10364;Overijssel;P23;64237;59419;0;;59419;18792;13002;4112;4637;6621;9199;1167;231;1300;82;92;146;38
Epe;G0232;10940;Gelderland;P25;10742;10530;0;;10530;4328;1043;1394;1605;1388;146;103;426;14;17;39;17;10
Ermelo;G0233;10732;Gelderland;P25;11585;12092;0;;12092;1931;375;3151;3460;798;128;110;1913;141;10;33;23;19
Erp;G0775;10385;Noord-Brabant;P30;1829;1779;0;;1779;13;1754;;;;1;5;4;;1;1;;
Esch;G0776;10709;Noord-Brabant;P30;469;444;0;;444;12;422;;4;1;;4;1;;;;;
Est en Opijnen;G0234;11092;Gelderland;P25;649;590;0;;590;261;4;64;102;65;;2;89;;2;1;;
Etten-Leur;G0777;10750;Noord-Brabant;P30;6472;5929;0;;5929;696;4770;41;128;35;24;193;9;5;12;11;5;
Everdingen;G0508;10638;Zuid-Holland;P28;638;598;0;;598;75;83;147;51;88;3;2;146;;3;;;
Ewijk;G0235;10471;Gelderland;P25;1781;1667;0;;1667;184;1400;5;47;5;2;22;1;;;1;;
Ezinge;G0012;10136;Groningen;P20;1130;1086;0;;1086;428;4;405;31;179;2;2;;15;15;2;1;2
Ferwerderadeel;G0068;11284;Fryslân;P21;5040;4798;0;;4798;972;10;2318;873;340;23;2;10;212;21;;17;
Fijnaart en Heijningen;G0778;10206;Noord-Brabant;P30;2687;2508;0;;2508;264;996;287;800;55;4;33;64;0;2;3;0;0
Finsterwolde;G0013;10212;Groningen;P20;2066;1845;0;;1845;478;10;41;75;197;1009;;9;4;19;1;2;
Franeker;G0069;11226;Fryslân;P21;5380;4546;0;;4546;1635;521;1121;525;347;269;37;32;2;26;9;18;4
Franekeradeel;G0070;10404;Fryslân;P21;2918;2753;0;;2753;1085;112;563;617;243;54;6;10;25;6;3;13;16
Gaasterland;G0071;10036;Fryslân;P21;3725;3567;0;;3567;511;781;718;1195;113;22;15;197;2;1;6;4;2
Gameren;G1058;10037;Gelderland;P25;1163;1026;0;;1026;233;8;300;22;19;;7;429;6;1;;1;
Gasselte;G0115;11099;Drenthe;P22;2217;2051;0;;2051;968;24;260;262;288;220;7;2;2;6;5;6;1
Geertruidenberg;G0779;10101;Noord-Brabant;P30;1999;1848;0;;1848;270;1312;72;71;46;10;48;10;1;1;6;1;
Geervliet;G0509;10842;Zuid-Holland;P28;705;653;0;;653;292;5;80;78;138;11;;47;;1;1;;
Geffen;G0780;10370;Noord-Brabant;P30;1168;1078;0;;1078;73;979;1;;2;;18;;;2;1;2;
Geldermalsen;G0236;10881;Gelderland;P25;3294;3037;0;;3037;1453;62;280;584;249;27;10;353;8;6;1;4;
Geldrop;G0781;10529;Noord-Brabant;P30;7044;6507;0;;6507;1407;4396;111;119;145;105;184;8;10;9;4;9;
Geleen;G0906;10048;Limburg;P31;10993;10225;0;;10225;1845;6848;360;144;166;290;485;20;15;;42;10;
Gemert;G0782;10277;Noord-Brabant;P30;5068;4712;0;;4712;169;4238;33;23;44;11;76;2;1;2;111;2;
Gendringen;G0237;10260;Gelderland;P25;6582;6312;0;;6312;528;4867;246;480;70;16;73;6;5;2;18;1;
Gendt;G0238;10440;Gelderland;P25;2188;2113;0;;2113;75;1858;27;63;13;1;55;11;3;6;1;;
Genemuiden;G0154;10746;Overijssel;P23;2279;1975;0;;1975;378;3;448;441;46;3;;641;13;2;;;
Gennep;G0907;10542;Limburg;P31;2358;2213;0;;2213;310;1552;28;41;30;7;238;2;1;;3;1;
Geulle;G0908;10530;Limburg;P31;1057;932;0;;932;69;827;1;;6;4;24;;;;1;;
Giessen;G0783;10193;Noord-Brabant;P30;342;297;0;;297;37;;84;124;15;;;18;19;;;;
Giessendam;G1063;10606;Zuid-Holland;P28;2769;2359;0;;2359;460;2;593;252;258;46;5;618;123;;;2;
Giessen-Nieuwkerk;G1062;10255;Zuid-Holland;P28;687;647;0;;647;139;;294;64;77;;;68;1;2;;2;
Gieten;G0116;10506;Drenthe;P22;2348;2167;0;;2167;1253;23;100;217;459;47;12;;5;42;4;;5
Giethoorn;G0155;10708;Overijssel;P23;1531;1431;0;;1431;726;6;103;223;180;156;2;;12;6;5;12;
Gilze en Rijen;G0784;11375;Noord-Brabant;P30;5948;5710;0;;5710;334;4814;96;45;101;16;280;8;1;5;10;;
Goedereede;G0511;10981;Zuid-Holland;P28;774;670;0;;670;197;4;225;40;91;5;1;105;1;1;;;
Goes;G0664;10674;Zeeland;P29;7880;7402;0;;7402;2190;1103;1000;1434;520;33;88;305;40;602;78;9;
Goirle;G0785;10971;Noord-Brabant;P30;3764;3521;0;;3521;217;2966;22;17;32;33;216;1;4;9;3;1;
Goor;G0156;10076;Overijssel;P23;3358;3239;0;;3239;1597;783;115;164;293;226;30;12;5;2;2;6;4
Gorinchem;G0512;10942;Zuid-Holland;P28;10119;9331;0;;9331;4007;958;1466;591;1344;274;91;217;37;15;30;301;
Gorssel;G0239;10085;Gelderland;P25;6350;5973;0;;5973;2017;330;878;1405;1098;147;48;12;4;6;10;6;12
Gouda;G0513;10302;Zuid-Holland;P28;22896;21129;0;;21129;7619;4203;2413;1645;2293;1186;485;828;154;54;45;172;32
Gouderak;G0514;11258;Zuid-Holland;P28;1181;1097;0;;1097;340;21;292;60;186;4;1;188;;1;;4;
Goudriaan;G0515;10450;Zuid-Holland;P28;369;349;0;;349;40;1;179;12;66;;;51;;;;;
Goudswaard;G0516;10914;Zuid-Holland;P28;823;737;0;;737;131;1;143;38;101;2;2;319;;;;;
Graauw en Langendam;G0665;10312;Zeeland;P29;1030;913;0;;913;181;680;8;4;5;3;27;;1;2;2;;
Graft;G0389;10484;Noord-Holland;P27;663;635;0;;635;251;191;16;14;83;79;;;;;;1;
Gramsbergen;G0157;11339;Overijssel;P23;2750;2608;0;;2608;743;67;738;817;172;14;4;5;40;1;6;1;
Grathem;G0909;11008;Limburg;P31;942;896;0;;896;9;865;;1;;;19;1;1;;;;
Grave;G0786;10165;Noord-Brabant;P30;2727;2381;0;;2381;199;1863;78;29;63;12;112;1;2;4;18;;
Grevenbicht;G0910;10624;Limburg;P31;1280;1119;0;;1119;75;907;;67;6;15;47;1;1;;;;
Grijpskerk;G0016;10244;Groningen;P20;2074;2025;0;;2025;308;10;1171;173;236;5;2;7;98;9;1;5;
Grijpskerke;G1067;10801;Zeeland;P29;578;536;0;;536;38;4;301;99;5;15;;66;7;;;1;
Groede;G0667;11312;Zeeland;P29;1432;1303;0;;1303;478;204;74;156;337;6;10;6;2;24;1;5;
Groenlo;G0240;11094;Gelderland;P25;2887;2717;0;;2717;383;2068;23;54;91;11;71;5;4;4;2;1;
Groesbeek;G0241;10616;Gelderland;P25;6173;5678;0;;5678;773;4299;89;147;93;58;187;7;1;11;9;4;
Groningen;G0014;10426;Groningen;P20;82375;74298;0;;74298;29857;5747;8998;6605;9677;6828;1079;190;3037;1344;309;401;226
Gronsveld;G0911;10323;Limburg;P31;1260;1181;0;;1181;29;1050;3;2;3;1;59;1;1;;32;;
Groot-Ammers;G0520;11205;Zuid-Holland;P28;993;893;0;;893;167;11;298;33;186;2;;186;8;1;1;;
Grootebroek;G0391;11337;Noord-Holland;P27;2435;2378;0;;2378;170;2083;9;4;40;49;18;2;1;2;;;
Grootegast;G0015;11080;Groningen;P20;4469;4241;0;;4241;923;16;2338;450;209;89;2;7;178;6;8;6;9
Grubbenvorst;G0912;10176;Limburg;P31;1658;1611;0;;1611;32;1541;;;1;;36;1;;;;;
Gulpen;G0913;11032;Limburg;P31;1882;1757;0;;1757;123;1467;11;11;12;14;104;2;4;;5;4;
Haaften;G0242;10125;Gelderland;P25;1663;1510;0;;1510;667;7;204;332;46;3;;243;4;3;1;;
Haaksbergen;G0158;11435;Overijssel;P23;6252;5816;0;;5816;1007;3918;109;72;519;51;119;9;4;3;2;1;2
Haamstede;G1068;10701;Zeeland;P29;1029;1018;0;;1018;277;8;206;228;196;2;;68;4;28;;1;
Haaren;G0788;11155;Noord-Brabant;P30;1410;1382;0;;1382;50;1285;4;;3;2;36;;1;1;;;
Haarlem;G0392;10357;Noord-Holland;P27;98283;89421;0;;89421;32042;20300;7566;4016;9827;8656;4484;328;237;248;474;415;828
Haarlemmerliede en Spaarnwoude;G0393;10508;Noord-Holland;P27;2091;1936;0;;1936;280;935;173;90;213;99;115;18;1;1;;5;6
Haarlemmermeer;G0394;11387;Noord-Holland;P27;20796;19298;0;;19298;4680;4163;3882;3028;1312;1075;438;378;167;37;65;39;34
Haarzuilens;G1069;10737;Utrecht;P26;290;288;0;;288;1;243;19;12;2;;9;2;;;;;
Haastrecht;G0521;11049;Zuid-Holland;P28;1415;1354;0;;1354;302;477;190;72;192;11;40;65;1;;;2;2
Haelen;G0914;10321;Limburg;P31;1583;1520;0;;1520;45;1419;1;2;2;1;47;2;1;;;;
Hagestein;G0522;10297;Zuid-Holland;P28;519;484;0;;484;41;168;46;74;53;1;;101;;;;;
Halsteren;G0789;10387;Noord-Brabant;P30;4196;3711;0;;3711;660;2574;107;77;63;27;144;16;8;15;16;4;
Haps;G0790;11283;Noord-Brabant;P30;944;906;0;;906;11;876;2;;3;;11;;;3;;;
Hardenberg;G0160;10174;Overijssel;P23;10623;10051;0;;10051;2258;1091;2941;2106;546;77;9;22;964;29;1;3;4
Harderwijk;G0243;10786;Gelderland;P25;7105;7153;0;;7153;1353;366;1755;2374;409;96;69;640;44;8;29;2;8
Hardinxveld;G1070;10167;Zuid-Holland;P28;4570;3933;0;;3933;1546;20;656;197;377;100;7;948;65;4;7;6;
Haren;G0017;11058;Groningen;P20;7105;6495;0;;6495;1999;110;1319;944;1528;199;66;3;132;124;25;23;23
Harenkarspel;G0395;10963;Noord-Holland;P27;1910;1860;0;;1860;309;1267;100;2;107;46;6;;6;12;;3;2
Harlingen;G0072;10909;Fryslân;P21;6358;5793;0;;5793;2339;748;692;890;481;366;67;3;138;33;15;15;6
Harmelen;G0318;10183;Utrecht;P26;1411;1336;0;;1336;82;570;238;275;27;2;57;76;6;1;2;;
Haskerland;G0073;10022;Fryslân;P21;6020;5565;0;;5565;2310;634;678;1276;418;136;20;21;16;9;6;36;5
Hasselt;G0161;10115;Overijssel;P23;1373;1265;0;;1265;276;52;363;319;58;9;9;66;105;;2;2;4
Hattem;G0244;10673;Gelderland;P25;3379;3249;0;;3249;1194;44;437;801;298;169;21;43;208;5;15;12;2
Havelte;G0117;10186;Drenthe;P22;2509;2320;0;;2320;1403;35;109;173;543;20;3;;7;17;2;6;2
Hazerswoude;G0524;11257;Zuid-Holland;P28;2808;2676;0;;2676;129;1025;734;522;62;9;27;163;1;2;1;1;
Hedel;G0245;10982;Gelderland;P25;1139;1073;0;;1073;178;435;107;83;15;6;24;220;3;;2;;
Heel en Panheel;G0915;11208;Limburg;P31;1480;1434;0;;1434;17;1377;5;1;3;1;28;;2;;;;
Heemskerk;G0396;10679;Noord-Holland;P27;2944;2840;0;;2840;279;2153;27;111;100;101;52;6;;1;1;4;5
Heemstede;G0397;11288;Noord-Holland;P27;14401;13004;0;;13004;2160;3102;1693;847;2840;317;1489;47;30;17;123;64;275
Heenvliet;G0525;10823;Zuid-Holland;P28;772;689;0;;689;252;8;64;34;208;99;4;14;;2;1;3;
Heer;G0916;11407;Limburg;P31;3679;3335;0;;3335;926;2088;13;7;41;34;197;2;7;;14;6;
Heerde;G0246;10291;Gelderland;P25;6491;6201;0;;6201;2215;49;1115;1861;561;34;17;134;196;4;4;2;9
Heerenveen;G0074;10680;Fryslân;P21;14288;12903;0;;12903;5608;457;1559;1198;1660;1735;42;35;95;65;16;422;11
Heerewaarden;G0247;10067;Gelderland;P25;638;610;0;;610;425;24;25;18;110;3;2;2;;;1;;
Heerhugowaard;G0398;10752;Noord-Holland;P27;2974;2863;0;;2863;403;2004;180;46;168;27;26;5;;2;1;;1
Heerjansdam;G0526;10540;Zuid-Holland;P28;856;812;0;;812;246;3;184;237;79;18;;44;;;;1;
Heerlen;G0917;10902;Limburg;P31;32110;29464;0;;29464;5657;18266;532;658;412;1564;2216;14;51;;53;41;
Heesch;G0791;10149;Noord-Brabant;P30;2150;2027;0;;2027;101;1860;11;17;6;8;20;1;1;1;1;;
Heeswijk;G1072;11229;Noord-Brabant;P30;1085;1056;0;;1056;4;1033;;;;1;15;;;;3;;
Heeze;G0793;10462;Noord-Brabant;P30;2269;2151;0;;2151;145;1826;9;60;23;1;82;1;;3;1;;
Hei- en Boeicop;G0527;11024;Zuid-Holland;P28;425;390;0;;390;34;1;140;27;33;1;;155;;;;;
Heiloo;G0399;10793;Noord-Holland;P27;6124;5510;0;;5510;1587;2322;234;209;720;213;144;16;5;7;19;19;15
Heinenoord;G0528;10821;Zuid-Holland;P28;1270;1186;0;;1186;376;14;272;176;147;6;;186;1;5;3;;
Heinkenszand;G0672;10413;Zeeland;P29;1231;1181;0;;1181;78;555;141;251;49;;24;51;;31;1;;
Heino;G0162;10854;Overijssel;P23;1914;1876;0;;1876;307;886;75;471;55;2;26;2;50;1;;;1
Hekelingen;G1074;10873;Zuid-Holland;P28;657;609;0;;609;328;5;63;35;139;4;;32;;;2;1;
Hekendorp;G1075;10217;Zuid-Holland;P28;428;398;0;;398;37;118;65;75;53;1;6;41;;;2;;
Helden;G0918;10205;Limburg;P31;4306;4146;0;;4146;45;4000;2;5;11;5;69;1;3;;4;1;
Hellendoorn;G0163;10806;Overijssel;P23;10286;10052;0;;10052;1825;2201;1858;3262;419;111;31;202;126;7;4;6;
Hellevoetsluis;G0530;11078;Zuid-Holland;P28;776;723;0;;723;384;48;70;63;127;11;3;12;2;;2;1;
Helmond;G0794;10932;Noord-Brabant;P30;19271;17871;0;;17871;3162;12568;202;161;420;718;486;15;18;36;65;20;
Helvoirt;G0795;10389;Noord-Brabant;P30;1476;1399;0;;1399;47;1204;3;37;14;5;87;1;1;;;;
Hemelumer Oldeferd;G0075;10334;Fryslân;P21;2960;2812;0;;2812;547;113;607;1348;112;6;4;39;6;13;11;4;2
Hemmen;G1076;11162;Gelderland;P25;134;131;0;;131;10;3;29;47;9;1;;31;;;1;;
Hendrik-Ido-Ambacht;G0531;10416;Zuid-Holland;P28;3275;3086;0;;3086;930;21;745;413;225;19;3;716;10;;;4;
Hengelo;G0248;10359;Gelderland;P25;3298;3102;0;;3102;608;1091;654;443;241;10;10;36;2;2;1;4;
Hengelo;G0164;10907;Overijssel;P23;30466;28390;0;;28390;10054;9488;1568;1848;2702;1913;433;83;88;36;41;104;32
Hennaarderadeel;G0076;10877;Fryslân;P21;2797;2652;0;;2652;641;130;550;1075;212;6;8;17;2;2;2;6;1
Hensbroek;G0401;10181;Noord-Holland;P27;556;523;0;;523;155;279;2;3;61;17;2;2;;1;1;;
Herkingen;G1078;10267;Zuid-Holland;P28;599;509;0;;509;87;4;159;13;25;;;221;;;;;
Herten;G0919;10138;Limburg;P31;994;909;0;;909;40;819;1;4;;;44;1;;;;;
Herwen en Aerdt;G0249;10819;Gelderland;P25;3231;2917;0;;2917;563;1866;86;127;76;12;159;11;2;8;3;4;
Herwijnen;G0250;11266;Gelderland;P25;1047;967;0;;967;328;4;267;210;72;2;1;83;;;;;
Het Bildt;G0063;10128;Fryslân;P21;5479;5133;0;;5133;1675;36;1626;800;509;319;8;17;22;45;6;67;3
Heteren;G0251;10290;Gelderland;P25;2522;2398;0;;2398;237;1268;263;280;40;8;16;268;1;3;14;;
Heukelum;G0533;11308;Zuid-Holland;P28;1045;982;0;;982;449;12;213;115;157;9;1;22;2;1;;1;
Heumen;G0252;10600;Gelderland;P25;1561;1468;0;;1468;93;1266;19;12;20;1;53;2;;;1;1;
Heusden;G0797;10307;Noord-Brabant;P30;1753;1638;0;;1638;314;967;76;146;49;6;15;55;2;4;;4;
Heythuysen;G0920;10840;Limburg;P31;1617;1554;0;;1554;25;1451;1;;6;;67;;3;;;1;
Hillegom;G0534;11236;Zuid-Holland;P28;7342;6996;0;;6996;1160;3177;685;895;294;72;589;74;3;10;14;17;6
Hilvarenbeek;G0798;11297;Noord-Brabant;P30;2690;2533;0;;2533;316;1869;10;86;25;13;206;4;1;1;2;;
Hilversum;G0402;11285;Noord-Holland;P27;53300;49154;0;;49154;14785;8649;7049;4129;6551;3561;2230;982;111;132;467;309;199
Hindeloopen;G0077;10672;Fryslân;P21;530;495;0;;495;255;9;77;121;7;21;;1;2;1;;1;
Hoedekenskerke;G0673;11072;Zeeland;P29;948;905;0;;905;88;445;58;124;36;3;25;110;;13;3;;
Hoek;G0674;10038;Zeeland;P29;1652;1564;0;;1564;551;30;135;277;191;5;6;278;81;10;;;
Hoenkoop;G0319;10611;Utrecht;P26;318;307;0;;307;23;147;73;27;14;;8;15;;;;;
Hoensbroek;G0921;11177;Limburg;P31;8949;8055;0;;8055;1709;4949;141;153;66;632;329;9;28;;20;19;
Hoevelaken;G0253;11358;Gelderland;P25;1010;958;0;;958;222;40;136;285;35;3;11;216;5;;2;2;1
Hoeven;G0799;10065;Noord-Brabant;P30;2613;2331;0;;2331;194;1934;8;10;8;15;144;3;2;5;8;;
Holten;G0165;11246;Overijssel;P23;3022;2917;0;;2917;753;62;425;1227;379;17;4;23;4;6;3;3;11
Hontenisse;G0675;11123;Zeeland;P29;3205;2930;0;;2930;283;2425;23;96;26;3;40;9;18;5;2;;
Hoofdplaat;G0676;10147;Zeeland;P29;698;669;0;;669;63;520;13;45;8;1;5;7;1;6;;;
Hoogblokland;G0535;11040;Zuid-Holland;P28;518;501;0;;501;146;;163;9;147;2;;30;;;;4;
Hooge en Lage Mierde;G0801;10476;Noord-Brabant;P30;1246;1255;0;;1255;50;1150;9;11;2;12;15;4;;1;1;;
Hooge en Lage Zwaluwe;G0802;11318;Noord-Brabant;P30;2715;2451;0;;2451;336;1184;174;622;82;5;12;28;;4;4;;
Hoogeloon, Hapert en Casteren;G0800;10657;Noord-Brabant;P30;1740;1603;0;;1603;13;1536;2;39;;;13;;;;;;
Hoogeveen;G0118;10839;Drenthe;P22;11117;9867;0;;9867;2206;103;3957;2097;508;464;23;228;233;18;10;13;7
Hoogezand-Sappemeer;G0018;10410;Groningen;P20;12915;11409;0;;11409;5187;874;940;465;1533;1844;129;16;84;228;37;54;18
Hoogkarspel;G0403;10642;Noord-Holland;P27;1343;1291;0;;1291;249;922;4;8;74;9;20;1;;;2;2;
Hoogkerk;G1084;10953;Groningen;P20;2695;2503;0;;2503;957;69;532;289;195;110;6;15;280;28;5;13;4
Hoogland;G0320;10545;Utrecht;P26;2187;2103;0;;2103;122;1579;81;201;24;4;17;59;13;;1;1;1
Hoogwoud;G0404;11029;Noord-Holland;P27;1345;1306;0;;1306;382;668;6;6;174;50;1;;1;7;6;2;3
Hoorn;G0405;11392;Noord-Holland;P27;8471;7834;0;;7834;2960;2495;404;287;961;435;147;24;17;25;23;47;9
Hoornaar;G0536;10516;Zuid-Holland;P28;478;452;0;;452;109;;181;19;99;2;;42;;;;;
Horn;G0922;11176;Limburg;P31;1314;1336;0;;1336;61;1214;2;2;1;2;47;2;1;;4;;
Horssen;G0254;10607;Gelderland;P25;582;566;0;;566;13;498;;47;1;;3;3;;1;;;
Horst;G0923;11108;Limburg;P31;5034;4923;0;;4923;82;4584;12;12;7;48;171;;3;;3;1;
Houten;G0321;10230;Utrecht;P26;1597;1501;0;;1501;123;927;107;87;33;4;50;162;;2;4;;2
Huijbergen;G0803;10466;Noord-Brabant;P30;486;482;0;;482;17;445;3;2;3;;12;;;;;;
Huissen;G0255;11047;Gelderland;P25;3668;3514;0;;3514;330;2891;27;119;24;10;104;6;;3;;;
Huizen;G0406;11170;Noord-Holland;P27;6933;6465;0;;6465;1338;137;2283;1162;506;153;65;742;;5;36;20;18
Hulsberg;G0924;11216;Limburg;P31;1129;1030;0;;1030;54;905;11;3;3;15;36;;1;;2;;
Hulst;G0677;11408;Zeeland;P29;2605;2357;0;;2357;434;1624;13;31;52;7;169;5;3;15;3;1;
Hummelo en Keppel;G0256;11235;Gelderland;P25;2078;1964;0;;1964;694;297;264;280;363;16;24;20;;4;;2;
Hunsel;G0925;10784;Limburg;P31;1497;1433;0;;1433;26;1379;5;1;1;2;19;;;;;;
Hurwenen;G1089;11432;Gelderland;P25;348;320;0;;320;123;106;17;35;19;3;2;13;;2;;;
Idaarderadeel;G0078;10815;Fryslân;P21;4157;3900;0;;3900;2507;210;242;158;520;134;7;4;1;4;6;105;2
IJlst;G0102;11062;Fryslân;P21;838;808;0;;808;220;11;253;280;31;3;;5;;;4;1;
IJsselmuiden;G0191;10641;Overijssel;P23;3926;3646;0;;3646;397;441;621;780;91;6;14;1084;207;1;4;;
IJsselstein;G0353;10152;Utrecht;P26;3010;2864;0;;2864;410;1435;230;383;52;12;62;265;3;2;;;10
IJzendijke;G0730;10688;Zeeland;P29;1548;1429;0;;1429;322;734;72;90;99;12;74;5;;16;4;1;
Ilpendam;G0407;10809;Noord-Holland;P27;1459;1398;0;;1398;456;314;99;131;107;263;10;6;2;6;2;2;
Itteren;G0926;10458;Limburg;P31;354;340;0;;340;23;297;;;;3;12;;;;5;;
Jabeek;G0927;10256;Limburg;P31;338;308;0;;308;16;287;1;;1;1;1;;;;;1;
Jisp;G0408;10481;Noord-Holland;P27;474;441;0;;441;202;37;8;7;110;68;1;;;2;3;3;
Jutphaas;G0322;10374;Utrecht;P26;6189;5792;0;;5792;1948;1987;635;497;204;175;91;181;25;32;10;6;1
Kamerik;G0323;10554;Utrecht;P26;1193;1128;0;;1128;45;386;204;244;15;4;8;218;2;2;;;
Kampen;G0166;10253;Overijssel;P23;13822;12970;0;;12970;3207;1194;2622;2825;565;102;104;1281;1000;15;30;13;12
Kantens;G0020;10372;Groningen;P20;1333;1269;0;;1269;527;16;236;132;184;14;6;;119;31;4;;
Kapelle;G0678;11223;Zeeland;P29;2406;2254;0;;2254;506;42;431;702;204;8;4;222;;134;;1;
Kattendijke;G0679;11218;Zeeland;P29;705;652;0;;652;336;1;43;177;51;1;;17;;26;;;
Katwijk;G0537;10707;Zuid-Holland;P28;11836;10963;0;;10963;1650;595;1775;4999;417;57;121;1191;75;16;16;10;41
Katwoude;G0409;11136;Noord-Holland;P27;153;146;0;;146;37;16;29;37;25;2;;;;;;;
Kedichem;G0538;10280;Zuid-Holland;P28;694;651;0;;651;256;8;129;32;188;7;1;25;3;;;2;
Kerkrade;G0928;10313;Limburg;P31;22095;19560;0;;19560;2989;13983;185;223;158;1008;870;26;55;;38;25;
Kerkwerve;G1095;10837;Zeeland;P29;457;485;0;;485;104;9;147;92;43;6;2;57;10;13;1;1;
Kerkwijk;G0257;10791;Gelderland;P25;798;736;0;;736;188;2;331;76;24;2;;109;3;1;;;
Kessel;G0929;10890;Limburg;P31;1171;1114;0;;1114;17;1063;3;;3;2;25;;;;;1;
Kesteren;G0258;10916;Gelderland;P25;2876;2617;0;;2617;701;22;544;126;152;17;8;1037;3;4;;3;
Klaaswaal;G0539;10284;Zuid-Holland;P28;1324;1191;0;;1191;413;6;181;214;206;5;1;163;;2;;;
Klimmen;G0930;10977;Limburg;P31;1297;1176;0;;1176;62;1002;2;5;5;5;86;;;;6;3;
Kloetinge;G0680;10155;Zeeland;P29;1179;1089;0;;1089;309;48;130;350;128;3;14;49;2;42;14;;
Kloosterburen;G0021;10628;Groningen;P20;1318;1246;0;;1246;277;497;290;10;122;4;29;2;4;9;;1;1
Klundert;G0804;10656;Noord-Brabant;P30;2777;2659;0;;2659;272;832;902;424;62;3;17;138;2;1;6;;
Kockengen;G0324;10765;Utrecht;P26;809;784;0;;784;22;278;183;108;22;2;5;159;2;1;;;2
Koedijk;G0410;10510;Noord-Holland;P27;1271;1195;0;;1195;457;370;47;33;162;81;16;8;2;6;4;7;2
Koewacht;G0681;10892;Zeeland;P29;1341;1204;0;;1204;214;947;5;5;14;2;10;;1;6;;;
Kollumerland en Nieuwkruisland;G0079;10984;Fryslân;P21;5556;5317;0;;5317;778;23;2443;1473;312;66;3;129;66;17;2;4;1
Koog aan de Zaan;G0411;10776;Noord-Holland;P27;4473;4092;0;;4092;1597;393;408;109;511;944;19;35;4;40;10;21;1
Kortenhoef;G1097;10467;Noord-Holland;P27;1324;1191;0;;1191;288;260;148;222;91;39;30;96;5;2;6;3;1
Kortgene;G0682;10250;Zeeland;P29;2450;2210;0;;2210;864;5;302;513;234;7;2;154;3;122;3;1;
Koudekerk aan den Rijn;G0540;10029;Zuid-Holland;P28;1032;964;0;;964;134;101;340;316;32;5;3;27;3;;2;;1
Koudekerke;G1098;11428;Zeeland;P29;1558;1450;0;;1450;255;26;464;425;56;4;5;84;2;124;2;3;
Krabbendijke;G0684;11038;Zeeland;P29;1677;1528;0;;1528;262;10;233;331;76;5;3;573;1;29;5;;
Krimpen aan de Lek;G0541;10617;Zuid-Holland;P28;2109;1948;0;;1948;924;11;426;85;201;71;;217;;4;2;6;1
Krimpen aan den IJssel;G0542;10859;Zuid-Holland;P28;4148;3705;0;;3705;1585;35;342;390;270;212;7;838;8;4;5;3;6
Krommenie;G0413;10373;Noord-Holland;P27;4323;4081;0;;4081;1074;1017;330;93;281;1161;21;8;54;24;3;14;1
Kruiningen;G0685;10077;Zeeland;P29;2922;2645;0;;2645;785;400;303;412;270;6;17;317;5;123;6;1;
Kuinre;G0167;11148;Overijssel;P23;480;451;0;;451;222;50;32;110;31;2;1;1;;;;1;1
Kwadijk;G0414;10775;Noord-Holland;P27;267;251;0;;251;154;6;6;10;62;9;;;;2;2;;
Landsmeer;G0415;11225;Noord-Holland;P27;2551;2359;0;;2359;832;108;400;247;237;480;8;21;2;10;6;4;4
Langbroek;G0325;11413;Utrecht;P26;880;842;0;;842;128;145;175;173;18;5;14;170;2;4;5;;3
Lange Ruige Weide;G1101;10900;Zuid-Holland;P28;431;399;0;;399;24;11;167;115;18;1;;63;;;;;
Langedijk;G0416;10955;Noord-Holland;P27;4771;4540;0;;4540;1340;1328;794;321;454;219;29;18;22;7;3;4;1
Langerak;G0543;11127;Zuid-Holland;P28;563;520;0;;520;113;3;191;21;67;1;;103;21;;;;
Laren;G0417;10649;Noord-Holland;P27;6737;6017;0;;6017;1116;2157;569;230;901;233;590;44;10;10;77;54;26
Laren (Gld.);G0259;10098;Gelderland;P25;4100;3872;0;;3872;1070;116;365;735;1513;44;12;6;1;1;3;3;3
Leek;G0022;10604;Groningen;P20;4799;4521;0;;4521;1773;22;1284;349;719;64;2;4;260;22;11;5;6
Leende;G0805;11017;Noord-Brabant;P30;1296;1219;0;;1219;57;1090;9;4;2;2;52;;;;1;2;
Leens;G0023;11050;Groningen;P20;2395;2207;0;;2207;639;219;487;50;318;36;5;3;383;57;7;;3
Leerbroek;G0544;10465;Zuid-Holland;P28;529;444;0;;444;33;3;165;58;36;;;148;;;1;;
