RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);Staatkundig Gereformeerde Partij (SGP);Middenpartij voor Stad en Land;CPN (De Visser);HGSP;Plattelandersbond;CPN (Wijnkoop);Rooms-Katholieke Volkspartij (RKVP);Revolutionair-Socialistische Partij;Federatief Verband;Christelijk-Democratische Unie;Democratische Partij;Kleine Winkeliers en Middenstanders;Nationale Boerenbond;Verbond van Nationalisten;Roomsch-Katholieke Boerenpartij (RKBP);Sociaal-Democratische Volkspartij;Algemene Welvaartspartij;Christelijke Arbeiderspartij;Lijst Van Nunen;Hoofd- en handarbeiders;Sociaal-Economische Volkspartij;Invalidenpartij;Lijst Verwey;Volkspartij;Anti-stemdwangpartij;Algemeen Belang;Neutrale Volkspartij;Lijst Siedenburg;Vrije Christelijke Partij;Internationale Volkspartij
Giessen-Nieuwkerk;G1062;10255;Zuid-Holland;P28;549;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gieten;G0116;10506;Drenthe;P22;1621;1453;;;1453;5;538;81;234;175;131;5;11;11;3;190;6;7;6;20;4;1;;14;11;;;;;;;;;;;;;;;;
Giethoorn;G0155;10708;Overijssel;P23;;1046;;;1046;3;502;50;118;91;129;1;3;6;10;20;63;5;18;3;9;5;;6;4;;;;;;;;;;;;;;;;
Gilze en Rijen;G0784;11375;Noord-Brabant;P30;3209;3090;;;3090;2990;31;10;10;6;5;2;9;;;;3;10;5;3;;;;;1;1;;;;4;;;;;;;;;;;
Ginneken en Bavel;G1064;10406;Noord-Brabant;P30;5684;5161;;;5161;3876;495;78;204;169;148;8;40;5;13;7;4;35;15;35;6;7;1;2;11;1;;;;1;;;;;;;;;;;
Goedereede;G0511;10981;Zuid-Holland;P28;650;531;4;42;485;2;173;100;19;75;12;75;;;1;22;1;;;4;;;;1;;;;;;;;;;;;;;;;;
Goes;G0664;10674;Zeeland;P29;4740;4445;175;;4270;695;797;632;1252;344;269;118;40;21;12;10;5;17;19;16;11;5;;7;;;;;;;;;;;;;;;;;
Goirle;G0785;10971;Noord-Brabant;P30;2154;1984;;;1984;1813;29;5;1;6;11;;19;1;;;6;63;11;4;1;;2;;1;1;;;;10;;;;;;;;;;;
Goor;G0156;10076;Overijssel;P23;;2048;22;32;1994;431;1030;42;118;91;176;5;10;15;2;12;8;2;15;6;21;;;5;5;;;;;;;;;;;;;;;;
Gorinchem;G0512;10942;Zuid-Holland;P28;7231;6340;;;6340;813;1818;1503;308;1204;342;162;64;95;11;;;20;;;;;;;;;;;;;;;;;;;;;;;
Gorssel;G0239;10085;Gelderland;P25;4225;3889;107;;3782;182;819;578;819;901;318;15;18;9;6;31;17;;17;19;13;1;4;1;8;;;6;;;;;;;;;;;;;
Gouda;G0513;10302;Zuid-Holland;P28;14656;13147;;;13147;3188;3933;1513;826;1483;510;527;121;90;262;129;16;96;24;59;306;20;9;7;14;;;;;;;14;;;;;;;;;
Gouderak;G0514;11258;Zuid-Holland;P28;979;828;;;828;12;159;203;25;148;46;164;7;2;9;31;1;;2;5;6;1;;1;3;;;;;;;3;;;;;;;;;
Goudriaan;G0515;10450;Zuid-Holland;P28;326;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Goudswaard;G0516;10914;Zuid-Holland;P28;716;578;;;578;;41;70;49;122;7;230;;1;13;41;;1;1;1;;;;1;;;;;;;;;;;;;;;;;
Graauw en Langendam;G0665;10312;Zeeland;P29;1005;832;39;32;761;632;32;8;9;15;4;1;21;;4;2;4;7;6;9;;4;;3;;;;;;;;;;;;;;;;;
Grafhorst;G1065;10224;Overijssel;P23;354;301;;;301;8;24;30;15;2;4;213;;;;3;1;;1;;;;;;;;;;;;;;;;;;;;;;
Graft;G0389;10484;Noord-Holland;P27;689;628;11;;617;139;221;4;31;35;143;2;10;5;1;13;3;2;;3;;1;2;2;;;;;;;;;;;;;;;;;
Gramsbergen;G0157;11339;Overijssel;P23;1903;1725;;;1725;59;211;518;707;94;58;10;17;3;4;23;3;;7;;8;1;;;2;;;;;;;;;;;;;;;;
Grathem;G0909;11008;Limburg;P31;704;673;0;1;672;660;2;1;;;;;1;;;;;;;;;;;;;8;;;;;;;;;;;;;;;
Grave;G0786;10165;Noord-Brabant;P30;1114;1009;;;1009;873;43;5;9;13;12;1;7;2;1;2;6;26;4;2;;1;;1;;;;;;1;;;;;;;;;;;
Grevenbicht;G0910;10624;Limburg;P31;700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grijpskerk;G0016;10244;Groningen;P20;1825;1698;21;;1677;5;165;929;120;178;207;3;6;1;9;33;1;1;1;2;1;13;;1;1;;;;;;;;;;;;;;;;
Grijpskerke;G1067;10801;Zeeland;P29;;436;9;4;423;;;275;107;1;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Groede;G0667;11312;Zeeland;P29;1383;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Groenlo;G0240;11094;Gelderland;P25;1932;1821;42;;1779;1380;174;6;43;59;70;1;4;;4;1;6;;1;;12;17;;;1;;;;;;;;;;;;;;;;
Groesbeek;G0241;10616;Gelderland;P25;3134;2865;;;2865;2542;79;15;67;28;18;3;24;;11;4;4;46;4;9;2;2;2;;;;;;;;;;;5;;;;;;;
Groningen;G0014;10426;Groningen;P20;54544;49705;1940;;47765;3948;16379;6420;5224;3809;6547;89;504;832;695;286;819;139;220;423;172;1095;;113;51;;;;;;;;;;;;;;;;
Gronsveld;G0911;10323;Limburg;P31;757;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Groot-Ammers;G0520;11205;Zuid-Holland;P28;809;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grootebroek;G0391;11337;Noord-Holland;P27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grootegast;G0015;11080;Groningen;P20;3504;3248;55;;3193;4;478;1867;385;74;209;8;2;3;45;65;9;1;9;5;7;8;;10;4;;;;;;;;;;;;;;;;
Grubbenvorst;G0912;10176;Limburg;P31;1026;997;2;5;990;931;10;2;;;;;3;;;5;;2;2;;;;;;;35;;;;;;;;;;;;;;;
Gulpen;G0913;11032;Limburg;P31;1371;1201;;;1201;1093;33;1;4;5;13;10;9;3;;2;2;1;9;;2;1;;;;12;1;;;;;;;;;;;;;;
Haaften;G0242;10125;Gelderland;P25;1343;1093;;;1093;5;296;156;209;38;20;148;3;;8;154;6;;3;4;2;3;4;4;3;;;;;;;;;27;;;;;;;
Haaksbergen;G0158;11435;Overijssel;P23;;3473;;;3473;2275;587;44;28;37;249;5;22;3;7;174;3;12;11;4;7;;;3;2;;;;;;;;;;;;;;;;
Haamstede;G1068;10701;Zeeland;P29;;637;;;637;7;68;119;163;150;26;45;2;2;2;21;4;3;12;3;3;;;7;;;;;;;;;;;;;;;;;
Haaren;G0788;11155;Noord-Brabant;P30;998;962;;;962;948;4;;;;;;1;;;;1;8;;;;;;;;;;;;;;;;;;;;;;;
Haarlem;G0392;10357;Noord-Holland;P27;63596;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Haarlemmerliede en Spaarnwoude;G0393;10508;Noord-Holland;P27;1468;1378;15;19;1344;684;183;145;91;89;53;18;22;20;2;5;6;3;5;;;1;2;;1;;;9;1;;;3;;;;1;;;;;
Haarlemmermeer;G0394;11387;Noord-Holland;P27;;11004;332;;10672;2462;1863;2433;2184;574;201;304;135;146;74;79;44;8;23;30;;7;5;7;9;;9;35;5;;;15;;;;18;;;2;;
Haarzuilens;G1069;10737;Utrecht;P26;230;220;9;;211;171;;8;25;;;4;2;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
Haastrecht;G0521;11049;Zuid-Holland;P28;1031;958;;;958;371;103;115;52;141;78;41;4;1;8;27;;5;4;6;;1;;;;;;;;;;1;;;;;;;;;
Haelen;G0914;10321;Limburg;P31;547;500;0;9;491;456;4;1;;;;1;2;1;;1;1;;1;;;;;;;23;;;;;;;;;;;;;;;
Hagestein;G0522;10297;Zuid-Holland;P28;432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Halsteren;G0789;10387;Noord-Brabant;P30;2674;2360;;;2360;1951;94;55;28;31;16;5;47;3;4;19;12;41;18;5;3;6;2;2;3;13;;;;2;;;;;;;;;;;
Haps;G0790;11283;Noord-Brabant;P30;646;611;;;611;606;;;;;;;1;;;;1;;1;;;1;;;;1;;;;;;;;;;;;;;;
Harderwijk;G0243;10786;Gelderland;P25;4030;3733;159;;3574;168;334;740;1560;207;102;300;17;4;11;27;37;;6;10;17;5;4;;3;;;19;3;;;;;;;;;;;;
Hardinxveld;G1070;10167;Zuid-Holland;P28;3175;0;;;;;697;423;95;318;80;656;;;5;52;;;;;;;;;;;;;;;;;;;;;;;;;
Haren;G0017;11058;Groningen;P20;3680;3451;95;;3356;40;911;698;524;489;338;15;17;24;23;176;14;4;9;32;2;25;;7;8;;;;;;;;;;;;;;;;
Harenkarspel;G0395;10963;Noord-Holland;P27;1483;1401;;;1401;797;155;87;5;17;312;;3;1;;8;3;6;;2;;2;;1;;;;;;;;;;;;2;;;;;
Harlingen;G0072;10909;Fryslân;P21;5472;4886;188;;4698;606;1394;683;1035;297;406;8;32;79;9;14;3;33;31;;35;18;;15;;;;;;;;;;;;;;;;;
Harmelen;G0318;10183;Utrecht;P26;1123;1075;27;;1048;470;47;209;180;32;8;78;2;;3;9;;1;;4;2;;;2;;;;;1;;;;;;;;;;;;
Haskerland;G0073;10022;Fryslân;P21;4401;4061;112;;3949;350;1071;539;1013;200;360;9;16;23;75;145;39;13;19;;55;21;;1;;;;;;;;;;;;;;;;;
Hasselt;G0161;10115;Overijssel;P23;;1020;14;13;999;37;125;542;73;30;93;43;2;1;24;6;2;6;4;1;;1;;8;1;;;;;;;;;;;;;;;;
Hattem;G0244;10673;Gelderland;P25;;2038;21;52;1965;10;669;556;296;186;63;7;10;;135;2;1;;7;6;8;3;;1;1;;;4;;;;;;;;;;;;;
Havelte;G0117;10186;Drenthe;P22;1835;1653;;;1653;12;373;91;102;129;702;6;14;36;26;72;11;12;7;9;15;9;;15;12;;;;;;;;;;;;;;;;
Hazerswoude;G0524;11257;Zuid-Holland;P28;2044;1942;44;;1898;727;33;518;453;28;31;59;4;;21;12;;1;4;1;3;;;2;;;;;;;;1;;;;;;;;;
Hedel;G0245;10982;Gelderland;P25;884;789;;;789;328;32;133;170;2;8;101;2;1;3;4;;;;;;;;;5;;;;;;;;;;;;;;;;
Hedikhuizen;G1071;11130;Noord-Brabant;P30;665;716;;;716;669;12;;14;2;;2;7;;4;1;;1;1;1;;;1;1;;;;;;;;;;;;;;;;;
Heel en Panheel;G0915;11208;Limburg;P31;805;794;3;7;784;775;3;;;;;;1;1;;1;2;;;;;;;;;1;;;;;;;;;;;;;;;
