RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Katholieke Volkspartij (KVP);Partij van de Arbeid (P.v.d.A.);Anti-Revolutionaire Partij;Christelijk-Historische Unie;VVD;Communistische Partij van Nederland;Staatkundig Gereformeerde Partij (SGP);Overig;Lijst Welter
Blokker;G0378;10804;Noord-Holland;P27;1421;1319;0;;1319;933;213;21;14;113;17;2;4;2
Blokzijl;G0146;10689;Overijssel;P23;810;733;0;;733;12;302;177;137;83;9;10;3;
Bocholtz;G0895;10986;Limburg;P31;1738;1594;0;;1594;1442;68;3;2;2;43;1;6;27
Bodegraven;G0497;11091;Zuid-Holland;P28;3889;3591;0;;3591;771;448;1289;593;186;29;233;19;23
Boekel;G0755;10432;Noord-Brabant;P30;2278;2172;0;;2172;2133;22;;;;3;;3;11
Bolsward;G0064;10865;Fryslân;P21;4023;3718;0;;3718;1319;965;584;535;159;111;10;21;14
Borculo;G0211;11307;Gelderland;P25;3618;3371;0;;3371;353;1272;346;342;958;53;1;31;15
Borger;G0108;10448;Drenthe;P22;5971;5218;0;;5218;109;2398;746;794;837;273;4;50;7
Borgharen;G0896;11334;Limburg;P31;601;534;0;;534;482;32;1;3;7;1;;2;6
Born;G0897;10927;Limburg;P31;1864;1799;0;;1799;1620;113;7;3;8;8;1;5;34
Borne;G0147;10326;Overijssel;P23;6393;6127;0;;6127;3523;1200;272;446;252;346;26;12;50
Borsele;G0654;10043;Zeeland;P29;905;804;0;;804;100;71;87;215;63;1;214;14;39
Boskoop;G0499;10419;Zuid-Holland;P28;4721;4378;0;;4378;920;661;1146;659;611;88;232;22;39
Bovenkarspel;G0379;10945;Noord-Holland;P27;1647;1559;0;;1559;1185;221;22;4;78;32;5;7;5
Boxmeer;G0756;11227;Noord-Brabant;P30;3721;3514;0;;3514;3196;198;5;43;13;27;;5;27
Boxtel;G0757;10083;Noord-Brabant;P30;6608;6108;0;;6108;5221;498;57;47;75;80;3;30;97
Brakel;G0212;11125;Gelderland;P25;1127;978;0;;978;6;295;77;149;25;7;412;6;1
Brandwijk;G0500;10169;Zuid-Holland;P28;543;483;0;;483;;60;229;30;61;;99;3;1
Breda;G0758;10154;Noord-Brabant;P30;47053;43027;0;;43027;26190;8538;1664;996;1809;876;95;537;2322
Breskens;G0655;10233;Zeeland;P29;1624;1616;0;;1616;143;655;210;276;148;84;24;71;5
Breukelen-Nijenrode;G1028;10807;Utrecht;P26;2128;2003;0;;2003;453;231;440;493;123;28;163;17;55
Breukelen-Sint Pieters;G1029;11149;Utrecht;P26;650;608;0;;608;101;100;167;139;50;8;22;4;17
Brielle;G0501;10232;Zuid-Holland;P28;2234;2071;0;;2071;170;781;230;360;405;76;11;31;7
Broek in Waterland;G0380;10289;Noord-Holland;P27;1019;945;0;;945;34;317;86;193;228;57;4;22;4
Broekhuizen;G0898;10856;Limburg;P31;533;511;0;;511;497;7;;;1;1;;;5
Brouwershaven;G0656;10030;Zeeland;P29;784;715;0;;715;4;354;176;29;115;1;22;14;
