RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;Vrijzinnig-Democratische Bond (VDB);Nationaal-Socialistische Beweging (NSB);Liberale Staatspartij (LSP);Communistische Partij van Nederland;Christelijk-Democratische Unie;Staatkundig Gereformeerde Partij (SGP);Revolutionair Socialistische Arbeiderspartij;Katholiek Democratische Partij;HGSP;Actie-Bouwman;Christelijk Nationale Actie;Algemeen Belang;Zwart Front;Plattelandersbond;VNH;Nationaal Socialistische Arbeiderspartij
Vlaardinger-Ambacht;G1210;10790;Zuid-Holland;P28;2295;2293;28;20;2245;315;461;594;472;91;76;76;5;62;72;;11;2;;5;;;3;;
Vlagtwedde;G0048;11249;Groningen;P20;7177;6710;143;134;6433;858;1440;911;487;620;773;93;261;878;8;7;6;53;;3;19;3;12;1;
Vledder;G0132;11120;Drenthe;P22;1313;1207;17;37;1153;64;374;190;40;215;48;150;15;14;;23;2;8;;2;2;;3;2;1
Vleuten;G1211;10658;Utrecht;P26;1583;1551;11;16;1524;768;109;236;257;27;62;24;4;3;22;2;1;2;;6;;;1;;
Vlieland;G0096;10211;Noord-Holland;P27;339;307;6;3;298;5;164;40;10;55;7;6;2;4;;;;;;;1;1;1;2;
Vlijmen;G0864;11293;Noord-Brabant;P30;3484;3312;31;40;3241;2801;29;12;22;5;25;;2;;;;12;;312;3;4;12;1;1;
Vlissingen;G0718;10270;Zeeland;P29;12635;11692;192;404;11096;1250;3223;2931;1339;1222;285;364;114;53;144;70;22;8;;13;16;5;6;31;
Vlist;G0623;11174;Zuid-Holland;P28;238;222;3;2;217;38;9;70;2;26;10;14;;;28;;1;;;18;;;1;;
Vlodrop;G0985;10644;Limburg;P31;604;593;8;7;578;542;2;4;3;;14;;2;;;;1;;;;;1;;9;
Voerendaal;G0986;11341;Limburg;P31;1774;1721;34;41;1646;1491;21;6;;3;112;1;1;2;;1;4;;1;;;1;1;1;
Vogelwaarde;G0719;10100;Zeeland;P29;2063;1911;25;30;1856;1730;12;24;25;7;27;15;2;;2;;8;1;;1;;;2;;
Voorburg;G0624;11103;Zuid-Holland;P28;14221;13551;121;160;13270;3779;1982;2456;1037;1067;1120;1063;157;104;43;14;63;155;;11;24;9;9;177;
Voorhout;G0625;10017;Zuid-Holland;P28;1427;1397;5;6;1386;1155;45;43;101;6;13;4;;7;6;;1;5;;;;;;;
Voorschoten;G0626;10537;Zuid-Holland;P28;3259;3064;42;49;2973;954;343;622;493;106;159;155;21;25;39;;7;33;;5;2;;2;7;
Voorst;G0285;10912;Gelderland;P25;7812;7421;88;93;7240;1753;1694;871;878;1004;290;321;126;58;112;19;12;10;2;5;17;;63;5;
Vorden;G0286;10957;Gelderland;P25;2475;2352;32;38;2282;324;297;758;338;216;109;183;10;10;11;;3;3;6;2;3;;6;1;2
Vreeland;G1213;10898;Utrecht;P26;462;442;4;5;433;46;74;110;87;27;21;22;3;9;27;;;;;;;;7;;
Vreeswijk;G0348;10441;Utrecht;P26;1583;1438;12;36;1390;534;232;236;242;34;35;8;9;2;41;3;3;2;;7;1;;;1;
Vries;G0133;10630;Drenthe;P22;2985;2838;30;65;2743;14;603;390;63;523;459;301;142;148;6;4;5;5;2;2;9;;52;3;12
Vriezenveen;G0186;10643;Overijssel;P23;4353;4082;81;75;3926;272;351;514;1652;59;139;71;19;355;280;35;2;68;2;35;62;3;1;1;5
Vrouwenpolder;G1214;10635;Zeeland;P29;583;557;6;2;549;3;3;366;123;21;4;2;;;23;;;;;;3;;1;;
Vught;G0865;11224;Noord-Brabant;P30;5897;5606;48;90;5468;4316;356;226;56;86;96;68;23;11;1;12;58;;115;3;9;25;2;5;
Vuren;G0287;11376;Gelderland;P25;967;877;19;21;837;9;249;233;164;51;24;20;2;1;25;1;1;;2;8;2;1;43;1;
Waalre;G0866;10959;Noord-Brabant;P30;2241;2157;15;18;2124;1685;106;65;10;20;32;5;22;2;4;5;12;;145;1;7;2;1;1;
Waalwijk;G0867;11359;Noord-Brabant;P30;5439;5262;40;73;5149;4016;226;197;337;47;103;11;11;6;12;;42;4;17;44;57;16;1;2;
Waarde;G0721;10082;Zeeland;P29;556;498;0;8;490;;20;64;94;36;110;9;1;4;144;1;;2;;5;;;;;
Waardenburg;G0288;10238;Gelderland;P25;816;760;18;21;721;8;122;108;139;29;18;16;1;6;231;1;;1;;1;10;;30;;
Waarder;G1217;10830;Zuid-Holland;P28;442;388;2;2;384;9;9;170;53;4;26;4;2;15;75;1;;8;;7;;;1;;
Waddinxveen;G0627;10081;Zuid-Holland;P28;3850;3548;32;69;3447;498;608;647;218;72;166;73;38;47;273;3;10;22;;758;3;1;10;;
Wadenoijen;G1218;10201;Gelderland;P25;1096;1021;23;40;958;105;245;165;53;58;39;79;7;103;67;;5;;2;;2;;27;1;
