RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;Vrijzinnig-Democratische Bond (VDB);Nationaal-Socialistische Beweging (NSB);Liberale Staatspartij (LSP);Communistische Partij van Nederland;Christelijk-Democratische Unie;Staatkundig Gereformeerde Partij (SGP);Revolutionair Socialistische Arbeiderspartij;Katholiek Democratische Partij;HGSP;Actie-Bouwman;Christelijk Nationale Actie;Algemeen Belang;Zwart Front;Plattelandersbond;VNH;Nationaal Socialistische Arbeiderspartij
Hoedekenskerke;G0673;11072;Zeeland;P29;800;770;9;9;752;387;9;72;138;17;5;10;;;109;;;;;;5;;;;
Hoek;G0674;10038;Zeeland;P29;1606;1498;31;40;1427;28;215;283;172;108;25;200;17;78;241;2;4;40;;1;3;2;8;;
Hoenkoop;G0319;10611;Utrecht;P26;300;289;2;1;286;145;13;55;23;5;22;4;;;10;;;;;9;;;;;
Hoensbroek;G0921;11177;Limburg;P31;5103;5004;118;139;4747;2926;751;183;112;11;339;5;171;39;4;8;7;7;1;;2;133;7;1;40
Hoevelaken;G0253;11358;Gelderland;P25;707;660;18;13;629;46;81;106;244;17;16;11;3;;41;;;;;;;;;;
Hoeven;G0799;10065;Noord-Brabant;P30;1892;1847;21;38;1788;1668;20;17;5;;8;;6;;;;27;;1;;;32;1;;3
Holten;G0165;11246;Overijssel;P23;2326;2198;28;17;2153;36;309;412;885;252;68;102;8;40;13;6;;1;1;2;16;;2;;
Hontenisse;G0675;11123;Zeeland;P29;2882;2681;73;68;2540;2231;40;65;42;23;95;26;1;;7;;4;2;;;1;2;1;;
Hoofdplaat;G0676;10147;Zeeland;P29;644;596;12;10;574;453;5;41;24;18;15;3;1;1;7;2;;;;;1;;3;;
Hoogblokland;G0535;11040;Zuid-Holland;P28;467;433;1;6;426;3;77;151;3;12;8;88;1;;45;;;4;;33;;;1;;
Hooge en Lage Mierde;G0801;10476;Noord-Brabant;P30;896;866;1;0;865;826;;5;10;;2;;;;;;2;;12;;1;7;;;
Hooge en Lage Zwaluwe;G0802;11318;Noord-Brabant;P30;2527;2302;12;19;2271;1176;115;320;491;37;49;25;3;1;34;6;2;10;;;1;;;;1
Hoogeloon, Hapert en Casteren;G0800;10657;Noord-Brabant;P30;1169;1149;2;2;1145;1101;1;1;35;;1;2;1;;;;;1;2;;;;;;
Hoogeveen;G0118;10839;Drenthe;P22;7843;7237;226;224;6787;56;1417;3163;1207;315;93;114;35;182;48;8;5;5;4;111;2;;13;5;4
Hoogezand;G1083;10410;Groningen;P20;6388;5747;140;196;5411;434;2267;542;117;829;410;184;309;231;10;11;2;5;;2;50;4;4;;
Hoogkarspel;G0403;10642;Noord-Holland;P27;1084;1033;3;4;1026;619;152;23;1;141;5;57;2;7;;9;5;;;;3;;2;;
Hoogkerk;G1084;10953;Groningen;P20;2165;2030;18;42;1970;52;604;641;153;146;56;43;88;147;;4;3;18;;1;12;;1;1;
Hoogland;G0320;10545;Utrecht;P26;1904;1827;18;17;1792;1252;80;153;150;27;20;7;5;3;39;1;11;3;;40;1;;;;
Hoogwoud;G0404;11029;Noord-Holland;P27;1108;1048;11;9;1028;488;147;16;1;218;26;53;12;42;;;;;;;;;;;
Hoorn;G0405;11392;Noord-Holland;P27;7106;6749;102;135;6512;1977;1869;485;195;829;351;378;114;112;10;93;61;5;;1;23;2;5;2;
Hoornaar;G0536;10516;Zuid-Holland;P28;364;345;1;5;339;1;48;191;3;19;4;47;3;;17;;;;;3;2;;1;;
Horn;G0922;11176;Limburg;P31;832;884;4;16;864;818;4;5;3;;25;;;;;1;1;;1;;;;1;5;
Horssen;G0254;10607;Gelderland;P25;537;520;7;2;511;395;1;5;39;;;1;;2;;;;1;63;;;;4;;
Horst;G0923;11108;Limburg;P31;3516;3455;21;20;3414;3280;14;10;2;;75;;3;;2;;;1;21;;8;;;;
Houten;G0321;10230;Utrecht;P26;1228;1199;23;11;1165;774;36;152;21;23;10;24;2;;118;1;;1;;2;;;1;;
Houthem;G1086;11111;Limburg;P31;1082;1055;16;25;1014;895;9;28;2;5;53;8;3;;1;1;1;;3;;1;1;3;;
Huijbergen;G0803;10466;Noord-Brabant;P30;392;379;7;2;370;355;4;2;1;;2;;1;;;;3;;;;1;1;;;
Huissen;G0255;11047;Gelderland;P25;2701;2549;32;11;2506;1483;46;22;51;5;10;8;1;;6;1;60;7;803;;1;;2;;
Huizen;G0406;11170;Noord-Holland;P27;5069;4729;64;54;4611;96;553;1991;353;138;213;99;51;71;260;20;3;60;;679;1;2;4;15;
Hulsberg;G0924;11216;Limburg;P31;1099;1077;15;19;1043;910;24;8;;9;66;;13;1;4;;1;1;;;;4;2;;
Hulst;G0677;11408;Zeeland;P29;2036;1908;53;92;1763;1319;212;48;6;32;86;19;9;1;5;4;7;3;;2;3;2;5;;
Hummelo en Keppel;G0256;11235;Gelderland;P25;1813;1684;27;20;1637;238;276;304;162;310;124;140;6;6;23;1;;1;21;;;;25;;
Hunsel;G0925;10784;Limburg;P31;700;699;2;0;697;690;;3;;;1;;;;;;;;3;;;;;;
Hurwenen;G1089;11432;Gelderland;P25;312;291;6;6;279;92;42;38;37;3;3;5;;1;2;;;1;12;;;;43;;
Idaarderadeel;G0078;10815;Fryslân;P21;3473;3275;47;54;3174;215;1405;242;69;848;33;98;94;142;1;12;2;2;;;8;;3;;
IJlst;G0102;11062;Fryslân;P21;761;733;9;6;718;8;78;230;271;48;4;22;11;37;;;9;;;;;;;;
IJsselmonde;G1230;11357;Zuid-Holland;P28;4071;3819;77;95;3647;106;953;1076;733;82;86;199;51;26;269;13;6;20;;9;11;1;3;3;
IJsselmuiden;G0191;10641;Overijssel;P23;3200;2986;41;55;2890;348;170;840;402;101;55;74;13;40;681;12;2;13;;130;;;9;;1
IJsselstein;G0353;10152;Utrecht;P26;2352;2279;23;27;2229;1162;156;177;316;10;56;6;4;4;192;1;47;3;;91;1;;3;;
IJzendijke;G0730;10688;Zeeland;P29;1382;1306;24;41;1241;712;126;119;35;101;23;71;24;5;4;1;5;1;;1;5;1;6;1;
Ilpendam;G0407;10809;Noord-Holland;P27;1301;1250;12;5;1233;231;295;160;95;179;37;13;164;28;7;6;1;;;;8;;7;;
Itteren;G0926;10458;Limburg;P31;261;257;2;6;249;231;5;;;;6;;;;;;2;;3;;;;2;;
Ittervoort;G1090;10190;Limburg;P31;149;146;1;2;143;138;2;2;;;1;;;;;;;;;;;;;;
Jaarsveld;G1091;10847;Utrecht;P26;738;667;13;1;653;47;141;133;40;12;18;12;6;;100;2;;4;;132;;;4;2;
Jabeek;G0927;10256;Limburg;P31;269;260;3;6;251;238;2;;2;1;7;1;;;;;;;;;;;;;
Jisp;G0408;10481;Noord-Holland;P27;399;378;3;11;364;22;125;33;5;124;15;9;13;5;2;;;;;;;;;;
Jutphaas;G0322;10374;Utrecht;P26;3263;3211;45;73;3093;1157;775;520;266;69;79;21;35;34;84;11;14;3;;18;3;2;1;1;
Kamerik;G0323;10554;Utrecht;P26;977;910;5;2;903;301;1;173;193;6;27;4;1;1;165;1;;5;;23;2;;;;
Kampen;G0166;10253;Overijssel;P23;10709;9906;140;150;9616;927;1567;2960;1566;343;282;284;33;545;647;14;12;13;1;399;4;2;1;13;3
Kantens;G0020;10372;Groningen;P20;1232;1139;18;11;1110;12;295;305;81;54;42;110;8;189;;1;1;1;;2;7;1;1;;
Kapelle;G0678;11223;Zeeland;P29;1571;1456;40;17;1399;25;143;411;426;156;15;97;2;6;102;1;;1;;2;11;;1;;
Kats;G1094;10919;Zeeland;P29;355;303;4;11;288;3;69;71;65;30;1;29;;2;13;;1;2;;;;;2;;
Kattendijke;G0679;11218;Zeeland;P29;686;638;7;16;615;5;58;166;234;60;30;24;2;3;26;1;;3;;;3;;;;
Katwijk;G0537;10707;Zuid-Holland;P28;8260;7454;76;82;7296;431;498;1341;3272;92;317;75;19;431;332;5;9;229;;239;4;2;;;
Katwoude;G0409;11136;Noord-Holland;P27;122;117;0;0;117;8;4;29;32;25;2;4;;12;;;;;;;;;;;
Kedichem;G0538;10280;Zuid-Holland;P28;626;573;7;16;550;3;158;126;12;52;9;122;2;19;30;;;;;3;1;;13;;
Kerkrade;G0928;10313;Limburg;P31;14009;13701;430;386;12885;9378;1121;167;99;62;1346;14;455;7;14;11;142;8;7;;5;16;5;1;27
Kerkwerve;G1095;10837;Zeeland;P29;442;402;12;2;388;;23;171;46;49;6;46;3;3;38;1;;1;;;1;;;;
Kerkwijk;G0257;10791;Gelderland;P25;659;600;7;14;579;6;80;336;30;20;6;3;;29;45;2;1;;1;5;;;15;;
Kessel;G0929;10890;Limburg;P31;799;776;7;9;760;739;5;;;;13;;;;;;1;;;;;1;1;;
Kesteren;G0258;10916;Gelderland;P25;2168;1989;33;51;1905;16;371;694;23;48;55;18;10;14;624;1;2;1;2;15;1;;9;1;
Kethel en Spaland;G1096;10551;Zuid-Holland;P28;1079;1050;4;18;1028;420;95;95;300;6;12;45;15;8;20;;4;4;;;;;4;;
Klaaswaal;G0539;10284;Zuid-Holland;P28;1108;1013;8;16;989;1;228;221;170;40;24;144;8;1;136;8;;2;;1;2;;3;;
Klimmen;G0930;10977;Limburg;P31;916;882;11;17;854;801;3;;;1;36;;;;;;11;;;;;2;;;
Kloetinge;G0680;10155;Zeeland;P29;1268;1187;36;14;1137;45;80;232;487;79;25;100;;6;64;;2;4;;;11;;1;1;
Kloosterburen;G0021;10628;Groningen;P20;1157;1106;5;10;1091;446;193;219;3;57;16;60;2;78;;1;1;;;;15;;;;
Klundert;G0804;10656;Noord-Brabant;P30;2388;2224;19;14;2191;770;65;724;435;11;25;20;2;;129;2;2;1;1;;3;;1;;
Kockengen;G0324;10765;Utrecht;P26;414;382;5;2;375;111;5;121;24;11;7;;1;;53;;;5;;35;;;2;;
Koedijk;G0410;10510;Noord-Holland;P27;1099;1043;9;32;1002;239;309;56;22;177;86;16;23;22;;15;7;;;;28;;2;;
Koewacht;G0681;10892;Zeeland;P29;1156;1045;58;41;946;670;73;28;2;70;61;13;4;;2;1;10;1;;6;2;2;1;;
Kollumerland en Nieuwkruisland;G0079;10984;Fryslân;P21;4742;4494;44;40;4410;14;247;2012;1095;186;55;171;23;534;37;6;1;5;;2;21;;1;;
Koog aan de Zaan;G0411;10776;Noord-Holland;P27;3480;3366;23;72;3271;261;1259;398;58;541;79;136;296;107;21;;;;;;;;;;
Kortenhoef;G1097;10467;Noord-Holland;P27;973;925;15;12;898;175;206;148;164;19;43;10;15;26;79;1;5;1;;3;1;;1;1;
Kortgene;G0682;10250;Zeeland;P29;815;704;37;16;651;5;62;253;74;96;4;76;3;;68;3;;1;;1;5;;;;
Koudekerk aan den Rijn;G0540;10029;Zuid-Holland;P28;873;819;3;44;772;95;43;275;244;9;49;20;5;;21;;;7;;2;;;2;;
Koudekerke;G1098;11428;Zeeland;P29;2426;2249;32;23;2194;35;184;808;577;212;35;94;12;7;197;2;3;12;;2;3;;5;6;
Krabbendijke;G0684;11038;Zeeland;P29;1343;1169;24;7;1138;4;97;207;290;67;50;21;3;;391;2;;2;;1;2;;1;;
Krimpen aan de Lek;G0541;10617;Zuid-Holland;P28;1695;1582;37;37;1508;4;541;428;18;158;43;48;16;4;216;8;;1;;20;3;;;;
Krimpen aan den IJssel;G0542;10859;Zuid-Holland;P28;2627;2413;33;101;2279;19;891;287;193;75;63;63;44;8;357;1;3;10;;255;5;;4;1;
Krommenie;G0413;10373;Noord-Holland;P27;3211;3091;16;47;3028;656;689;286;47;374;31;38;771;54;2;;;;;;;;;;
Kruiningen;G0685;10077;Zeeland;P29;2284;1984;46;24;1914;267;385;344;330;231;72;57;3;6;179;6;3;5;;1;24;;1;;
Kuinre;G0167;11148;Overijssel;P23;379;364;1;4;359;32;61;33;81;30;3;13;;100;;;;2;;;3;1;;;
Kwadijk;G0414;10775;Noord-Holland;P27;252;228;2;9;217;5;93;21;2;58;19;7;3;1;;;;;;;;;;;
Laag-Nieuwkoop;G1100;10305;Utrecht;P26;215;206;1;0;205;88;2;39;16;2;8;;1;;32;1;;3;;13;;;;;
Landsmeer;G0415;11225;Noord-Holland;P27;2066;1951;32;26;1893;60;542;443;167;261;77;12;222;20;21;;;;;;;;;;
Langbroek;G0325;11413;Utrecht;P26;692;647;19;8;620;128;31;190;56;30;7;3;1;;137;1;;;;34;;;;2;
Lange Ruige Weide;G1101;10900;Zuid-Holland;P28;382;349;3;0;346;13;5;146;70;2;6;10;3;2;57;1;;2;;27;;;2;;
Langerak;G0543;11127;Zuid-Holland;P28;462;417;7;6;404;2;37;168;7;31;6;14;2;;77;;;;;;;;;;
Laren;G0417;10649;Noord-Holland;P27;4394;4155;45;66;4044;1795;342;519;118;341;243;245;130;82;13;37;142;1;;13;3;5;2;11;2
Laren (Gld.);G0259;10098;Gelderland;P25;3237;3026;37;91;2898;46;276;815;295;792;184;318;32;21;1;2;1;2;3;;;4;105;;1
Leek;G0022;10604;Groningen;P20;4034;3825;48;44;3733;14;781;1230;211;551;323;143;51;375;3;2;2;2;;9;33;;3;;
Leende;G0805;11017;Noord-Brabant;P30;926;873;2;0;871;810;6;9;6;;3;1;;;;;;;34;;;1;;1;
Leens;G0023;11050;Groningen;P20;2251;2117;16;33;2068;189;269;795;29;234;126;179;17;195;;;2;1;;;26;1;2;3;
Leerbroek;G0544;10465;Zuid-Holland;P28;479;386;2;4;380;2;21;203;16;7;4;10;;;96;;1;;;16;3;;1;;
Leerdam;G0545;10685;Zuid-Holland;P28;4544;4288;66;67;4155;193;1085;1300;346;166;52;140;69;19;357;3;1;7;;398;3;;10;6;
Leersum;G0326;11142;Utrecht;P26;1336;1219;14;32;1173;29;277;378;89;48;94;87;6;4;150;2;1;4;;1;1;1;1;;
Leeuwarden;G0080;11228;Fryslân;P21;29790;27938;476;614;26848;2852;8513;4954;1731;3497;856;1319;660;1375;55;473;105;258;;21;120;27;14;18;
Leeuwarderadeel;G0081;10851;Fryslân;P21;11073;10544;124;147;10273;636;3529;2093;779;1485;206;446;157;755;10;64;18;38;;5;41;2;8;1;
Leiden;G0546;10702;Zuid-Holland;P28;40702;39094;489;731;37874;7711;12159;5829;4632;1901;1237;1336;947;413;390;277;265;559;;40;24;16;14;124;
Leiderdorp;G0547;10058;Zuid-Holland;P28;1494;1434;15;23;1396;172;137;578;304;35;62;18;2;17;30;3;1;26;;2;;;2;7;
Leimuiden;G0549;11351;Zuid-Holland;P28;1014;951;14;6;931;459;17;216;116;42;35;7;5;;7;;1;25;;;;1;;;
Lekkerkerk;G0550;10050;Zuid-Holland;P28;2422;2301;46;38;2217;6;607;382;14;206;216;466;24;3;262;;;;;;;;;;
Lemsterland;G0082;10142;Fryslân;P21;3846;3556;42;94;3420;244;686;719;566;302;29;18;262;452;70;33;5;3;;1;14;2;12;2;
Leusden;G0327;10978;Utrecht;P26;1214;1119;15;10;1094;370;70;224;142;28;47;44;2;13;79;;10;26;;37;1;1;;;
Lexmond;G0551;10930;Zuid-Holland;P28;943;865;16;15;834;5;152;255;213;34;10;24;4;1;99;;;;;;;;;;
Lichtenvoorde;G0260;10242;Gelderland;P25;3469;3369;16;12;3341;2796;64;89;260;39;25;13;1;27;;;6;3;6;;;1;10;;1
Liempde;G0806;10390;Noord-Brabant;P30;921;900;3;6;891;858;3;;;2;;;;;;;;;27;;;1;;;
Lienden;G0261;11093;Gelderland;P25;2413;2184;63;59;2062;10;659;534;98;105;96;168;3;68;297;3;1;4;1;3;;1;10;;
Lieshout;G0807;10637;Noord-Brabant;P30;1037;1016;2;4;1010;981;2;1;6;;8;1;;1;;;1;;8;;;1;;;
Limbricht;G0931;11124;Limburg;P31;1010;995;8;11;976;954;7;2;;;8;;;2;;;;;;;;;3;;
Limmen;G0418;11370;Noord-Holland;P27;1162;1119;2;2;1115;877;70;24;3;31;18;15;58;6;1;;;;;;;;;;
Linden;G1103;11305;Noord-Brabant;P30;257;251;0;1;250;232;;1;;;2;;;;;;;;14;;;1;;;
Linne;G0932;10990;Limburg;P31;822;790;10;21;759;713;5;6;2;6;19;;;;;;;;3;;;;1;4;
Linschoten;G0328;11324;Utrecht;P26;865;803;11;13;779;223;31;150;109;10;31;41;1;2;150;2;;2;;26;;;1;;
Lisse;G0553;10197;Zuid-Holland;P28;4264;4082;25;21;4036;2104;230;525;499;45;119;95;17;29;291;;41;32;;3;4;;2;;
Lith;G0808;11219;Noord-Brabant;P30;731;615;5;2;608;505;16;1;1;1;1;3;1;;;1;2;;70;;3;;;1;
Lithoijen;G1104;10024;Noord-Brabant;P30;321;295;1;1;293;240;1;7;11;1;;;;;;;1;;31;;;;;1;
Lochem;G0262;11263;Gelderland;P25;3335;3213;52;85;3076;120;996;441;172;604;288;185;186;36;3;3;1;3;2;;13;;15;7;1
Loenen;G0329;11202;Utrecht;P26;804;757;2;7;748;118;66;211;161;30;35;44;8;6;52;;;9;;4;2;;;2;
Loenersloot;G1105;10208;Utrecht;P26;277;255;1;1;253;81;13;52;31;4;18;4;3;;20;;;19;;7;;;1;;
Loon op Zand;G0809;11259;Noord-Brabant;P30;5082;4960;46;48;4866;4404;93;61;48;3;32;2;9;;98;3;26;1;6;59;5;13;2;1;
Loosdrecht;G0330;10639;Utrecht;P26;1935;1758;24;27;1707;104;257;528;419;60;64;49;36;11;117;5;4;38;;6;3;;3;3;
Lopik;G0331;10333;Utrecht;P26;822;768;11;4;753;266;48;155;43;9;37;15;4;1;51;1;;2;;120;;;1;;
Loppersum;G0024;10934;Groningen;P20;2001;1886;15;19;1852;7;263;818;101;234;76;86;15;243;;;;;;;8;;1;;
Losser;G0168;11166;Overijssel;P23;7204;7027;65;113;6849;4770;723;112;418;76;239;50;126;95;4;14;199;2;2;1;5;2;2;1;8
Luyksgestel;G0810;10011;Noord-Brabant;P30;506;494;2;1;491;468;3;2;3;;1;;;;;;;;11;;2;1;;;
Maarheeze;G0811;11143;Noord-Brabant;P30;1314;1306;6;3;1297;1167;1;2;3;;3;2;;;;;1;;116;;;2;;;
Maarn;G0332;10392;Utrecht;P26;975;959;7;10;942;68;197;226;184;61;45;38;14;9;74;5;9;1;;5;4;;;2;
Maarssen;G0333;10191;Utrecht;P26;2006;1924;10;30;1884;541;375;444;198;73;54;83;5;6;68;1;2;2;;20;2;;10;;
Maarsseveen;G1108;10874;Utrecht;P26;1043;993;16;11;966;174;155;213;248;29;55;22;1;8;37;1;1;;;14;;2;6;;
Maartensdijk;G0334;10691;Utrecht;P26;4997;4628;76;76;4476;778;682;1179;292;414;323;256;54;92;305;15;9;20;;35;2;8;4;8;
Maasbracht;G0933;10964;Limburg;P31;893;846;13;12;821;780;10;4;1;;16;;1;;1;;1;;3;;;;;3;1
Maasbree;G0934;11352;Limburg;P31;6930;6666;68;123;6475;5781;352;64;38;5;138;8;22;;2;1;32;;17;;2;7;4;2;3
Maasdam;G0554;11019;Zuid-Holland;P28;881;819;7;17;795;2;195;224;151;28;19;102;1;;59;2;;;;2;2;1;5;2;
Maashees en Overloon;G1109;10532;Noord-Brabant;P30;1070;1036;3;7;1026;979;1;1;1;1;16;;;;;;;;27;;;;;;
Maasland;G0555;10393;Zuid-Holland;P28;1772;1680;6;14;1660;222;90;626;596;25;22;14;1;13;21;;1;22;;5;;;2;;
Maasniel;G1110;11261;Limburg;P31;2006;1910;40;48;1822;1638;23;34;4;5;87;1;3;;1;;6;;5;;;1;;;
Maassluis;G0556;10880;Zuid-Holland;P28;4904;4521;51;35;4435;285;901;1736;932;158;55;103;17;137;81;8;7;8;;1;2;1;1;2;
Maastricht;G0935;10182;Limburg;P31;33065;31439;645;1003;29791;19573;6739;573;80;218;1210;144;454;52;38;61;314;16;18;;28;198;13;43;27
Made en Drimmelen;G0812;10258;Noord-Brabant;P30;2553;2253;16;22;2215;1851;16;83;77;70;89;7;2;2;6;;6;2;;;;;2;2;
Margraten;G0936;11243;Limburg;P31;640;624;12;13;599;575;5;1;;;12;;;;;;1;;1;;;2;1;1;
Markelo;G0169;11382;Overijssel;P23;2936;2701;40;72;2589;139;640;557;252;387;127;367;20;13;25;1;;4;2;2;17;;35;;1
Marken;G0419;10901;Noord-Holland;P27;800;759;2;1;756;2;16;288;419;4;1;;;;;;;26;;;;;;;
Marum;G0025;11431;Groningen;P20;3309;3124;20;47;3057;7;567;943;53;368;199;129;135;603;3;1;2;3;;1;36;;5;2;
Maurik;G0264;10300;Gelderland;P25;2430;2200;36;65;2099;132;736;412;100;111;93;211;23;177;80;2;1;1;2;3;1;1;13;;
Medemblik;G0420;11215;Noord-Holland;P27;3066;2945;11;38;2896;931;612;521;189;230;63;125;84;68;27;;;;;;;;;;
Meeden;G0026;10304;Groningen;P20;1033;965;21;21;923;8;296;220;12;73;38;70;14;180;;2;;4;;1;5;;;;
Meerkerk;G0557;10618;Zuid-Holland;P28;996;918;5;21;892;10;171;360;21;44;15;161;6;1;61;2;;;;22;;8;10;;
Meerlo;G0937;11416;Limburg;P31;1083;1058;6;8;1044;996;2;3;;4;1;;1;;1;;;;36;;;;;;
Meerssen;G0938;10494;Limburg;P31;2775;2716;71;80;2565;2209;43;38;1;5;207;3;15;2;1;4;11;4;1;;8;4;4;3;2
Megen, Haren en Macharen;G0813;10988;Noord-Brabant;P30;911;886;1;2;883;800;5;5;1;2;1;;;;1;;3;;62;;1;;1;1;
Meijel;G0941;10925;Limburg;P31;1118;1091;3;5;1083;1059;3;3;;;16;;;;;;;;1;;1;;;;
Melick en Herkenbosch;G0939;10196;Limburg;P31;1551;1502;17;36;1449;1228;37;7;3;4;134;1;4;1;1;;3;;3;;;2;;;
Meliskerke;G1112;11221;Zeeland;P29;380;313;1;1;311;;2;116;23;6;2;2;;;158;;;1;;;;;1;;
Melissant;G1113;10918;Zuid-Holland;P28;987;870;26;23;821;28;87;230;78;13;16;25;13;2;213;;;2;;108;5;;;1;
Menaldumadeel;G0083;11144;Fryslân;P21;6157;5856;85;49;5722;276;1616;1265;737;994;104;173;121;356;3;26;2;12;;1;16;1;18;1;
Meppel;G0119;11204;Drenthe;P22;7278;6816;89;174;6553;187;1518;1385;1259;938;198;355;94;515;35;8;6;10;3;11;18;;9;;4
Merkelbeek;G0940;10763;Limburg;P31;560;537;5;9;523;473;6;5;;;32;;6;1;;;;;;;;;;;
Mesch;G1114;11070;Limburg;P31;166;165;4;12;149;126;;;;;21;;1;;;;;;1;;;;;;
Mheer;G0942;10538;Limburg;P31;454;435;4;32;399;340;;4;;1;47;;;;;;1;;3;;;;2;;1
Middelburg;G0687;10122;Zeeland;P29;11175;10407;176;176;10055;694;2541;2468;1488;1357;197;520;162;34;377;11;12;85;;53;37;1;8;10;
Middelharnis;G0559;11067;Zuid-Holland;P28;2685;2340;30;59;2251;106;333;533;45;219;40;212;40;3;434;5;;5;;261;8;5;1;;
Middelie;G0421;10452;Noord-Holland;P27;328;309;2;0;307;;110;20;4;127;22;12;2;9;;;;;;;;;;;
Middelstum;G0027;11199;Groningen;P20;1407;1373;6;11;1356;1;135;705;25;66;26;66;29;291;;1;;;;;11;;;;
Midwolda;G0028;10356;Groningen;P20;2457;2321;34;30;2257;7;402;675;419;182;68;42;108;153;5;1;;181;;1;9;;2;2;
Midwoud;G0422;10924;Noord-Holland;P27;672;627;6;7;614;29;156;17;3;207;52;131;;7;2;;;;;;;;;;
Mierlo;G0814;10215;Noord-Brabant;P30;2440;2374;28;34;2312;2061;56;18;8;15;25;2;29;1;3;;15;;71;;;6;1;1;
Mijdrecht;G0336;11379;Utrecht;P26;2245;2126;6;26;2094;806;129;507;406;28;53;58;11;4;69;3;9;;;8;2;;1;;
Mijnsheerenland;G0564;11112;Zuid-Holland;P28;964;887;11;16;860;5;95;380;164;33;15;61;2;3;83;1;;2;;5;6;;4;1;
Mill en Sint Hubert;G0815;10535;Noord-Brabant;P30;1878;1788;2;22;1764;1378;12;4;2;2;3;1;;;2;1;1;;351;;2;3;;2;
Millingen;G1259;10072;Gelderland;P25;1730;1491;30;30;1431;1013;184;5;2;1;26;1;3;1;;;116;;74;1;1;1;2;;
Moergestel;G0816;11191;Noord-Brabant;P30;1152;1142;8;5;1129;1052;5;1;2;;;;3;;;;10;;9;;2;42;1;2;
Moerkapelle;G0560;11383;Zuid-Holland;P28;423;403;2;5;396;6;40;153;9;12;38;24;4;1;69;;;3;;34;2;;1;;
Molenaarsgraaf;G0561;10166;Zuid-Holland;P28;324;291;2;4;285;1;11;119;19;8;1;39;2;;47;;;1;;37;;;;;
Monnickendam;G0423;10983;Noord-Holland;P27;1467;1389;10;9;1370;300;158;224;323;113;74;23;24;107;4;4;4;8;;;1;;3;;
Monster;G0562;10019;Zuid-Holland;P28;5241;5061;30;34;4997;2420;339;842;309;82;199;41;17;9;588;3;8;121;;9;4;;5;1;
Montfoort;G0335;10033;Utrecht;P26;1005;975;14;10;951;663;44;70;53;17;36;2;6;;35;2;3;;;20;;;;;
Montfort;G0943;10266;Limburg;P31;675;664;9;16;639;609;;;2;;23;;;;1;;1;;1;;;;;;
Mook en Middelaar;G0944;10271;Limburg;P31;978;931;5;15;911;617;30;20;8;6;20;7;;1;1;;7;;188;;;3;2;;1
Moordrecht;G0563;10120;Zuid-Holland;P28;1460;1372;24;31;1317;144;306;317;25;54;45;183;9;3;97;2;2;8;;112;4;;6;;
Muiden;G0424;10958;Noord-Holland;P27;1540;1503;29;31;1443;334;253;346;319;46;28;35;18;8;9;;;7;;29;7;;1;2;1
Munstergeleen;G0945;10273;Limburg;P31;623;623;9;7;607;564;1;;3;;39;;;;;;;;;;;;;;
Muntendam;G0029;10550;Groningen;P20;1861;1761;26;35;1700;24;936;129;79;83;118;19;54;242;;1;1;3;;;11;;;;
Naaldwijk;G0565;11418;Zuid-Holland;P28;6050;5861;32;41;5788;1822;567;1435;832;437;153;321;23;42;82;;26;41;;;3;;4;;
Naarden;G0425;10187;Noord-Holland;P27;4538;4238;72;94;4072;755;671;948;284;400;402;397;61;47;30;10;22;2;;7;4;3;1;26;2
Nederhemert;G1115;10310;Gelderland;P25;571;509;6;14;489;6;35;126;51;11;5;10;3;;229;2;;2;;2;;;6;1;
Nederhorst den Berg;G0426;10715;Noord-Holland;P27;1105;1077;6;10;1061;346;103;212;259;18;9;6;83;9;7;2;;3;;2;;1;1;;
Nederweert;G0946;10681;Limburg;P31;3341;3183;19;22;3142;3047;2;13;6;;34;;;1;;;;;34;;4;;1;;
Neede;G0266;10367;Gelderland;P25;3279;3144;43;43;3058;488;1213;351;227;386;134;178;12;40;3;1;7;4;1;1;3;1;7;1;
Neer;G0947;10682;Limburg;P31;1006;967;4;3;960;950;2;1;;1;2;;;1;;;;;1;;;;;2;
Neeritter;G1116;11001;Limburg;P31;345;329;1;1;327;311;3;3;2;6;2;;;;;;;;;;;;;;
Nibbixwoud;G0427;10091;Noord-Holland;P27;740;714;3;3;708;418;43;8;9;125;8;87;2;1;;;;;;;;;;;
Nieuw- en Sint Joosland;G1117;11340;Zeeland;P29;651;598;8;16;574;2;47;147;176;69;28;21;1;;60;;2;2;;2;;;1;;
Nieuw-Beijerland;G0566;10092;Zuid-Holland;P28;899;767;16;19;732;5;207;181;13;32;4;65;5;;205;1;;;;11;1;;2;;
Nieuwe Niedorp;G0428;10073;Noord-Holland;P27;1034;953;7;14;932;182;226;38;5;305;25;19;26;21;;65;1;;;;8;1;10;;
Nieuwe Pekela;G0030;10950;Groningen;P20;2855;2584;32;23;2529;170;445;536;227;126;248;41;218;475;21;1;4;3;;1;6;;7;;
